industry,得分,股票数,平均分,代表股
通用设备,162,27,6.0,"华盛昌(8/8,+46%)、盾安环境(8/8,+29%)、国机精工(8/8,+28%)、恒锋工具(8/8,+13%)、润邦股份(8/8,+11%)、动力新科(8/8,+4%)、航天动力(8/8,-0%)、高澜股份(7/8,+32%)、冠龙节能(7/8,+32%)、沃尔德(7/8,+31%)"
零售,156,27,5.78,"百大集团(8/8,+70%)、中百集团(8/8,+24%)、南宁百货(8/8,+18%)、百联股份(8/8,+3%)、国芳集团(7/8,+80%)、杭州解百(7/8,+13%)、友好集团(7/8,+12%)、广百股份(7/8,+9%)、中央商场(7/8,+9%)、欧亚集团(7/8,+8%)"
电子元件,188,33,5.7,"强达电路(8/8,+51%)、四会富仕(8/8,+48%)、崇达技术(8/8,+44%)、满坤科技(8/8,+41%)、奥士康(8/8,+27%)、超声电子(8/8,+20%)、中京电子(8/8,+14%)、明阳电路(8/8,+13%)、金百泽(7/8,+26%)、方正科技(7/8,+16%)"
航空航天装备,146,26,5.62,"航发科技(8/8,+34%)、航亚科技(8/8,+18%)、航发动力(8/8,+15%)、航材股份(8/8,+7%)、中航机载(8/8,+6%)、中航重机(8/8,+6%)、国科军工(7/8,+14%)、中航成飞(7/8,+12%)、航发控制(7/8,+10%)、中无人机(7/8,+9%)"
专用设备,202,37,5.46,"华兴源创(8/8,+35%)、梅轮电梯(8/8,+23%)、天沃科技(8/8,+21%)、兴源环境(8/8,+4%)、尤洛卡(8/8,+3%)、中化装备(8/8,+1%)、威派格(8/8,-20%)、南矿集团(7/8,+26%)、劲拓股份(7/8,+20%)、绿岛风(7/8,+19%)"
食品,150,28,5.36,"华宝股份(8/8,+45%)、双塔食品(8/8,+7%)、燕塘乳业(8/8,+5%)、爱普股份(8/8,+3%)、*ST广糖(7/8,+50%)、克明食品(7/8,+24%)、华康股份(7/8,+21%)、海欣食品(7/8,+18%)、庄园牧场(7/8,+12%)、天新药业(7/8,+8%)"
化肥农药,174,33,5.27,"潞化科技(7/8,+38%)、四川美丰(7/8,+35%)、天禾股份(7/8,+23%)、六国化工(7/8,+19%)、中农联合(7/8,+16%)、新安股份(7/8,+15%)、利民股份(7/8,+14%)、安道麦A(7/8,+14%)、新洋丰(7/8,+14%)、广信股份(7/8,+13%)"
电力,198,38,5.21,"闽东电力(8/8,+22%)、云南能投(8/8,+9%)、湖南发展(8/8,+7%)、江苏国信(8/8,+4%)、杭州热电(8/8,-0%)、能辉科技(7/8,+62%)、恒盛能源(7/8,+23%)、宝新能源(7/8,+11%)、华电国际(7/8,+6%)、世茂能源(7/8,+2%)"
汽车,168,33,5.09,"ST云动(8/8,+12%)、上汽集团(8/8,+8%)、上海物贸(8/8,+7%)、继峰股份(8/8,-2%)、ST美晨(7/8,+18%)、众泰汽车(7/8,+17%)、威迈斯(7/8,+16%)、美力科技(7/8,+12%)、菱电电控(7/8,+8%)、东安动力(7/8,+5%)"
化学制品,210,42,5.0,"黑猫股份(8/8,+30%)、赞宇科技(8/8,+29%)、金禾实业(8/8,+15%)、醋化股份(8/8,+8%)、集泰股份(7/8,+59%)、渝三峡Ａ(7/8,+32%)、万朗磁塑(7/8,+28%)、杭州高新(7/8,+12%)、龙星科技(7/8,+11%)、壶化股份(7/8,+8%)"
