sector,code6,prefixed,m
专业服务,301505,sz301505,6.39
专业服务,301115,sz301115,4.53
专业服务,603458,sh603458,4.22
专业服务,603466,sh603466,3.76
专业服务,301058,sz301058,3.67
专业服务,301297,sz301297,3.55
专业服务,300826,sz300826,3.32
专业服务,300688,sz300688,3.19
专业服务,300977,sz300977,2.98
专业服务,603153,sh603153,2.53
专业服务,301390,sz301390,2.42
专业服务,603257,sh603257,2.15
专业服务,301228,sz301228,2.1
专业服务,603959,sh603959,1.86
专业服务,301169,sz301169,1.66
专业服务,605155,sh605155,1.27
专业服务,301024,sz301024,1.26
专业服务,688334,sh688334,1.22
专业服务,003035,sz003035,1.15
专业服务,000504,sz000504,1.13
专业服务,603060,sh603060,1.07
专业服务,688133,sh688133,1.07
专业服务,301306,sz301306,0.66
专业服务,600826,sh600826,0.62
专业服务,603018,sh603018,0.55
专业服务,603357,sh603357,0.44
专业服务,600662,sh600662,0.43
专业服务,301508,sz301508,0.4
专业服务,300384,sz300384,0.36
专业服务,600861,sh600861,0.32
专业服务,003008,sz003008,0.27
专业服务,603860,sh603860,-0.07
专业服务,300215,sz300215,-0.1
专业服务,300500,sz300500,-0.12
专业服务,300416,sz300416,-0.18
专业服务,300983,sz300983,-0.19
专业服务,300962,sz300962,-0.2
专业服务,300732,sz300732,-0.23
专业服务,300012,sz300012,-0.4
专业服务,301257,sz301257,-0.42
专业服务,300815,sz300815,-0.48
专业服务,300284,sz300284,-0.49
专业服务,300564,sz300564,-0.49
专业服务,301027,sz301027,-0.52
专业服务,688509,sh688509,-0.54
专业服务,002967,sz002967,-0.57
专业服务,688757,sh688757,-0.58
专业服务,301167,sz301167,-0.64
专业服务,002883,sz002883,-0.72
专业服务,300675,sz300675,-0.74
专业服务,300887,sz300887,-0.77
专业服务,301136,sz301136,-0.77
专业服务,002811,sz002811,-0.86
专业服务,300668,sz300668,-0.98
专业服务,301632,sz301632,-1.26
专业服务,300797,sz300797,-1.32
专业服务,600654,sh600654,-1.32
专业服务,603373,sh603373,-1.38
专业服务,601965,sh601965,-1.41
专业服务,300844,sz300844,-1.43
专业服务,301091,sz301091,-1.49
专业服务,603300,sh603300,-1.54
专业服务,001396,sz001396,-1.58
专业服务,300712,sz300712,-1.68
专业服务,301038,sz301038,-1.71
专业服务,688053,sh688053,-1.8
专业服务,300778,sz300778,-1.96
专业服务,300635,sz300635,-2.18
专业服务,301289,sz301289,-2.4
专业服务,300989,sz300989,-2.6
专业服务,300662,sz300662,-2.97
专业服务,300746,sz300746,-3.19
专业服务,301449,sz301449,-3.72
专业服务,300901,sz300901,-3.85
专业服务,002949,sz002949,-3.87
专业服务,000779,sz000779,-6.04
专业服务,300649,sz300649,-10.61
专用设备,688001,sh688001,15.76
专用设备,688559,sh688559,11.45
专用设备,688700,sh688700,8.86
专用设备,603321,sh603321,8.14
专用设备,688383,sh688383,7.84
专用设备,600302,sh600302,6.16
专用设备,301081,sz301081,4.77
专用设备,001223,sz001223,4.71
专用设备,300931,sz300931,4.31
专用设备,002366,sz002366,3.84
专用设备,003036,sz003036,3.8
专用设备,000852,sz000852,3.69
专用设备,301043,sz301043,3.44
专用设备,688215,sh688215,3.23
专用设备,300400,sz300400,3.22
专用设备,603956,sh603956,3.06
专用设备,603289,sh603289,3.0
专用设备,002774,sz002774,2.98
专用设备,600397,sh600397,2.96
专用设备,688630,sh688630,2.92
专用设备,300757,sz300757,2.8
专用设备,601608,sh601608,2.55
专用设备,688400,sh688400,2.54
专用设备,600579,sh600579,2.52
专用设备,000528,sz000528,2.51
专用设备,600545,sh600545,2.51
专用设备,001360,sz001360,2.37
专用设备,688309,sh688309,2.16
专用设备,601106,sh601106,2.01
专用设备,002204,sz002204,2.0
专用设备,601399,sh601399,1.91
专用设备,600262,sh600262,1.9
专用设备,300480,sz300480,1.8
专用设备,603338,sh603338,1.79
专用设备,002097,sz002097,1.77
专用设备,688531,sh688531,1.68
专用设备,300266,sz300266,1.66
专用设备,002209,sz002209,1.55
专用设备,000856,sz000856,1.49
专用设备,301112,sz301112,1.43
专用设备,002651,sz002651,1.39
专用设备,600031,sh600031,1.34
专用设备,603126,sh603126,1.26
专用设备,300461,sz300461,1.24
专用设备,603800,sh603800,1.19
专用设备,000425,sz000425,1.14
专用设备,301161,sz301161,1.14
专用设备,300198,sz300198,1.12
专用设备,603698,sh603698,1.11
专用设备,300509,sz300509,1.04
专用设备,300631,sz300631,1.04
专用设备,603203,sh603203,1.01
专用设备,300861,sz300861,0.99
专用设备,688480,sh688480,0.95
专用设备,688312,sh688312,0.94
专用设备,600499,sh600499,0.93
专用设备,600582,sh600582,0.89
专用设备,601798,sh601798,0.89
专用设备,002529,sz002529,0.86
专用设备,603169,sh603169,0.85
专用设备,301468,sz301468,0.83
专用设备,001336,sz001336,0.81
专用设备,002564,sz002564,0.76
专用设备,603273,sh603273,0.74
专用设备,300099,sz300099,0.68
专用设备,001277,sz001277,0.56
专用设备,688328,sh688328,0.55
专用设备,300486,sz300486,0.52
专用设备,600761,sh600761,0.49
专用设备,603282,sh603282,0.49
专用设备,601038,sh601038,0.45
专用设备,688128,sh688128,0.41
专用设备,600615,sh600615,0.39
专用设备,300425,sz300425,0.37
专用设备,000680,sz000680,0.33
专用设备,688718,sh688718,0.32
专用设备,002278,sz002278,0.31
专用设备,002526,sz002526,0.31
专用设备,002975,sz002975,0.29
专用设备,688392,sh688392,0.26
专用设备,301312,sz301312,0.24
专用设备,603029,sh603029,0.21
专用设备,002021,sz002021,0.19
专用设备,002689,sz002689,0.18
专用设备,600835,sh600835,0.17
专用设备,600980,sh600980,0.17
专用设备,300471,sz300471,0.15
专用设备,688623,sh688623,0.15
专用设备,688813,sh688813,0.15
专用设备,600843,sh600843,0.13
专用设备,688376,sh688376,0.13
专用设备,600169,sh600169,0.1
专用设备,688097,sh688097,0.09
专用设备,688499,sh688499,0.08
专用设备,000157,sz000157,0.06
专用设备,300095,sz300095,0.06
专用设备,300818,sz300818,0.06
专用设备,688125,sh688125,0.06
专用设备,300281,sz300281,0.05
专用设备,601717,sh601717,0.04
专用设备,600560,sh600560,0.04
专用设备,603656,sh603656,0.03
专用设备,002833,sz002833,0.01
专用设备,300159,sz300159,0.0
专用设备,688006,sh688006,0.0
专用设备,002337,sz002337,-0.01
专用设备,300228,sz300228,-0.03
专用设备,603966,sh603966,-0.07
专用设备,002073,sz002073,-0.08
专用设备,603855,sh603855,-0.09
专用设备,301200,sz301200,-0.1
专用设备,600894,sh600894,-0.11
专用设备,600783,sh600783,-0.11
专用设备,603283,sh603283,-0.13
专用设备,301083,sz301083,-0.23
专用设备,000551,sz000551,-0.24
专用设备,603611,sh603611,-0.25
专用设备,000967,sz000967,-0.26
专用设备,300992,sz300992,-0.33
专用设备,600526,sh600526,-0.33
专用设备,300022,sz300022,-0.35
专用设备,603015,sh603015,-0.35
专用设备,301158,sz301158,-0.36
专用设备,603076,sh603076,-0.36
专用设备,300415,sz300415,-0.38
专用设备,002367,sz002367,-0.39
专用设备,603337,sh603337,-0.4
专用设备,688501,sh688501,-0.45
专用设备,300813,sz300813,-0.47
专用设备,002006,sz002006,-0.48
专用设备,001256,sz001256,-0.48
专用设备,300837,sz300837,-0.54
专用设备,300105,sz300105,-0.56
专用设备,688518,sh688518,-0.56
专用设备,300217,sz300217,-0.57
专用设备,300816,sz300816,-0.59
专用设备,300512,sz300512,-0.65
专用设备,002164,sz002164,-0.67
专用设备,603081,sh603081,-0.67
