ticker,prefixed,name,sector,industry,date,close,chg20,volume,score,passed,uptrend
SH603221,sh603221,爱丽家居,家具,家具,2026-09-01,30.55,140.6,414786777,1.0,uptrend,7/8
SH600127,sh600127,金健米业,农业,农业,2026-09-01,13.24,134.8,1279670310,1.0,uptrend,8/8
SH600613,sh600613,神奇制药,中药生产,中药生产,2026-09-01,11.16,122.3,714810216,1.0,uptrend,7/8
SH603269,sh603269,海鸥股份,通用设备,通用设备,2026-09-01,25.34,105.8,601640453,1.0,uptrend,8/8
SH600371,sh600371,万向德农,农业,农业,2026-09-01,13.96,102.0,196767877,1.0,uptrend,8/8
SH600272,sh600272,开开实业,医药商业,医药商业,2026-09-01,20.09,86.2,789223396,1.0,uptrend,7/8
SH688143,sh688143,长盈通,电子设备制造,电子设备制造,2026-09-01,167.0,85.1,263849681039,1.0,uptrend,6/8
SH688137,sh688137,近岸蛋白,生物医药,生物医药,2026-09-01,72.49,78.9,43369453519,1.0,uptrend,6/8
SH688485,sh688485,九州一轨,专用设备,专用设备,2026-09-01,90.09,73.6,68550646156,1.0,uptrend,7/8
SH688601,sh688601,力芯微,电子器件,电子器件,2026-09-01,63.89,66.7,27270263301,1.0,uptrend,8/8
SH600721,sh600721,百花医药,医疗服务,医疗服务,2026-09-01,13.19,66.5,1553156848,1.0,uptrend,6/8
SH600722,sh600722,金牛化工,化学原料,化学原料,2026-09-01,18.06,62.0,1793058339,1.0,uptrend,8/8
SH601886,sh601886,江河集团,装修装饰,装修装饰,2026-09-01,13.51,61.2,348539618,1.0,uptrend,8/8
SH605179,sh605179,一鸣食品,食品,食品,2026-09-01,34.67,59.8,931506337,1.0,uptrend,6/8
SH688195,sh688195,腾景科技,光电子器件,光电子器件,2026-09-01,188.35,59.2,219814647023,1.0,uptrend,6/8
SH600540,sh600540,新赛股份,农业,农业,2026-09-01,6.12,59.0,164652404,1.0,uptrend,7/8
SH688300,sh688300,联瑞新材,化学新材料,化学新材料,2026-09-01,176.16,58.4,260353680507,1.0,uptrend,5/8
SH688296,sh688296,和达科技,计算机软件,计算机软件,2026-09-01,24.78,58.2,17109318100,1.0,uptrend,6/8
SH600227,sh600227,赤天化,化肥农药,化肥农药,2026-09-01,5.17,58.1,955263248,1.0,uptrend,8/8
SH603186,sh603186,华正新材,电子元件,电子元件,2026-09-01,171.07,57.7,3742962796,1.0,uptrend,5/8
SH603330,sh603330,天洋新材,化学制品,化学制品,2026-09-01,11.2,57.7,763979301,1.0,uptrend,8/8
SH603958,sh603958,哈森股份,服装家纺,服装家纺,2026-09-01,21.68,54.5,379138762,1.0,uptrend,7/8
SH603580,sh603580,艾艾精工,化学制品,化学制品,2026-09-01,82.8,54.2,844716812,1.0,uptrend,7/8
SH600354,sh600354,敦煌种业,农业,农业,2026-09-01,9.12,52.8,622708682,1.0,uptrend,8/8
SH688433,sh688433,华曙高科,专用设备,专用设备,2026-09-01,110.13,50.9,70633814120,1.0,uptrend,6/8
SH600330,sh600330,天通股份,电子元件,电子元件,2026-09-01,26.98,48.9,3598216459,1.0,uptrend,6/8
SH688185,sh688185,康希诺,生物医药,生物医药,2026-09-01,75.8,47.6,58325522698,1.0,uptrend,7/8
SH600664,sh600664,哈药股份,化学制药,化学制药,2026-09-01,9.49,47.1,3268235693,1.0,uptrend,7/8
SH600785,sh600785,新华百货,零售,零售,2026-09-01,12.66,46.5,311774290,1.0,uptrend,8/8
SH600353,sh600353,旭光电子,电子器件,电子器件,2026-09-01,33.68,45.4,2507463004,1.0,uptrend,5/8
SH603626,sh603626,科森科技,金属制品,金属制品,2026-09-01,19.93,45.1,893750610,1.0,uptrend,7/8
SH688209,sh688209,英集芯,电子元件,电子元件,2026-09-01,30.24,44.6,37101872181,1.0,uptrend,7/8
SH600172,sh600172,黄河旋风,金属非金属新材料,金属非金属新材料,2026-09-01,14.64,43.5,2397945343,1.0,uptrend,5/8
