industry,得分,股票数,平均分,代表股
种植业,68,9,7.56,"万向德农(SH600371,+102%)"
化学原料,94,13,7.23,"金牛化工(SH600722,+62%)"
银行Ⅱ,142,21,6.76,"齐鲁银行(SH601665,+16%)"
煤炭开采,122,19,6.42,"上海能源(SH600508,+43%)"
一般零售,74,12,6.17,"新华百货(SH600785,+46%)"
化学制品,68,12,5.67,"元利科技(SH603217,+38%)"
化学制药,68,12,5.67,"东亚药业(SH605177,+37%)"
通用设备,112,20,5.6,"海鸥股份(SH603269,+106%)"
医疗器械,88,16,5.5,"南卫股份(SH603880,+40%)"
环境治理,70,13,5.38,"卓锦股份(SH688701,+27%)"
服装家纺,70,13,5.38,"地素时尚(SH603587,+11%)"
家居用品,74,14,5.29,"建霖家居(SH603408,+18%)"
软件开发,72,14,5.14,"麒麟信安(SH688152,+39%)"
汽车零部件,148,29,5.1,"华达科技(SH603358,+29%)"
专用设备,114,23,4.96,"创力集团(SH603012,+22%)"
