行业,前日排名,今日排名,前日得分,今日得分,前日平均,今日平均,前日只数,今日只数,状态,排名变化,得分变化
化学原料,4.0,1.0,76.0,84.0,6.33,7.0,12.0,12.0,池内,3.0,8.0
银行Ⅱ,1.0,2.0,110.0,148.0,6.88,6.73,16.0,22.0,池内,-1.0,38.0
煤炭开采,7.0,3.0,86.0,126.0,5.73,6.63,15.0,19.0,池内,4.0,40.0
燃气Ⅱ,3.0,4.0,54.0,64.0,6.75,6.4,8.0,10.0,池内,-1.0,10.0
通用设备,6.0,5.0,112.0,126.0,5.89,6.0,19.0,21.0,池内,1.0,14.0
出版,,6.0,,58.0,,5.8,,10.0,新进池,,58.0
软件开发,11.0,7.0,60.0,62.0,5.45,5.64,11.0,11.0,池内,4.0,2.0
一般零售,8.0,8.0,74.0,90.0,5.69,5.62,13.0,16.0,池内,0.0,16.0
服装家纺,5.0,9.0,84.0,78.0,6.0,5.57,14.0,14.0,池内,-4.0,-6.0
汽车零部件,10.0,10.0,106.0,154.0,5.58,5.5,19.0,28.0,池内,0.0,48.0
医疗器械,12.0,11.0,92.0,86.0,5.41,5.38,17.0,16.0,池内,1.0,-6.0
化学制品,,12.0,,62.0,,5.17,,12.0,新进池,,62.0
家居用品,9.0,13.0,62.0,60.0,5.64,5.0,11.0,12.0,池内,-4.0,-2.0
环境治理,13.0,14.0,54.0,64.0,5.4,4.92,10.0,13.0,池内,-1.0,10.0
专用设备,14.0,15.0,78.0,90.0,5.2,4.74,15.0,19.0,池内,-1.0,12.0
种植业,2.0,,48.0,,6.86,,7.0,,退出池,,-48.0
电网设备,15.0,,62.0,,5.17,,12.0,,退出池,,-62.0
