ticker,prefixed,name,sector,industry,date,close,chg20,chg1,chg2,chg3,volume,score,passed,uptrend
SZ300862,sz300862,蓝盾光电,通用设备,通用设备,2026-09-08,49.8,178.5,-1.17,7.21,8.73,1170423915,1.0,uptrend,6/8
SH600127,sh600127,金健米业,农业,农业,2026-09-08,14.79,140.5,9.31,20.24,16.73,2032363848,1.0,uptrend,8/8
SH600371,sh600371,万向德农,农业,农业,2026-09-08,15.83,118.0,5.04,15.55,21.02,501210125,1.0,uptrend,8/8
SZ002084,sz002084,海鸥住工,金属制品,金属制品,2026-09-08,6.8,93.2,-6.21,-4.23,-1.59,359767643,1.0,uptrend,7/8
SH600613,sh600613,神奇制药,中药生产,中药生产,2026-09-08,9.91,91.7,5.31,9.87,9.02,999882147,1.0,uptrend,7/8
SH605577,sh605577,龙版传媒,平面媒体,平面媒体,2026-09-08,18.67,91.7,9.12,20.06,32.04,223492257,1.0,uptrend,8/8
SZ300313,sz300313,天山生物,畜牧业,畜牧业,2026-09-08,15.9,90.2,0.95,10.49,17.69,523003534,1.0,uptrend,7/8
SZ002855,sz002855,捷荣技术,电子元件,电子元件,2026-09-08,18.5,83.7,-3.39,3.06,8.12,257061153,1.0,uptrend,8/8
SH601086,sh601086,国芳集团,零售,零售,2026-09-08,14.95,82.5,7.4,18.18,22.44,327529605,1.0,uptrend,8/8
SZ003040,sz003040,楚天龙,通信设备,通信设备,2026-09-08,22.25,76.6,-3.05,5.35,15.89,1242925131,1.0,uptrend,8/8
SH600354,sh600354,敦煌种业,农业,农业,2026-09-08,10.48,73.5,9.97,21.02,33.16,764437652,1.0,uptrend,8/8
SZ300684,sz300684,中石科技,化学新材料,化学新材料,2026-09-08,88.23,72.9,-15.46,-0.75,-1.49,2345435640,1.0,uptrend,7/8
SZ002909,sz002909,集泰股份,化学制品,化学制品,2026-09-08,8.72,69.3,9.96,20.94,8.86,230306654,1.0,uptrend,8/8
SZ301282,sz301282,金禄电子,电子器件,电子器件,2026-09-08,40.3,69.3,-1.54,1.46,-0.74,832037533,1.0,uptrend,7/8
SH603269,sh603269,海鸥股份,通用设备,通用设备,2026-09-08,26.91,68.6,0.04,-1.82,-4.03,909487889,1.0,uptrend,8/8
SH600108,sh600108,亚盛集团,农业,农业,2026-09-08,5.28,67.1,10.0,21.1,33.33,575287014,1.0,uptrend,7/8
SH600540,sh600540,新赛股份,农业,农业,2026-09-08,6.55,65.8,-2.53,7.2,8.09,380138299,1.0,uptrend,8/8
SH600722,sh600722,金牛化工,化学原料,化学原料,2026-09-08,19.77,63.0,10.02,14.94,14.08,2172030866,1.0,uptrend,8/8
SH688143,sh688143,长盈通,电子设备制造,电子设备制造,2026-09-08,168.0,61.0,-7.28,3.07,-4.35,291491811285,1.0,uptrend,6/8
SZ002528,sz002528,*ST英飞,计算机硬件,计算机硬件,2026-09-08,7.42,60.3,-0.93,8.96,2.77,196890895,1.0,uptrend,8/8
SZ300189,sz300189,神农种业,农业,农业,2026-09-08,7.68,60.3,-0.52,8.94,9.25,1958730900,1.0,uptrend,8/8
SZ300333,sz300333,兆日科技,计算机软件,计算机软件,2026-09-08,11.79,59.5,-1.91,-3.76,-1.09,598678970,1.0,uptrend,6/8
SH688205,sh688205,德科立,通信设备,通信设备,2026-09-08,212.0,56.9,-0.95,9.28,16.23,241411247194,1.0,uptrend,7/8
SZ301591,sz301591,肯特股份,化学制品,化学制品,2026-09-08,46.22,56.9,-5.38,-0.67,-0.75,649029550,1.0,uptrend,7/8
SZ300864,sz300864,南大环境,环保,环保,2026-09-08,29.67,56.8,1.51,2.49,15.76,145862872,1.0,uptrend,8/8
SH688655,sh688655,迅捷兴,电子器件,电子器件,2026-09-08,54.86,56.1,8.59,30.31,19.83,52804517254,1.0,uptrend,8/8
SZ002980,sz002980,华盛昌,通用设备,通用设备,2026-09-08,129.91,54.5,10.0,21.0,21.8,1186658974,1.0,uptrend,8/8
SH600865,sh600865,百大集团,零售,零售,2026-09-08,13.74,54.0,10.01,21.06,33.14,120072011,1.0,uptrend,8/8
SZ002708,sz002708,光洋股份,汽车,汽车,2026-09-08,16.25,52.4,-3.27,6.42,4.3,501384052,1.0,uptrend,8/8
SZ000017,sz000017,深中华A,珠宝首饰,珠宝首饰,2026-09-08,9.4,52.1,4.56,-1.26,-11.15,542265276,1.0,uptrend,7/8
SH688209,sh688209,英集芯,电子元件,电子元件,2026-09-08,33.29,52.0,-0.95,-3.51,0.0,59104861820,1.0,uptrend,8/8
SZ002856,sz002856,*ST美芝,装修装饰,装修装饰,2026-09-08,22.35,51.6,3.0,9.83,20.81,104212166,1.0,uptrend,8/8
SZ301046,sz301046,能辉科技,电力,电力,2026-09-08,30.42,50.7,-3.12,11.02,11.92,141876572,1.0,uptrend,8/8
SH688485,sh688485,九州一轨,专用设备,专用设备,2026-09-08,97.0,50.4,-4.39,1.6,-2.83,78926945279,1.0,uptrend,7/8
SH600479,sh600479,千金药业,中药生产,中药生产,2026-09-08,14.81,49.6,6.85,12.62,3.86,736460688,1.0,uptrend,8/8
SH600714,sh600714,金瑞矿业,化学原料,化学原料,2026-09-08,22.6,49.5,-1.78,5.21,7.77,638030106,1.0,uptrend,7/8
SZ002172,sz002172,澳洋健康,医疗服务,医疗服务,2026-09-08,5.09,49.3,9.94,20.9,14.64,700899490,1.0,uptrend,7/8
SH601579,sh601579,会稽山,饮料,饮料,2026-09-08,23.0,49.1,-2.95,-4.45,5.12,528127358,1.0,uptrend,8/8
SH603618,sh603618,杭电股份,输变电设备,输变电设备,2026-09-08,40.11,48.0,8.52,10.01,2.19,3456917276,1.0,uptrend,7/8
SH688167,sh688167,炬光科技,半导体,半导体,2026-09-08,302.13,47.7,-4.45,0.88,6.32,308417874305,1.0,uptrend,6/8
SZ002536,sz002536,飞龙股份,汽车,汽车,2026-09-08,58.59,47.5,2.13,0.57,-7.04,3123383655,1.0,uptrend,7/8
SH601118,sh601118,海南橡胶,农业,农业,2026-09-08,7.87,46.6,9.31,11.95,15.91,1026059702,1.0,uptrend,8/8
SZ300647,sz300647,超频三,金属非金属新材料,金属非金属新材料,2026-09-08,8.24,46.6,7.15,1.85,0.37,378134540,1.0,uptrend,8/8
SH603083,sh603083,XD剑桥科,通信设备,通信设备,2026-09-08,222.3,46.0,7.33,18.07,19.37,4979955828,1.0,uptrend,6/8
SZ300741,sz300741,华宝股份,食品,食品,2026-09-08,19.34,44.1,4.65,14.57,22.41,82768088,1.0,uptrend,8/8
SH600869,sh600869,远东股份,输变电设备,输变电设备,2026-09-08,22.66,43.6,8.52,6.89,7.65,4103582764,1.0,uptrend,6/8
SZ002418,sz002418,康盛股份,专用设备,专用设备,2026-09-08,5.51,43.5,3.38,5.76,-2.48,1022388209,1.0,uptrend,7/8
SZ300570,sz300570,太辰光,通信设备,通信设备,2026-09-08,201.55,43.5,-2.21,11.97,6.87,4112707801,1.0,uptrend,6/8
SZ300927,sz300927,江天化学,化学原料,化学原料,2026-09-08,32.18,43.3,6.27,7.99,2.06,533143365,1.0,uptrend,7/8
SZ002581,sz002581,*ST未名,生物医药,生物医药,2026-09-08,5.48,43.1,-6.64,-2.66,-2.84,88475560,1.0,uptrend,5/8
SZ002988,sz002988,豪美新材,基本金属,基本金属,2026-09-08,30.17,42.4,4.87,15.37,23.9,229798860,1.0,uptrend,7/8
SZ301122,sz301122,采纳股份,医疗器械,医疗器械,2026-09-08,45.6,42.0,-2.15,0.44,2.47,228913858,1.0,uptrend,8/8
SZ000911,sz000911,*ST广糖,食品,食品,2026-09-08,6.66,41.7,10.08,14.43,18.51,72469101,1.0,uptrend,8/8
SZ002811,sz002811,郑中设计,专业服务,专业服务,2026-09-08,14.66,41.0,1.95,-1.74,-6.51,212113417,1.0,uptrend,7/8
SH601886,sh601886,江河集团,装修装饰,装修装饰,2026-09-08,13.41,40.7,-2.47,-0.37,0.0,388033844,1.0,uptrend,7/8
SZ002081,sz002081,金 螳 螂,装修装饰,装修装饰,2026-09-08,5.56,40.1,4.32,7.34,11.87,2108886473,1.0,uptrend,6/8
SZ002403,sz002403,爱仕达,小家电,小家电,2026-09-08,13.65,40.0,9.99,21.01,33.17,94808897,1.0,uptrend,8/8
SZ001210,sz001210,金房能源,电力,电力,2026-09-08,30.45,39.8,7.64,8.21,3.5,279489607,1.0,uptrend,8/8
SZ300911,sz300911,亿田智能,其他家电,其他家电,2026-09-08,29.61,39.6,6.21,-4.91,-8.95,521770284,1.0,uptrend,6/8
SH688112,sh688112,鼎阳科技,通用设备,通用设备,2026-09-08,69.82,39.3,0.36,8.06,5.5,26338576325,1.0,uptrend,6/8
SH600313,sh600313,农发种业,农业,农业,2026-09-08,7.96,39.2,2.05,8.89,10.71,897705551,1.0,uptrend,8/8
SZ301628,sz301628,强达电路,电子元件,电子元件,2026-09-08,117.44,39.0,5.32,9.76,5.94,293237293,1.0,uptrend,8/8
SZ002059,sz002059,云南旅游,休闲服务,休闲服务,2026-09-08,6.28,38.9,3.46,10.76,8.65,238488583,1.0,uptrend,8/8
SZ002357,sz002357,富临运业,公路铁路,公路铁路,2026-09-08,12.6,38.8,10.04,11.5,12.2,131236825,1.0,uptrend,7/8
SH603395,sh603395,红四方,化学制品,化学制品,2026-09-08,30.97,38.6,4.03,14.45,9.28,466080228,1.0,uptrend,8/8
