行业,状态,前日排名,今日排名,排名变化,前日趋势分,今日趋势分,趋势分变化,前日动量分,今日动量分,动量分变化,前日总分,今日总分,总分变化
出版,池内,5.0,1.0,4.0,6.38,6.75,0.3700000000000001,5.16,7.8,2.6399999999999997,5.77,7.28,1.5100000000000007
种植业,池内,1.0,2.0,-1.0,7.33,7.2,-0.1299999999999999,6.14,6.73,0.5900000000000007,6.73,6.96,0.22999999999999954
农化制品,池内,15.0,3.0,12.0,5.56,5.94,0.3800000000000008,2.23,6.94,4.710000000000001,3.89,6.44,2.5500000000000003
农产品加工,新进池,,4.0,,,6.71,6.71,,6.16,6.16,,6.44,6.44
一般零售,池内,2.0,5.0,-3.0,6.07,6.4,0.33000000000000007,6.92,6.34,-0.5800000000000001,6.5,6.37,-0.1299999999999999
元件,池内,3.0,6.0,-3.0,4.88,5.2,0.3200000000000003,7.21,7.17,-0.040000000000000036,6.04,6.19,0.15000000000000036
化学制品,池内,11.0,7.0,4.0,5.33,5.52,0.1899999999999995,4.86,6.72,1.8599999999999994,5.1,6.12,1.0200000000000005
半导体,池内,12.0,8.0,4.0,5.0,5.33,0.33000000000000007,5.14,5.29,0.15000000000000036,5.07,5.31,0.23999999999999932
专用设备,池内,9.0,9.0,0.0,5.0,5.25,0.25,6.12,5.24,-0.8799999999999999,5.56,5.25,-0.3099999999999996
通信设备,池内,6.0,10.0,-4.0,4.96,4.92,-0.040000000000000036,6.54,5.49,-1.0499999999999998,5.75,5.21,-0.54
通用设备,池内,4.0,11.0,-7.0,4.97,5.17,0.20000000000000018,6.99,5.08,-1.9100000000000001,5.98,5.12,-0.8600000000000003
汽车零部件,池内,7.0,12.0,-5.0,5.18,5.22,0.040000000000000036,6.06,4.58,-1.4799999999999995,5.62,4.9,-0.7199999999999998
环境治理,池内,13.0,13.0,0.0,5.21,5.15,-0.05999999999999961,3.91,3.58,-0.33000000000000007,4.56,4.37,-0.1899999999999995
软件开发,池内,10.0,14.0,-4.0,5.53,5.31,-0.22000000000000064,4.97,2.65,-2.32,5.25,3.98,-1.27
家居用品,池内,14.0,15.0,-1.0,5.0,5.07,0.07000000000000028,3.41,2.77,-0.6400000000000001,4.21,3.92,-0.29000000000000004
银行Ⅱ,池内,16.0,16.0,0.0,6.77,6.15,-0.6199999999999992,-0.12,0.74,0.86,3.32,3.45,0.13000000000000034
自动化设备,退出池,8.0,,,5.3,,-5.3,5.94,,-5.94,5.62,,-5.62
