ticker,prefixed,name,sector,industry,date,close,chg20,chg1,chg2,chg3,volume,score,passed,uptrend7
SH600017,sh600017,日照港,港口航运,港口航运,2026-09-09,2.92,9.0,1.39,2.82,2.46,386938.0,5.0,uptrend7,5/8
SH600007,sh600007,中国国贸,房地产开发,房地产开发,2026-09-09,19.31,3.9,0.42,1.58,1.9,16680.0,5.0,uptrend7,5/8
SH600011,sh600011,华能国际,电力,电力,2026-09-09,7.04,1.3,2.03,2.92,2.62,1171663.0,8.0,uptrend7,8/8
SH600028,sh600028,中国石化,石油天然气,石油天然气,2026-09-09,5.61,11.1,0.36,4.47,2.37,2276623.0,6.0,uptrend7,6/8
SH600019,sh600019,宝钢股份,钢铁,钢铁,2026-09-09,5.9,2.8,1.2,2.61,0.68,1129410.0,6.0,uptrend7,6/8
SH600027,sh600027,华电国际,电力,电力,2026-09-09,4.9,5.8,1.24,1.66,1.24,838866.0,7.0,uptrend7,7/8
SH600016,sh600016,民生银行,银行,银行,2026-09-09,3.64,4.3,0.28,1.11,0.83,2046898.0,6.0,uptrend7,6/8
SH600032,sh600032,浙江新能,电力,电力,2026-09-09,7.0,-6.7,1.74,3.86,4.01,180774.0,6.0,uptrend7,6/8
SH600048,sh600048,保利发展,房地产开发,房地产开发,2026-09-09,5.22,-4.2,-1.14,0.19,-0.57,1124629.0,5.0,uptrend7,5/8
SH600037,sh600037,歌华有线,广播电视,广播电视,2026-09-09,7.07,-1.1,-1.94,-1.26,0.14,139605.0,5.0,uptrend7,5/8
SH600038,sh600038,中直股份,航空航天装备,航空航天装备,2026-09-09,28.12,4.7,0.75,2.52,0.61,62788.0,5.0,uptrend7,5/8
SH600026,sh600026,中远海能,港口航运,港口航运,2026-09-09,21.43,28.0,5.93,8.51,5.36,1042764.0,6.0,uptrend7,6/8
SH600051,sh600051,宁波联合,电力,电力,2026-09-09,6.49,3.7,0.31,2.2,3.18,42629.0,5.0,uptrend7,5/8
SH600023,sh600023,浙能电力,电力,电力,2026-09-09,5.02,1.2,1.83,3.51,2.87,977156.0,6.0,uptrend7,6/8
SH600033,sh600033,福建高速,公路铁路,公路铁路,2026-09-09,3.66,4.0,0.55,0.55,0.55,208835.0,6.0,uptrend7,6/8
SH600059,sh600059,古越龙山,饮料,饮料,2026-09-09,9.4,17.1,6.82,5.38,2.29,888607.0,8.0,uptrend7,8/8
SH600031,sh600031,三一重工,专用设备,专用设备,2026-09-09,20.22,6.9,1.25,1.66,1.1,682209.0,5.0,uptrend7,5/8
SH600053,sh600053,*ST九鼎,非银行金融,非银行金融,2026-09-09,8.02,8.4,-1.84,1.26,2.82,22314.0,7.0,uptrend7,7/8
SH600071,sh600071,凤凰光学,光电子器件,光电子器件,2026-09-09,16.91,4.8,0.42,1.32,1.87,20489.0,7.0,uptrend7,7/8
SH600064,sh600064,南京高科,房地产开发,房地产开发,2026-09-09,7.76,1.6,0.0,2.11,1.17,129688.0,5.0,uptrend7,5/8
SH600062,sh600062,华润双鹤,化学制药,化学制药,2026-09-09,16.21,-1.1,0.06,0.5,1.19,45501.0,5.0,uptrend7,5/8
SH600067,sh600067,冠城新材,输变电设备,输变电设备,2026-09-09,2.9,0.7,-0.68,0.35,1.4,175007.0,6.0,uptrend7,6/8
SH600054,sh600054,黄山旅游,休闲服务,休闲服务,2026-09-09,11.71,3.6,-0.43,0.09,1.47,116266.0,7.0,uptrend7,7/8
SH600072,sh600072,中船科技,建筑施工,建筑施工,2026-09-09,9.15,2.0,1.33,2.23,0.88,251517.0,8.0,uptrend7,8/8
SH600084,sh600084,*ST尼雅,饮料,饮料,2026-09-09,4.33,2.6,-1.14,0.23,0.46,36449.0,7.0,uptrend7,7/8
SH600088,sh600088,中视传媒,影视动漫,影视动漫,2026-09-09,12.54,5.1,-4.57,1.13,0.32,179593.0,7.0,uptrend7,7/8
SH600080,sh600080,ST金花,生物医药,生物医药,2026-09-09,4.98,0.6,-0.4,-1.39,2.68,26483.0,7.0,uptrend7,7/8
SH600094,sh600094,大名城,房地产开发,房地产开发,2026-09-09,4.06,-6.7,-1.93,1.5,2.27,228068.0,6.0,uptrend7,6/8
SH600105,sh600105,永鼎股份,通信设备,通信设备,2026-09-09,41.48,0.7,6.06,6.39,11.63,1734034.0,5.0,uptrend7,5/8
SH600082,sh600082,ST海泰,房地产开发,房地产开发,2026-09-09,3.05,5.2,-0.97,0.66,2.01,39605.0,6.0,uptrend7,6/8
SH600073,sh600073,光明肉业,食品,食品,2026-09-09,5.85,12.3,-1.18,1.04,1.21,128225.0,6.0,uptrend7,6/8
SH600101,sh600101,明星电力,电力,电力,2026-09-09,7.95,-3.0,1.02,1.79,1.15,104797.0,5.0,uptrend7,5/8
SH600097,sh600097,开创国际,渔业,渔业,2026-09-09,10.02,16.6,1.21,4.27,7.28,131950.0,8.0,uptrend7,8/8
SH600119,sh600119,*ST长投,物流,物流,2026-09-09,5.22,13.2,0.0,3.37,3.57,24030.0,6.0,uptrend7,6/8
SH600089,sh600089,特变电工,输变电设备,输变电设备,2026-09-09,19.28,-9.7,1.05,1.8,2.12,693532.0,5.0,uptrend7,5/8
SH600075,sh600075,新疆天业,化学原料,化学原料,2026-09-09,5.15,12.2,2.79,4.46,3.83,411926.0,8.0,uptrend7,8/8
SH600108,sh600108,亚盛集团,农业,农业,2026-09-09,5.71,79.0,8.14,18.96,30.96,7894796.0,8.0,uptrend7,8/8
SH600113,sh600113,浙江东日,商业物业经营,商业物业经营,2026-09-09,32.34,1.0,2.24,8.85,8.85,111811.0,7.0,uptrend7,7/8
SH600127,sh600127,金健米业,农业,农业,2026-09-09,14.33,134.2,-3.11,5.91,16.5,2498195.0,5.0,uptrend7,5/8
SH600121,sh600121,郑州煤电,煤炭,煤炭,2026-09-09,5.7,41.4,10.04,15.38,11.33,2149307.0,5.0,uptrend7,5/8
SH600106,sh600106,重庆路桥,公路铁路,公路铁路,2026-09-09,4.64,2.4,0.0,0.87,0.22,87757.0,7.0,uptrend7,7/8
SH600136,sh600136,ST明诚,房地产服务,房地产服务,2026-09-09,1.51,0.0,-1.31,0.67,2.03,94614.0,8.0,uptrend7,8/8
SH600128,sh600128,苏豪弘业,贸易,贸易,2026-09-09,8.76,5.9,-0.9,1.86,3.06,33965.0,7.0,uptrend7,7/8
SH600098,sh600098,广州发展,电力,电力,2026-09-09,6.37,2.1,0.63,2.91,4.26,183437.0,5.0,uptrend7,5/8
SH600104,sh600104,上汽集团,汽车,汽车,2026-09-09,10.93,5.4,2.05,3.31,4.39,666686.0,8.0,uptrend7,8/8
SH600135,sh600135,乐凯胶片,化学制品,化学制品,2026-09-09,7.68,0.9,0.0,3.09,2.81,57450.0,6.0,uptrend7,6/8
SH600115,sh600115,中国东航,航空机场,航空机场,2026-09-09,3.51,-2.8,0.57,0.29,0.57,1290716.0,5.0,uptrend7,5/8
SH600141,sh600141,兴发集团,化学原料,化学原料,2026-09-09,31.5,-1.2,-1.32,4.17,4.34,305470.0,6.0,uptrend7,6/8
SH600159,sh600159,大龙地产,房地产开发,房地产开发,2026-09-09,2.8,7.3,-1.75,0.36,2.56,206806.0,7.0,uptrend7,7/8
SH600149,sh600149,廊坊发展,电力,电力,2026-09-09,5.21,5.7,0.39,1.96,0.77,86762.0,5.0,uptrend7,5/8
SH600150,sh600150,中国船舶,船舶与海洋装备,船舶与海洋装备,2026-09-09,39.53,16.6,1.15,3.0,5.5,1193542.0,8.0,uptrend7,8/8
SH600138,sh600138,中青旅,休闲服务,休闲服务,2026-09-09,7.56,5.1,-0.13,1.2,3.28,152172.0,8.0,uptrend7,8/8
SH600148,sh600148,长春一东,汽车,汽车,2026-09-09,16.64,7.4,1.03,1.71,-3.09,35711.0,6.0,uptrend7,6/8
SH600158,sh600158,中体产业,体育,体育,2026-09-09,7.34,-0.1,-1.61,-0.27,-0.41,262855.0,6.0,uptrend7,6/8
SH600163,sh600163,中闽能源,电力,电力,2026-09-09,5.4,3.1,2.66,4.25,2.66,277569.0,8.0,uptrend7,8/8
SH600170,sh600170,上海建工,建筑施工,建筑施工,2026-09-09,2.29,-1.7,-1.29,0.88,0.44,1020377.0,6.0,uptrend7,6/8
SH600169,sh600169,ST太重,专用设备,专用设备,2026-09-09,2.19,5.3,0.92,1.39,2.82,141984.0,7.0,uptrend7,7/8
SH600167,sh600167,联美控股,电力,电力,2026-09-09,5.9,3.3,1.03,0.68,1.72,76289.0,6.0,uptrend7,6/8
SH600156,sh600156,华升股份,贸易,贸易,2026-09-09,8.69,2.8,-1.59,-3.66,0.12,91990.0,6.0,uptrend7,6/8
SH600162,sh600162,香江控股,房地产开发,房地产开发,2026-09-09,5.22,10.6,-5.09,4.4,11.3,2429296.0,5.0,uptrend7,5/8
SH600177,sh600177,雅戈尔,服装家纺,服装家纺,2026-09-09,8.32,6.9,0.6,1.59,1.22,234126.0,5.0,uptrend7,5/8
SH600183,sh600183,生益科技,电子元件,电子元件,2026-09-09,148.16,3.4,1.29,0.01,7.75,589970.0,7.0,uptrend7,7/8
SH600161,sh600161,天坛生物,生物医药,生物医药,2026-09-09,12.56,-0.6,-1.34,2.53,2.28,97946.0,6.0,uptrend7,6/8
SH600180,sh600180,*ST瑞茂,煤炭,煤炭,2026-09-09,1.54,-1.9,-1.91,1.99,6.94,134636.0,7.0,uptrend7,7/8
SH600185,sh600185,珠免集团,贸易,贸易,2026-09-09,5.3,9.1,-1.67,-2.39,-3.28,584287.0,6.0,uptrend7,6/8
SH600186,sh600186,莲花控股,食品,食品,2026-09-09,12.03,5.1,-2.91,-4.14,1.26,1938858.0,5.0,uptrend7,5/8
SH600189,sh600189,泉阳泉,饮料,饮料,2026-09-09,8.2,8.8,0.61,2.5,3.02,109035.0,6.0,uptrend7,6/8
SH600178,sh600178,东安动力,汽车,汽车,2026-09-09,10.15,4.3,1.1,0.4,0.5,76695.0,7.0,uptrend7,7/8
SH600195,sh600195,中牧股份,畜牧业,畜牧业,2026-09-09,7.14,7.2,-0.83,1.42,3.48,83640.0,7.0,uptrend7,7/8
SH600191,sh600191,华资实业,农业,农业,2026-09-09,11.2,6.4,2.94,6.67,8.21,260976.0,5.0,uptrend7,5/8
SH600210,sh600210,紫江企业,造纸印刷,造纸印刷,2026-09-09,6.28,2.3,-0.16,2.11,2.78,111380.0,6.0,uptrend7,6/8
SH600199,sh600199,金种子酒,饮料,饮料,2026-09-09,7.59,-4.8,-0.26,1.61,0.8,257992.0,7.0,uptrend7,7/8
SH600184,sh600184,光电股份,地面装备,地面装备,2026-09-09,18.59,2.9,2.82,2.93,4.44,226327.0,5.0,uptrend7,5/8
SH600192,sh600192,长城电工,输变电设备,输变电设备,2026-09-09,7.89,4.5,10.04,10.2,8.53,308686.0,7.0,uptrend7,7/8
SH600168,sh600168,武汉控股,水务,水务,2026-09-09,4.52,3.7,-0.22,1.57,1.57,37352.0,5.0,uptrend7,5/8
SH600197,sh600197,伊力特,饮料,饮料,2026-09-09,9.96,-2.1,0.91,2.15,2.68,82983.0,6.0,uptrend7,6/8
SH600218,sh600218,全柴动力,通用设备,通用设备,2026-09-09,7.94,3.1,0.25,0.25,2.98,46355.0,5.0,uptrend7,5/8
SH600207,sh600207,安彩高科,金属非金属新材料,金属非金属新材料,2026-09-09,4.52,-1.1,-0.44,0.67,2.49,104872.0,5.0,uptrend7,5/8
SH600223,sh600223,福瑞达,化学制品,化学制品,2026-09-09,5.74,1.1,-1.2,0.88,1.06,58187.0,5.0,uptrend7,5/8
SH600219,sh600219,南山铝业,基本金属,基本金属,2026-09-09,5.07,2.0,1.81,4.11,3.05,1724950.0,6.0,uptrend7,6/8
SH600172,sh600172,黄河旋风,金属非金属新材料,金属非金属新材料,2026-09-09,16.93,35.8,2.61,6.54,7.22,2505650.0,7.0,uptrend7,7/8
SH600212,sh600212,绿能慧充,电源设备,电源设备,2026-09-09,6.44,15.0,-1.53,0.16,1.1,89893.0,6.0,uptrend7,6/8
SH600217,sh600217,中再资环,环保,环保,2026-09-09,3.4,6.6,1.49,5.26,4.62,334670.0,6.0,uptrend7,6/8
SH600228,sh600228,返利科技,互联网商务,互联网商务,2026-09-09,9.92,19.1,-1.39,0.0,-3.69,175532.0,5.0,uptrend7,5/8
SH600229,sh600229,城市传媒,平面媒体,平面媒体,2026-09-09,5.56,6.7,-3.3,0.18,3.35,174822.0,7.0,uptrend7,7/8
SH600234,sh600234,科新发展,装修装饰,装修装饰,2026-09-09,23.02,-1.6,6.87,7.12,3.74,100453.0,7.0,uptrend7,7/8
SH600239,sh600239,ST云城,房地产服务,房地产服务,2026-09-09,1.47,0.7,0.68,2.08,2.08,184369.0,6.0,uptrend7,6/8
SH600235,sh600235,民丰特纸,造纸印刷,造纸印刷,2026-09-09,6.0,5.3,-0.33,2.04,2.04,29586.0,5.0,uptrend7,5/8
SH600231,sh600231,凌钢股份,钢铁,钢铁,2026-09-09,1.8,3.4,0.56,3.45,2.86,194645.0,5.0,uptrend7,5/8
SH600248,sh600248,陕建股份,建筑施工,建筑施工,2026-09-09,2.95,1.4,0.0,1.72,1.72,205099.0,7.0,uptrend7,7/8
SH600255,sh600255,鑫科材料,基本金属,基本金属,2026-09-09,3.89,15.4,9.89,13.08,14.41,1564538.0,7.0,uptrend7,7/8
SH600251,sh600251,冠农股份,农业,农业,2026-09-09,12.05,21.8,1.6,6.83,11.27,537786.0,8.0,uptrend7,8/8
SH600249,sh600249,两面针,化学制品,化学制品,2026-09-09,5.55,4.7,-0.36,2.78,4.32,97201.0,7.0,uptrend7,7/8
SH600257,sh600257,大湖股份,医疗服务,医疗服务,2026-09-09,6.08,10.7,0.66,0.16,3.23,284959.0,8.0,uptrend7,8/8
SH600256,sh600256,广汇能源,石油天然气,石油天然气,2026-09-09,7.42,26.0,2.91,10.75,10.58,1822861.0,8.0,uptrend7,8/8
SH600266,sh600266,城建发展,房地产开发,房地产开发,2026-09-09,4.3,-6.5,-1.83,1.18,0.0,309269.0,6.0,uptrend7,6/8
SH600269,sh600269,赣粤高速,公路铁路,公路铁路,2026-09-09,3.95,3.9,-0.5,-1.25,0.77,176259.0,8.0,uptrend7,8/8
SH600279,sh600279,重庆港,港口航运,港口航运,2026-09-09,4.52,4.4,2.03,2.96,2.49,124859.0,6.0,uptrend7,6/8
SH600280,sh600280,中央商场,零售,零售,2026-09-09,3.39,11.1,-2.87,-1.17,8.65,1166025.0,7.0,uptrend7,7/8
SH600278,sh600278,东方创业,贸易,贸易,2026-09-09,6.63,4.6,-0.15,0.45,0.91,43571.0,6.0,uptrend7,6/8
SH600282,sh600282,南钢股份,钢铁,钢铁,2026-09-09,4.83,3.4,1.05,3.65,1.9,337443.0,5.0,uptrend7,5/8
SH600287,sh600287,苏豪时尚,贸易,贸易,2026-09-09,5.14,6.6,-0.96,0.98,2.39,26062.0,6.0,uptrend7,6/8
SH600305,sh600305,恒顺醋业,食品,食品,2026-09-09,6.93,0.6,-0.43,0.58,1.61,82874.0,6.0,uptrend7,6/8
SH600283,sh600283,钱江水利,水务,水务,2026-09-09,8.31,3.9,-0.12,1.22,1.84,40544.0,7.0,uptrend7,7/8
SH600300,sh600300,维维股份,饮料,饮料,2026-09-09,3.35,4.7,-1.18,0.6,2.45,410048.0,8.0,uptrend7,8/8
SH600295,sh600295,鄂尔多斯,铁矿石,铁矿石,2026-09-09,14.05,9.9,1.22,3.16,-4.49,91095.0,5.0,uptrend7,5/8
SH600302,sh600302,ST标准,专用设备,专用设备,2026-09-09,7.53,11.7,3.29,9.29,8.66,85065.0,8.0,uptrend7,8/8
SH600308,sh600308,华泰股份,造纸印刷,造纸印刷,2026-09-09,3.36,2.8,-0.3,0.3,2.75,86876.0,7.0,uptrend7,7/8
SH600299,sh600299,安迪苏,畜牧业,畜牧业,2026-09-09,8.95,4.9,1.47,3.83,4.43,431259.0,6.0,uptrend7,6/8
SH600307,sh600307,酒钢宏兴,钢铁,钢铁,2026-09-09,1.56,4.7,1.3,4.7,5.41,649197.0,8.0,uptrend7,8/8
SH600309,sh600309,万华化学,化学原料,化学原料,2026-09-09,78.87,5.1,1.0,2.78,1.56,264449.0,6.0,uptrend7,6/8
SH600313,sh600313,农发种业,农业,农业,2026-09-09,8.37,46.3,5.15,7.31,14.5,1814176.0,7.0,uptrend7,7/8
SH600310,sh600310,广西能源,电力,电力,2026-09-09,4.63,1.3,2.21,3.81,3.35,432163.0,6.0,uptrend7,6/8
SH600315,sh600315,上海家化,化学制品,化学制品,2026-09-09,18.96,5.9,-0.58,1.66,1.83,98085.0,8.0,uptrend7,8/8
SH600318,sh600318,新力金融,非银行金融,非银行金融,2026-09-09,7.35,9.9,-2.26,3.23,0.14,560072.0,7.0,uptrend7,7/8
SH600316,sh600316,洪都航空,航空航天装备,航空航天装备,2026-09-09,34.16,17.3,5.2,7.59,5.46,227662.0,6.0,uptrend7,6/8
SH600320,sh600320,振华重工,通用设备,通用设备,2026-09-09,4.26,2.9,1.67,4.16,3.15,475684.0,7.0,uptrend7,7/8
SH600322,sh600322,津投城开,房地产开发,房地产开发,2026-09-09,2.83,1.8,1.07,3.28,3.28,258244.0,6.0,uptrend7,6/8
SH600319,sh600319,亚星化学,化学制品,化学制品,2026-09-09,6.74,7.5,0.9,3.06,3.37,35535.0,6.0,uptrend7,6/8
SH600325,sh600325,华发股份,房地产开发,房地产开发,2026-09-09,2.54,-2.3,-3.79,-1.17,-3.42,620220.0,5.0,uptrend7,5/8
SH600327,sh600327,大东方,医疗服务,医疗服务,2026-09-09,4.12,2.2,-0.72,0.24,4.3,166191.0,6.0,uptrend7,6/8
SH600330,sh600330,天通股份,电子元件,电子元件,2026-09-09,29.36,21.1,-2.39,1.63,11.81,1113811.0,5.0,uptrend7,5/8
SH600335,sh600335,国机汽车,汽车,汽车,2026-09-09,5.29,3.5,-0.19,1.54,2.12,103947.0,5.0,uptrend7,5/8
SH600336,sh600336,澳柯玛,白色家电,白色家电,2026-09-09,6.79,7.1,-1.31,2.72,2.57,92703.0,7.0,uptrend7,7/8
SH600343,sh600343,航天动力,通用设备,通用设备,2026-09-09,19.08,-4.7,0.79,5.01,4.61,375548.0,6.0,uptrend7,6/8
SH600333,sh600333,长春燃气,燃气,燃气,2026-09-09,7.17,15.5,1.99,5.91,5.13,154860.0,8.0,uptrend7,8/8
SH600345,sh600345,长江通信,通信设备,通信设备,2026-09-09,53.97,14.3,3.0,5.31,15.84,198871.0,6.0,uptrend7,6/8
SH600339,sh600339,中油工程,石油天然气,石油天然气,2026-09-09,3.48,6.7,-0.29,3.88,3.57,464305.0,5.0,uptrend7,5/8
SH600358,sh600358,国旅联合,营销服务,营销服务,2026-09-09,5.27,-3.7,-0.75,0.19,0.38,53264.0,7.0,uptrend7,7/8
SH600359,sh600359,新农开发,农业,农业,2026-09-09,8.76,42.0,10.05,11.17,17.43,390459.0,8.0,uptrend7,8/8
SH600356,sh600356,恒丰纸业,造纸印刷,造纸印刷,2026-09-09,9.35,4.6,-0.64,2.41,5.65,51170.0,7.0,uptrend7,7/8
SH600354,sh600354,敦煌种业,农业,农业,2026-09-09,10.98,78.8,4.77,15.22,26.79,2401741.0,7.0,uptrend7,7/8
SH600362,sh600362,江西铜业,基本金属,基本金属,2026-09-09,49.57,6.7,2.14,7.71,8.09,1085546.0,5.0,uptrend7,5/8
SH600368,sh600368,五洲交通,公路铁路,公路铁路,2026-09-09,4.41,9.7,0.92,1.15,1.61,368224.0,6.0,uptrend7,6/8
SH600371,sh600371,万向德农,农业,农业,2026-09-09,15.4,111.2,-2.72,2.19,12.41,817568.0,7.0,uptrend7,7/8
SH600372,sh600372,中航机载,航空航天装备,航空航天装备,2026-09-09,11.94,5.6,1.36,5.66,4.28,532123.0,8.0,uptrend7,8/8
SH600373,sh600373,中文传媒,平面媒体,平面媒体,2026-09-09,7.5,3.9,-3.72,-0.79,1.08,185874.0,7.0,uptrend7,7/8
SH600386,sh600386,北巴传媒,汽车,汽车,2026-09-09,3.66,7.0,0.0,1.95,2.81,68859.0,7.0,uptrend7,7/8
SH600389,sh600389,江山股份,化肥农药,化肥农药,2026-09-09,20.06,1.9,0.55,6.7,7.22,283026.0,7.0,uptrend7,7/8
SH600380,sh600380,健康元,化学制药,化学制药,2026-09-09,9.44,-8.5,-1.36,-1.05,3.06,120939.0,6.0,uptrend7,6/8
SH600383,sh600383,金地集团,房地产开发,房地产开发,2026-09-09,2.32,-0.4,-3.33,-2.11,-2.93,847968.0,5.0,uptrend7,5/8
SH600388,sh600388,紫金龙净,专用设备,专用设备,2026-09-09,18.74,3.5,-0.37,-1.83,-1.42,66954.0,7.0,uptrend7,7/8
SH600398,sh600398,海澜之家,服装家纺,服装家纺,2026-09-09,6.03,-0.7,2.2,2.55,2.2,497566.0,6.0,uptrend7,6/8
SH600391,sh600391,航发科技,航空航天装备,航空航天装备,2026-09-09,40.88,29.9,-0.75,7.69,7.83,309108.0,8.0,uptrend7,8/8
SH600399,sh600399,抚顺特钢,钢铁,钢铁,2026-09-09,4.8,10.9,0.84,5.96,7.14,488333.0,8.0,uptrend7,8/8
SH600400,sh600400,红豆股份,服装家纺,服装家纺,2026-09-09,3.08,-2.5,-3.75,-2.22,7.69,713115.0,6.0,uptrend7,6/8
SH600396,sh600396,华电辽能,电力,电力,2026-09-09,14.75,-14.1,5.66,7.04,8.14,2310035.0,5.0,uptrend7,5/8
SH600408,sh600408,安泰集团,煤炭,煤炭,2026-09-09,3.3,14.2,1.85,7.84,8.2,642641.0,6.0,uptrend7,6/8
SH600416,sh600416,湘电股份,电机,电机,2026-09-09,8.84,-2.4,0.68,3.51,2.2,168704.0,7.0,uptrend7,7/8
SH600428,sh600428,中远海特,港口航运,港口航运,2026-09-09,11.75,-2.6,3.62,3.52,0.77,461044.0,5.0,uptrend7,5/8
