ticker,prefixed,name,sector,industry,date,close,chg20,chg1,chg2,chg3,volume,score,passed,uptrend7
SH600007,sh600007,中国国贸,房地产开发,房地产开发,2026-09-10,19.25,5.1,-0.31,0.1,1.26,1517.0,5.0,uptrend7,5/8
SH600008,sh600008,首创环保,水务,水务,2026-09-10,2.81,-1.1,-0.71,-0.71,0.72,113115.0,5.0,uptrend7,5/8
SH600022,sh600022,山东钢铁,钢铁,钢铁,2026-09-10,1.36,2.3,0.0,0.74,3.03,165436.0,5.0,uptrend7,5/8
SH600011,sh600011,华能国际,电力,电力,2026-09-10,7.03,1.6,-0.14,1.88,2.78,70058.0,7.0,uptrend7,7/8
SH600017,sh600017,日照港,港口航运,港口航运,2026-09-10,2.89,8.2,-1.03,0.35,1.76,42596.0,5.0,uptrend7,5/8
SH600016,sh600016,民生银行,银行,银行,2026-09-10,3.64,4.9,0.0,0.28,1.11,193864.0,6.0,uptrend7,6/8
SH600021,sh600021,上海电力,电力,电力,2026-09-10,13.64,-6.1,-0.15,1.04,1.87,42980.0,5.0,uptrend7,5/8
SH600026,sh600026,中远海能,港口航运,港口航运,2026-09-10,20.9,24.8,-2.47,3.31,5.82,151312.0,6.0,uptrend7,6/8
SH600023,sh600023,浙能电力,电力,电力,2026-09-10,5.01,1.0,-0.2,1.62,3.3,48244.0,7.0,uptrend7,7/8
SH600019,sh600019,宝钢股份,钢铁,钢铁,2026-09-10,5.9,4.1,0.0,1.2,2.61,83347.0,6.0,uptrend7,6/8
SH600027,sh600027,华电国际,电力,电力,2026-09-10,4.88,6.1,-0.41,0.83,1.24,63087.0,7.0,uptrend7,7/8
SH600031,sh600031,三一重工,专用设备,专用设备,2026-09-10,20.17,7.7,-0.25,1.0,1.41,52129.0,6.0,uptrend7,6/8
SH600028,sh600028,中国石化,石油天然气,石油天然气,2026-09-10,5.62,12.6,0.18,0.54,4.66,265135.0,5.0,uptrend7,5/8
SH600033,sh600033,福建高速,公路铁路,公路铁路,2026-09-10,3.64,4.0,-0.55,0.0,0.0,33237.0,5.0,uptrend7,5/8
SH600048,sh600048,保利发展,房地产开发,房地产开发,2026-09-10,5.21,-2.3,-0.19,-1.33,0.0,114062.0,5.0,uptrend7,5/8
SH600038,sh600038,中直股份,航空航天装备,航空航天装备,2026-09-10,28.0,5.3,-0.43,0.32,2.08,7122.0,5.0,uptrend7,5/8
SH600032,sh600032,浙江新能,电力,电力,2026-09-10,6.99,-5.9,-0.14,1.6,3.71,18526.0,6.0,uptrend7,6/8
SH600051,sh600051,宁波联合,电力,电力,2026-09-10,6.43,4.2,-0.92,-0.62,1.26,5657.0,5.0,uptrend7,5/8
SH600054,sh600054,黄山旅游,休闲服务,休闲服务,2026-09-10,11.73,4.7,0.17,-0.26,0.26,23361.0,7.0,uptrend7,7/8
SH600071,sh600071,凤凰光学,光电子器件,光电子器件,2026-09-10,16.75,6.5,-0.95,-0.53,0.36,2925.0,5.0,uptrend7,5/8
SH600064,sh600064,南京高科,房地产开发,房地产开发,2026-09-10,7.76,2.4,0.0,0.0,2.11,9305.0,5.0,uptrend7,5/8
SH600059,sh600059,古越龙山,饮料,饮料,2026-09-10,8.96,6.4,-4.68,1.82,0.45,219741.0,7.0,uptrend7,7/8
SH600072,sh600072,中船科技,建筑施工,建筑施工,2026-09-10,9.15,3.0,0.0,1.33,2.23,46888.0,7.0,uptrend7,7/8
SH600075,sh600075,新疆天业,化学原料,化学原料,2026-09-10,5.16,15.4,0.19,2.99,4.67,92288.0,7.0,uptrend7,7/8
SH600073,sh600073,光明肉业,食品,食品,2026-09-10,5.8,9.2,-0.85,-2.03,0.17,22017.0,5.0,uptrend7,5/8
