industry,得分,股票数,平均分,代表股
装修装饰Ⅱ,8,1,8.0,"江河集团(SH601886,+61%)"
种植业,68,9,7.56,"万向德农(SH600371,+102%)"
化学原料,94,13,7.23,"金牛化工(SH600722,+62%)"
基础建设,28,4,7.0,"汇通集团(SH603176,+21%)"
养殖业,14,2,7.0,"神农集团(SH605296,+15%)"
黑色家电,14,2,7.0,"海信视像(SH600060,+8%)"
中药Ⅱ,34,5,6.8,"千金药业(SH600479,+36%)"
银行Ⅱ,142,21,6.76,"齐鲁银行(SH601665,+16%)"
冶钢原料,20,3,6.67,"鄂尔多斯(SH600295,+11%)"
纺织制造,20,3,6.67,"新澳股份(SH603889,+8%)"
通信服务,20,3,6.67,"中通国脉(SH603559,+19%)"
物流,66,10,6.6,"海程邦达(SH603836,+9%)"
铁路公路,26,4,6.5,"宁沪高速(SH600377,+5%)"
煤炭开采,122,19,6.42,"上海能源(SH600508,+43%)"
军工电子Ⅱ,32,5,6.4,"国睿科技(SH600562,+22%)"
塑料,32,5,6.4,"天洋新材(SH603330,+58%)"
旅游及景区,50,8,6.25,"大连圣亚(SH600593,+8%)"
燃气Ⅱ,50,8,6.25,"洪通燃气(SH605169,+25%)"
一般零售,74,12,6.17,"新华百货(SH600785,+46%)"
农化制品,60,10,6.0,"赤天化(SH600227,+58%)"
证券Ⅱ,54,9,6.0,"湘财股份(SH600095,+18%)"
电力,42,7,6.0,"新中港(SH605162,+28%)"
农产品加工,36,6,6.0,"金健米业(SH600127,+135%)"
半导体,30,5,6.0,"力芯微(SH688601,+67%)"
炼化及贸易,30,5,6.0,"桐昆股份(SH601233,+23%)"
自动化设备,30,5,6.0,"北自科技(SH603082,+26%)"
造纸,24,4,6.0,"森林包装(SH605500,+11%)"
广告营销,18,3,6.0,"ST华扬(SH603825,+16%)"
休闲食品,12,2,6.0,"元祖股份(SH603886,+23%)"
油气开采Ⅱ,12,2,6.0,"中国海油(SH600938,+9%)"
白酒Ⅱ,12,2,6.0,"迎驾贡酒(SH603198,+11%)"
综合Ⅱ,12,2,6.0,"上海三毛(SH600689,+16%)"
贵金属,12,2,6.0,"山东黄金(SH600547,+37%)"
酒店餐饮,12,2,6.0,"金陵饭店(SH601007,+8%)"
金属新材料,12,2,6.0,"华达新材(SH605158,+21%)"
专业服务,6,1,6.0,"安邦护卫(SH603373,+18%)"
专业连锁Ⅱ,6,1,6.0,"爱婴室(SH603214,+6%)"
动物保健Ⅱ,6,1,6.0,"中牧股份(SH600195,+5%)"
厨卫电器,6,1,6.0,"日出东方(SH603366,+12%)"
房地产服务,6,1,6.0,"南都物业(SH603506,+15%)"
文娱用品,6,1,6.0,"浙江自然(SH605080,+15%)"
汽车服务,6,1,6.0,"上海物贸(SH600822,+5%)"
消费电子,6,1,6.0,"科森科技(SH603626,+45%)"
焦炭Ⅱ,6,1,6.0,"开滦股份(SH600997,+-0%)"
航空机场,6,1,6.0,"厦门空港(SH600897,+2%)"
航运港口,64,11,5.82,"锦江航运(SH601083,+16%)"
航空装备Ⅱ,40,7,5.71,"立航科技(SH603261,+14%)"
化学制品,68,12,5.67,"元利科技(SH603217,+38%)"
化学制药,68,12,5.67,"东亚药业(SH605177,+37%)"
多元金融,34,6,5.67,"香溢融通(SH600830,+15%)"
食品加工,34,6,5.67,"五芳斋(SH603237,+11%)"
通用设备,112,20,5.6,"海鸥股份(SH603269,+106%)"
医疗器械,88,16,5.5,"南卫股份(SH603880,+40%)"
工业金属,66,12,5.5,"金徽股份(SH603132,+23%)"
房地产开发,44,8,5.5,"亚通股份(SH600692,+11%)"
计算机设备,22,4,5.5,"罗普特(SH688619,+16%)"
贸易Ⅱ,22,4,5.5,"苏豪时尚(SH600287,+10%)"
轨交设备Ⅱ,38,7,5.43,"九州一轨(SH688485,+74%)"
出版,54,10,5.4,"时代出版(SH600551,+29%)"
服装家纺,70,13,5.38,"地素时尚(SH603587,+11%)"
环境治理,70,13,5.38,"卓锦股份(SH688701,+27%)"
电网设备,64,12,5.33,"风范股份(SH601700,+42%)"
环保设备Ⅱ,32,6,5.33,"恒誉科技(SH688309,+20%)"
饮料乳品,32,6,5.33,"泉阳泉(SH600189,+10%)"
光学光电子,16,3,5.33,"华体科技(SH603679,+6%)"
其他电源设备Ⅱ,16,3,5.33,"动力源(SH600405,+18%)"
油服工程,16,3,5.33,"海油工程(SH600583,+11%)"
非白酒,16,3,5.33,"会稽山(SH601579,+36%)"
家居用品,74,14,5.29,"建霖家居(SH603408,+18%)"
化学纤维,26,5,5.2,"天富龙(SH603406,+15%)"
软件开发,72,14,5.14,"麒麟信安(SH688152,+39%)"
汽车零部件,148,29,5.1,"华达科技(SH603358,+29%)"
个护用品,20,4,5.0,"诺邦股份(SH603238,+7%)"
小家电,20,4,5.0,"石头科技(SH688169,+22%)"
工程咨询服务Ⅱ,20,4,5.0,"华建集团(SH600629,+16%)"
IT服务Ⅱ,10,2,5.0,"中国软件(SH600536,+4%)"
化妆品,10,2,5.0,"福瑞达(SH600223,+2%)"
医疗服务,10,2,5.0,"阳光诺和(SH688621,+11%)"
医药商业,10,2,5.0,"开开实业(SH600272,+86%)"
工程机械,10,2,5.0,"天元智能(SH603273,+7%)"
渔业,10,2,5.0,"开创国际(SH600097,+13%)"
照明设备Ⅱ,10,2,5.0,"立达信(SH605365,+14%)"
电视广播Ⅱ,10,2,5.0,"东方明珠(SH600637,+2%)"
装修建材,10,2,5.0,"华立股份(SH603038,+34%)"
饲料,10,2,5.0,"邦基科技(SH603151,+39%)"
专用设备,114,23,4.96,"创力集团(SH603012,+22%)"
光伏设备,24,5,4.8,"金辰股份(SH603396,+24%)"
摩托车及其他,24,5,4.8,"林海股份(SH600099,+12%)"
通信设备,28,6,4.67,"移远通信(SH603236,+36%)"
专业工程,14,3,4.67,"镇海股份(SH603637,+20%)"
保险Ⅱ,14,3,4.67,"中国平安(SH601318,+6%)"
电机Ⅱ,14,3,4.67,"神力股份(SH603819,+16%)"
生物制品,32,7,4.57,"康希诺(SH688185,+48%)"
包装印刷,18,4,4.5,"新通联(SH603022,+11%)"
数字媒体,18,4,4.5,"掌阅科技(SH603533,+8%)"
水泥,18,4,4.5,"华新建材(SH600801,+12%)"
电池,18,4,4.5,"誉辰智能(SH688638,+6%)"
元件,16,4,4.0,"迅捷兴(SH688655,+38%)"
家电零部件Ⅱ,16,4,4.0,"三星新材(SH603578,+15%)"
玻璃玻纤,8,2,4.0,"耀皮玻璃(SH600819,+6%)"
航海装备Ⅱ,8,2,4.0,"松发股份(SH603268,+17%)"
调味发酵品Ⅱ,8,2,4.0,"莲花控股(SH600186,+26%)"
饰品,8,2,4.0,"莱绅通灵(SH603900,+22%)"
地面兵装Ⅱ,4,1,4.0,"国科军工(SH688543,+7%)"
影视院线,4,1,4.0,"中广天择(SH603721,+12%)"
橡胶,4,1,4.0,"确成股份(SH605183,+7%)"
特钢Ⅱ,4,1,4.0,"甬金股份(SH603995,+24%)"
电子化学品Ⅱ,4,1,4.0,"天通股份(SH600330,+49%)"
非金属材料Ⅱ,4,1,4.0,"索通发展(SH603612,+1%)"
