ticker,name,sector,industry,date,close,volume,rsi
HK02510,德翔海运,,,2026-08-28,13.72,46341374,97.11
HK01364,古茗,,,2026-08-28,26.88,111466565,96.29
HK06228,自由黄金-DRS,,,2026-08-28,40.74,27901721,91.22
HK03774,亮晴控股,,,2026-08-28,23.74,12475302,89.08
HK00135,昆仑能源,,,2026-08-28,7.67,73285561,87.24
HK00998,中信银行,,,2026-08-28,8.3,122768251,86.2
HK01825,美臻集团,,,2026-08-28,7.85,16293949,86.17
HK01171,兖矿能源,,,2026-08-28,13.69,346537051,85.83
HK02602,万物云,,,2026-08-28,19.3,12574976,85.36
HK02611,国泰海通,,,2026-08-28,15.76,147395287,85.22
HK01828,富卫集团,,,2026-08-28,32.9,11550372,84.8
HK01112,H&H国际控股,,,2026-08-28,18.55,34049271,83.73
HK06178,光大证券,,,2026-08-28,7.74,11655988,82.67
HK06969,思摩尔国际,,,2026-08-28,11.17,198357307,82.35
HK02382,舜宇光学科技,,,2026-08-28,67.0,649820034,82.31
HK01797,东方甄选,,,2026-08-28,25.76,286693109,82.11
HK06099,招商证券,,,2026-08-28,16.13,78303011,81.88
HK00975,蒙古焦煤,,,2026-08-28,10.89,59666037,81.46
HK02507,西锐,,,2026-08-28,49.24,38530705,81.39
HK02723,深演智能,,,2026-08-28,748.0,82024326,80.65
