nohup: ignoring input
[A_rank] 加载元策略 a_rank_report_v1 (A_rank_report_v1)
[代理] 取到 10 个IP代理
[信息] 策略: 上涨趋势
[信息] 开始扫描 5550 只A股 ...
[进度] 已检查 1/5550 ...
[进度] 已检查 2/5550 ...
[进度] 已检查 3/5550 ...
[进度] 已检查 4/5550 ...
[进度] 已检查 5/5550 ...
[进度] 已检查 6/5550 ...
[进度] 已检查 7/5550 ...
[进度] 已检查 8/5550 ...
[进度] 已检查 9/5550 ...
[进度] 已检查 10/5550 ...
[进度] 已检查 11/5550 ...
[进度] 已检查 12/5550 ...
[进度] 已检查 13/5550 ...
[进度] 已检查 14/5550 ...
[进度] 已检查 15/5550 ...
[进度] 已检查 16/5550 ...
[进度] 已检查 17/5550 ...
[进度] 已检查 18/5550 ...
[进度] 已检查 19/5550 ...
[进度] 已检查 20/5550 ...
[进度] 已检查 21/5550 ...
[进度] 已检查 22/5550 ...
[进度] 已检查 23/5550 ...
[进度] 已检查 24/5550 ...
[进度] 已检查 25/5550 ...
[进度] 已检查 26/5550 ...
[进度] 已检查 27/5550 ...
[进度] 已检查 28/5550 ...
[进度] 已检查 29/5550 ...
[进度] 已检查 30/5550 ...
[进度] 已检查 31/5550 ...
[进度] 已检查 32/5550 ...
[进度] 已检查 33/5550 ...
[进度] 已检查 34/5550 ...
[进度] 已检查 35/5550 ...
[进度] 已检查 36/5550 ...
[进度] 已检查 37/5550 ...
[进度] 已检查 38/5550 ...
[进度] 已检查 39/5550 ...
[进度] 已检查 40/5550 ...
[进度] 已检查 41/5550 ...
[进度] 已检查 42/5550 ...
[进度] 已检查 43/5550 ...
[进度] 已检查 44/5550 ...
[进度] 已检查 45/5550 ...
[进度] 已检查 46/5550 ...
[进度] 已检查 47/5550 ...
[进度] 已检查 48/5550 ...
[进度] 已检查 49/5550 ...
[进度] 已检查 50/5550 ...
[进度] 已检查 51/5550 ...
[进度] 已检查 52/5550 ...
[进度] 已检查 53/5550 ...
[进度] 已检查 54/5550 ...
[进度] 已检查 55/5550 ...
[进度] 已检查 56/5550 ...
[进度] 已检查 57/5550 ...
[进度] 已检查 58/5550 ...
[进度] 已检查 59/5550 ...
[进度] 已检查 60/5550 ...
[进度] 已检查 61/5550 ...
[进度] 已检查 62/5550 ...
[进度] 已检查 63/5550 ...
[进度] 已检查 64/5550 ...
[进度] 已检查 65/5550 ...
[进度] 已检查 66/5550 ...
[进度] 已检查 67/5550 ...
[进度] 已检查 68/5550 ...
[进度] 已检查 69/5550 ...
[进度] 已检查 70/5550 ...
[进度] 已检查 71/5550 ...
[进度] 已检查 72/5550 ...
[进度] 已检查 73/5550 ...
[进度] 已检查 74/5550 ...
[进度] 已检查 75/5550 ...
[进度] 已检查 76/5550 ...
[进度] 已检查 77/5550 ...
[进度] 已检查 78/5550 ...
[进度] 已检查 79/5550 ...
[进度] 已检查 80/5550 ...
[进度] 已检查 81/5550 ...
[进度] 已检查 82/5550 ...
[进度] 已检查 83/5550 ...
[进度] 已检查 84/5550 ...
[进度] 已检查 85/5550 ...
[进度] 已检查 86/5550 ...
[进度] 已检查 87/5550 ...
