ticker,name,sector,industry,date,close,chg20,volume,score,passed,uptrend
DAIC,CID HoldCo Inc,科技,电子数据处理服务,2026-08-27,5.76,743.3,55169794,1.0,uptrend,5/8
XHLD,"Ten Holdings, Inc.",非必需消费,商业服务,2026-08-27,8.28,659.6,34370251,1.0,uptrend,6/8
REPL,"Replimune Group, Inc.",医疗保健,生物科技：生物制品,2026-08-27,15.6,188.4,80513093,1.0,uptrend,7/8
ARCT,Arcturus Therapeutics Holdings Inc.,医疗保健,生物科技：制药,2026-08-27,16.17,173.1,15045957,1.0,uptrend,8/8
MRNA,莫德纳,医疗保健,生物科技：生物制品,2026-08-27,142.77,146.5,4211049851,1.0,uptrend,6/8
CRE,Cre8 Enterprise Limited,非必需消费,出版,2026-08-27,5.9,127.8,22696550,1.0,uptrend,6/8
ABCL,Abcellera Biologics Inc.,医疗保健,生物科技：制药,2026-08-27,12.4,117.9,103869014,1.0,uptrend,7/8
BOXL,宝视来,房地产,Other Consumer Services,2026-08-27,6.1,115.5,29489774,1.0,uptrend,5/8
QMCO,昆腾,科技,电子元器件,2026-08-27,23.56,109.6,50009810,1.0,uptrend,6/8
PURR,Hyperliquid Strategies Inc,金融,金融：消费服务,2026-08-27,12.83,103.7,172727861,1.0,uptrend,7/7
LIFE,Ethos Technologies Inc.,金融,专业保险,2026-08-27,39.44,94.6,57840688,1.0,uptrend,6/7
ASST,"Strive, Inc.",科技,计算机软件：成品软件,2026-08-27,23.12,93.6,103644704,1.0,uptrend,8/8
TEAM,Atlassian Corporation,科技,计算机软件：成品软件,2026-08-27,185.62,89.2,817651963,1.0,uptrend,7/8
HTFL,"Heartflow, Inc.",医疗保健,医疗/牙科器械,2026-08-27,48.1,86.2,86735876,1.0,uptrend,7/8
AMLX,"Amylyx Pharmaceuticals, Inc.",医疗保健,生物科技：制药,2026-08-27,37.18,79.2,128774120,1.0,uptrend,6/8
FGI,Fgi Industries Ltd.,工业,工业特种品,2026-08-27,7.49,78.3,62445320,1.0,uptrend,6/8
