industry,得分,股票数,平均分,代表股
报纸/杂志,16,2,8.0,"新闻集团 Class A(NWSA,+10%)"
饮料（生产/分销）,16,2,8.0,"可口可乐装瓶(COKE,+8%)"
Automotive Aftermarket,8,1,8.0,"Genuine Parts(GPC,+6%)"
Finance Companies,8,1,8.0,"安捷伦科技(USA,+10%)"
Precision Instruments,8,1,8.0,"Neogenomics, Inc.(NEO,+13%)"
服装/鞋/配饰零售,22,3,7.33,"爱芬奇(ANF,+32%)"
Oilfield Services/Equipment,36,5,7.2,"斯伦贝谢(SLB,+22%)"
海上运输,140,20,7.0,"Cmb.Tech Nv(CMBT,+12%)"
生物科技：电子医疗设备,28,4,7.0,"Biolife Solutions, Inc.(BLFS,+15%)"
Accident &Health Insurance,14,2,7.0,"尤纳姆集团(UNM,+4%)"
Electrical Products,14,2,7.0,"Veralto Corp(VLTO,+4%)"
包装食品,60,9,6.67,"通用磨坊(GIS,+14%)"
生物科技：商业物理与生物研究,20,3,6.67,"艾昆纬(IQV,+12%)"
综合石油公司,92,14,6.57,"CVR能源(CVI,+28%)"
计算机软件：成品软件,554,85,6.52,"Strive, Inc.(ASST,+105%)"
Water Supply,26,4,6.5,"Essential Utilities, Inc.(WTRG,+7%)"
生物科技：实验室分析仪器,38,6,6.33,"安捷伦科技(A,+10%)"
投资银行/经纪服务,124,20,6.2,"微牛(BULL,+31%)"
电子数据处理服务,132,22,6.0,"Zscaler, Inc.(ZS,+22%)"
Major Chemicals,48,8,6.0,"英诺斯派材料(IOSP,+10%)"
煤炭开采,30,5,6.0,"Alpha Metallurgical Resources, Inc.(AMR,+70%)"
Diversified Commercial Services,24,4,6.0,"光辉国际咨询顾问(KFY,+3%)"
Other Consumer Services,24,4,6.0,"加特纳(IT,+31%)"
人寿保险,24,4,6.0,"Voya金融(VOYA,+2%)"
目录/专业分销,24,4,6.0,"The Honest Company, Inc.(HNST,+56%)"
Home Furnishings,18,3,6.0,"伊森艾伦室内装饰(ETD,+4%)"
Military/Government/Technical,18,3,6.0,"福陆(FLR,+9%)"
广告,18,3,6.0,"Ibotta, Inc.(IBTA,+51%)"
电力公用事业,18,3,6.0,"爱依斯电力(AES,+0%)"
铁路运输,18,3,6.0,"联合太平洋(UNP,+4%)"
Computer peripheral equipment,12,2,6.0,"派拓网络(PANW,+10%)"
Environmental Services,12,2,6.0,"Gfl Environmental Inc. Subordinate Voting Shares, No Par Value(GFL,+1%)"
Other Pharmaceuticals,12,2,6.0,"麦克森(MCK,+7%)"
Radio And Television Broadcasting And Communications Equipment,12,2,6.0,"摩托罗拉解决方案(MSI,+11%)"
Services-Misc. Amusement & Recreation,12,2,6.0,"迪士尼(DIS,+10%)"
消费电子/家电,12,2,6.0,"尚科宁家(SN,+20%)"
计算机制造,12,2,6.0,"惠普(HPQ,+11%)"
连锁餐饮/食品零售,12,2,6.0,"Grocery Outlet Holding Corp.(GO,+23%)"
Farming/Seeds/Milling,6,1,6.0,"Del Monte Corporation(DMC,+7%)"
Finance/Investors Services,6,1,6.0,"Main Street Capital Corporation(MAIN,+6%)"
Fluid Controls,6,1,6.0,"福斯(FLS,+3%)"
Food Distributors,6,1,6.0,"The Chefs' Warehouse, Inc.(CHEF,+1%)"
Integrated Freight & Logistics,6,1,6.0,"康捷国际物流(EXPD,+11%)"
Metal Fabrications,6,1,6.0,"Arcosa, Inc.(ACA,+-0%)"
Recreational Games/Products/Toys,6,1,6.0,"孩之宝(HAS,+4%)"
Textiles,6,1,6.0,"西南资本(CSWC,+8%)"
Tools/Hardware,6,1,6.0,"托罗配件(TTC,+3%)"
Trusts Except Educational Religious and Charitable,6,1,6.0,"Blackstone Secured Lending Fund(BXSL,+6%)"
住宅建设,6,1,6.0,"GEO惩教集团(GEO,+2%)"
