行业,状态,前日排名,今日排名,前日趋势分,今日趋势分,前日动量分,今日动量分,前日总分,今日总分,排名变化,趋势分变化,动量分变化,总分变化
工业工程,池内,1.0,1.0,3.26,3.05,5.5,6.07,8.76,9.12,0.0,-0.20999999999999996,0.5700000000000003,0.35999999999999943
一般金属及矿石,池内,6.0,2.0,5.01,3.34,2.41,4.29,7.42,7.63,4.0,-1.67,1.88,0.20999999999999996
工用运输,新进池,,3.0,,4.95,,2.07,,7.02,,4.95,2.07,7.02
资讯科技器材,池内,3.0,4.0,3.63,3.46,4.58,3.51,8.21,6.97,-1.0,-0.16999999999999993,-1.0700000000000003,-1.240000000000001
石油及天然气,池内,4.0,5.0,3.31,4.58,4.54,2.22,7.85,6.8,-1.0,1.27,-2.32,-1.0499999999999998
药品及生物科技,池内,2.0,6.0,3.28,2.98,5.28,3.65,8.56,6.63,-4.0,-0.2999999999999998,-1.6300000000000003,-1.9300000000000006
建筑,新进池,,7.0,,3.2,,3.17,,6.37,,3.2,3.17,6.37
公用事业,池内,8.0,8.0,3.96,4.0,2.39,2.03,6.35,6.03,0.0,0.040000000000000036,-0.3600000000000003,-0.3199999999999994
农业产品,退出池,5.0,,4.46,,3.28,,7.74,,,-4.46,-3.28,-7.74
软件服务,退出池,7.0,,3.75,,2.68,,6.43,,,-3.75,-2.68,-6.43
