industry,prefixed,code6,name,m,chg1,turnover5,date
一般金属及矿石,hk00826,00826,天工国际,2.08,3.33,49910292.1,2026-09-11
一般金属及矿石,hk02099,02099,中国黄金国际,-1.83,-1.62,469214543.5,2026-09-11
一般金属及矿石,hk03858,03858,佳鑫国际资源,-3.45,-3.42,117891308.3,2026-09-11
一般金属及矿石,hk02788,02788,创新实业,-4.46,-3.81,90632616.8,2026-09-11
一般金属及矿石,hk01772,01772,赣锋锂业,-4.55,-3.4,288499631.8,2026-09-11
一般金属及矿石,hk01258,01258,中国有色矿业,-5.1,-4.51,253977147.9,2026-09-11
一般金属及矿石,hk01378,01378,中国宏桥,-5.28,-4.01,709390732.3,2026-09-11
一般金属及矿石,hk02600,02600,中国铝业,-5.73,-4.68,389423957.8,2026-09-11
一般金属及矿石,hk02245,02245,力勤资源,-6.54,-7.07,50177118.4,2026-09-11
一般金属及矿石,hk09696,09696,天齐锂业,-7.09,-5.47,108153416.6,2026-09-11
一般金属及矿石,hk01164,01164,中广核矿业,-7.23,-4.6,114032879.5,2026-09-11
一般金属及矿石,hk01208,01208,五矿资源,-7.42,-8.2,535906092.8,2026-09-11
一般金属及矿石,hk03993,03993,洛阳钼业,-8.73,-7.73,805147776.4,2026-09-11
一般金属及矿石,hk00358,00358,江西铜业股份,-9.69,-9.19,642493184.3,2026-09-11
专业零售,hk02685,02685,量化派,8.91,3.83,313740616.5,2026-09-11
专业零售,hk00590,00590,六福集团,0.66,1.59,54944664.8,2026-09-11
专业零售,hk09618,09618,京东集团-SW,-0.14,0.66,729024117.7,2026-09-11
专业零售,hk09988,09988,阿里巴巴-W,-0.71,0.56,5492332320.9,2026-09-11
专业零售,hk09896,09896,名创优品,-1.82,0.0,88894967.3,2026-09-11
专业零售,hk03690,03690,美团-W,-2.17,0.47,2302587109.2,2026-09-11
专业零售,hk01929,01929,周大福,-3.29,-2.26,165278140.3,2026-09-11
保险,hk02672,02672,白鸽在线,4.42,3.88,129860204.3,2026-09-11
保险,hk00376,00376,云锋金融,2.91,-4.07,64683261.9,2026-09-11
保险,hk02328,02328,中国财险,0.54,0.0,439382935.0,2026-09-11
保险,hk01339,01339,中国人民保险集团,-0.15,-0.76,268725560.0,2026-09-11
保险,hk02601,02601,中国太保,-0.3,-0.68,264335212.6,2026-09-11
保险,hk02628,02628,中国人寿,-0.79,-1.79,1104591123.1,2026-09-11
保险,hk00966,00966,中国太平,-1.03,-1.3,113680348.1,2026-09-11
保险,hk01336,01336,新华保险,-1.19,-1.57,292380050.1,2026-09-11
保险,hk01299,01299,友邦保险,-1.39,-0.33,1573016707.6,2026-09-11
保险,hk02318,02318,中国平安,-2.01,-1.55,1953098085.5,2026-09-11
保险,hk06963,06963,阳光保险,-2.89,-2.5,44274075.6,2026-09-11
保险,hk06060,06060,众安在线,-4.29,-2.03,95045910.7,2026-09-11
公用事业,hk00006,00006,电能实业,0.25,0.08,208270262.6,2026-09-11
公用事业,hk01038,01038,长江基建集团,0.2,0.15,87376781.5,2026-09-11
公用事业,hk00002,00002,中电控股,-0.42,-1.07,229902537.0,2026-09-11
公用事业,hk00836,00836,华润电力,-0.8,-0.16,252119680.0,2026-09-11
公用事业,hk01071,01071,华电国际电力股份,-1.07,-1.46,42356555.6,2026-09-11
公用事业,hk00371,00371,北控水务集团,-1.09,-0.3,66955669.7,2026-09-11
公用事业,hk01816,01816,中广核电力,-1.27,-1.45,114298363.8,2026-09-11
公用事业,hk00902,00902,华能国际电力股份,-1.39,-0.78,151023415.4,2026-09-11
公用事业,hk00003,00003,香港中华煤气,-1.76,-1.64,148676720.8,2026-09-11
公用事业,hk00135,00135,昆仑能源,-2.31,-1.65,86549199.0,2026-09-11
公用事业,hk00991,00991,大唐发电,-2.65,-1.83,110772984.5,2026-09-11
公用事业,hk00916,00916,龙源电力,-3.06,-2.85,83562531.5,2026-09-11
公用事业,hk02380,02380,中国电力,-3.96,-3.04,50369208.7,2026-09-11
公用事业,hk00384,00384,中国燃气,-4.19,-3.16,88353224.0,2026-09-11
公用事业,hk00270,00270,粤海投资,-4.59,-4.74,113509672.7,2026-09-11
公用事业,hk00956,00956,新天绿色能源,-5.05,-4.63,43750575.1,2026-09-11
公用事业,hk00392,00392,北京控股,-5.35,-2.8,58535945.6,2026-09-11
公用事业,hk02688,02688,新奥能源,-5.54,-4.67,237015433.7,2026-09-11
公用事业,hk01193,01193,华润燃气,-7.07,-6.3,124964471.7,2026-09-11
其他医疗保健,hk02526,02526,德适-B,7.86,5.47,83238898.3,2026-09-11
其他医疗保健,hk02675,02675,精锋医疗-B,1.4,3.64,45840916.4,2026-09-11
其他医疗保健,hk02225,02225,今海医疗科技,-0.43,-3.23,140057240.5,2026-09-11
其他医疗保健,hk01833,01833,平安好医生,-1.22,0.25,45941086.6,2026-09-11
其他医疗保健,hk02276,02276,康耐特光学,-1.69,0.05,56850676.0,2026-09-11
其他医疗保健,hk01112,01112,H&H国际控股,-1.92,0.99,45505907.4,2026-09-11
其他医疗保健,hk02367,02367,巨子生物,-2.36,-1.39,53082045.9,2026-09-11
其他医疗保健,hk01318,01318,毛戈平,-2.63,-1.33,65284733.3,2026-09-11
其他医疗保健,hk00853,00853,微创医疗,-3.11,-2.64,56502380.5,2026-08-31
其他医疗保健,hk02252,02252,微创机器人-B,-5.18,-3.73,98923377.9,2026-08-31
其他医疗保健,hk06699,06699,时代天使,-7.49,-5.51,53254009.5,2026-09-11
其他金融,hk00622,00622,威华达控股,1.99,2.55,43746182.4,2026-09-11
其他金融,hk01788,01788,国泰君安国际,-0.17,-0.17,57293663.0,2026-09-11
其他金融,hk03908,03908,中金公司,-0.94,-1.47,415633560.8,2026-09-11
其他金融,hk03360,03360,远东宏信,-1.02,-1.16,46313063.2,2026-09-11
其他金融,hk00290,00290,国富量子,-1.04,-2.33,45799946.0,2026-09-11
其他金融,hk06881,06881,中国银河,-1.36,-1.86,103680138.3,2026-09-11
其他金融,hk00388,00388,香港交易所,-1.61,-1.11,973448783.9,2026-09-11
其他金融,hk02611,02611,国泰海通,-1.7,-1.93,172110663.8,2026-09-11
其他金融,hk01776,01776,广发证券,-1.99,-2.42,91776591.4,2026-09-11
其他金融,hk03958,03958,东方证券,-2.23,-3.28,42361306.7,2026-09-11
其他金融,hk06030,06030,中信证券,-2.42,-2.7,305601614.8,2026-09-11
其他金融,hk06099,06099,招商证券,-2.55,-2.97,60637699.9,2026-09-11
其他金融,hk06886,06886,华泰证券,-2.58,-2.56,187010619.5,2026-09-11
其他金融,hk06066,06066,中信建投证券,-3.2,-3.92,67177418.4,2026-09-11
农业产品,hk02419,02419,德康农牧,0.27,1.61,83366731.0,2026-09-11
农业产品,hk01610,01610,中粮家佳康,-1.23,0.41,51754349.5,2026-09-11
农业产品,hk02714,02714,牧原股份,-1.56,0.37,149102369.9,2026-09-11
半导体,hk00600,00600,爱芯元智,8.0,8.97,50771485.0,2026-09-11
半导体,hk02726,02726,瀚天天成,2.37,4.07,41311151.3,2026-09-11
半导体,hk03277,03277,长光辰芯,1.42,5.66,214919724.2,2026-09-11
半导体,hk01347,01347,华虹宏力,-0.42,-1.15,2045001172.9,2026-09-11
半导体,hk00981,00981,中芯国际,-1.76,-0.47,3511877037.0,2026-09-11
半导体,hk00522,00522,ASMPT,-2.2,-1.94,447412525.4,2026-09-11
半导体,hk02577,02577,英诺赛科,-4.32,-3.84,180291552.5,2026-09-11
半导体,hk02631,02631,天岳先进,-4.71,-2.36,82070783.0,2026-09-11
半导体,hk09903,09903,天数智芯,-4.99,-2.93,813076857.4,2026-09-11
半导体,hk06809,06809,澜起科技,-5.08,-4.59,786416895.8,2026-09-11
半导体,hk03986,03986,兆易创新,-5.68,-5.08,1079806955.9,2026-09-11
半导体,hk06082,06082,壁仞科技,-6.3,-5.39,412629440.0,2026-09-11
半导体,hk01879,01879,曦智科技-P,-9.65,-9.87,305502596.4,2026-09-11
原材料,hk01866,01866,中国心连心化肥,-2.72,-4.35,140542890.4,2026-09-11
原材料,hk02689,02689,玖龙纸业,-2.85,-2.48,76100559.7,2026-09-11
原材料,hk00189,00189,东岳集团,-3.37,-1.88,302221600.2,2026-09-11
原材料,hk01907,01907,中国旭阳集团,-4.5,-3.63,40187954.0,2026-09-11
地产,hk00565,00565,锦艺集团控股,1.54,0.8,50143929.0,2026-09-11
地产,hk01113,01113,长实集团,0.21,-0.04,295044332.4,2026-09-11
地产,hk02423,02423,贝壳-W,-0.3,1.04,492805355.6,2026-09-11
地产,hk01972,01972,太古地产,-1.31,-0.97,47504076.1,2026-09-11
地产,hk01997,01997,九龙仓置业,-1.71,-1.28,116699958.2,2026-09-11
地产,hk00012,00012,恒基地产,-2.16,-2.54,144279769.4,2026-09-11
地产,hk00083,00083,信和置业,-2.37,-1.65,81948790.7,2026-09-11
地产,hk01109,01109,华润置地,-3.07,-2.67,725354217.9,2026-09-11
地产,hk01908,01908,建发国际集团,-3.07,-2.49,76877345.9,2026-09-11
地产,hk00688,00688,中国海外发展,-3.1,-2.35,292705973.7,2026-09-11
地产,hk00817,00817,中国金茂,-3.2,-1.98,71761816.1,2026-09-11
地产,hk03900,03900,绿城中国,-3.24,-2.66,54473654.0,2026-09-11
地产,hk01209,01209,华润万象生活,-3.49,-0.83,191595589.3,2026-09-11
地产,hk02202,02202,万科企业,-5.93,-4.48,58685306.4,2026-09-11
地产,hk00960,00960,龙湖集团,-6.54,-5.42,127463464.4,2026-09-11
地产,hk01918,01918,融创中国,-6.7,-5.22,126681571.3,2026-09-11
地产,hk02007,02007,碧桂园,-6.74,-3.89,53587007.1,2026-09-11
地产,hk02669,02669,中海物业,-7.02,-6.44,40010988.7,2026-09-11
地产,hk00016,00016,新鸿基地产,-8.14,-7.28,787574265.4,2026-09-11
媒体及娱乐,hk09911,09911,赤子城科技,4.06,1.55,86562695.1,2026-09-11
