排名,industry,得分,股票数,趋势分,动量分,动量入池分,代表股,入池,趋势贡献,动量贡献,总分
1,药品及生物科技,18,4,3.88,4.31,60.29,"凯莱英(7/8,+23%)、金斯瑞生物科技(6/8,+84%)、和黄医药(6/8,+18%)、百奥赛图-B(6/8,+16%)、◎和黄医药(+14%)、◎同源康医药-B(+9%)、◎凯莱英(+4%)、◎和铂医药-B(+5%)、◎百奥赛图-B(+0%)、◎中国生物制药(+6%)、◎康诺亚-B(+4%)",趋势+动量,2.72,5.6,8.32
2,建筑,12,2,5.86,2.96,33.1,"华新建材(8/8,+9%)、怡俊集团控股(6/8,+91%)、◎乙德投资控股(+29%)、◎怡俊集团控股(+8%)、◎中国建筑国际(+3%)、◎中国联塑(+7%)、◎华新建材(-0%)、◎海螺水泥(-0%)、◎中国中铁(-1%)",动量,4.1,3.85,7.95
3,半导体,14,2,6.71,2.08,29.04,"长光辰芯(8/8,+38%)、曦智科技-P(7/8,+22%)、◎曦智科技-P(+12%)、◎天数智芯(+9%)、◎长光辰芯(+5%)、◎ASMPT(+3%)、◎英诺赛科(+2%)、◎FORTIOR(+3%)、◎君正股份(+1%)",动量,4.7,2.7,7.4
4,软件服务,32,6,4.87,2.5,35.06,"阜博集团(7/8,+28%)、MINIMAX-W(7/8,+19%)、海致科技集团(7/8,+11%)、中国软件国际(7/8,+5%)、明略科技-W(6/8,+11%)、◎卓越睿新(+13%)、◎禾赛-W(+8%)、◎MINIMAX-W(+4%)、◎新意网集团(-4%)、◎海致科技集团(+2%)、◎小马智行-W(+5%)、◎阜博集团(-1%)",趋势+动量,3.41,3.25,6.66
5,保险,52,8,6.3,1.25,17.53,"中国人民保险集团(8/8,+14%)、阳光保险(8/8,+12%)、中国财险(8/8,+8%)、中国太保(8/8,+4%)、友邦保险(7/8,+6%)、◎中国人民保险集团(+3%)、◎新华保险(+4%)、◎阳光保险(-0%)、◎中国太平(+2%)、◎中国太保(+2%)、◎友邦保险(+2%)、◎中国平安(+3%)",趋势,4.41,1.62,6.03
6,黄金及贵金属,4,1,3.89,2.36,29.73,"万国黄金集团(6/8,+32%)、◎潼关黄金(+9%)、◎紫金黄金国际(+7%)、◎赤峰黄金(+5%)、◎灵宝黄金(+6%)、◎万国黄金集团(+8%)、◎山东黄金(+1%)、◎紫金矿业(+2%)",动量,2.72,3.07,5.79
7,工业工程,42,8,4.59,1.7,23.75,"中远海运国际(8/8,+18%)、伟禄科技股份(7/8,+39%)、三一国际(7/8,+28%)、拓璞数控(7/8,-1%)、建滔积层板(6/8,+34%)、◎三一国际(+7%)、◎建滔积层板(+3%)、◎FIT HON TENG(+3%)、◎信义玻璃(+2%)、◎上海电气(+2%)、◎海螺创业(+3%)、◎伟禄科技股份(+1%)",趋势+动量,3.21,2.21,5.42
8,其他金融,24,4,5.69,0.37,5.12,"中国光大控股(7/8,+7%)、东方证券(7/8,+6%)、华泰证券(7/8,+5%)、国富量子(7/8,-0%)、◎中国光大控股(+3%)、◎东方证券(+2%)、◎首程控股(+4%)、◎中国信达(+1%)、◎国泰海通(+1%)、◎国富量子(-1%)、◎国泰君安国际(+0%)",趋势,3.98,0.48,4.46
9,银行,62,11,5.39,-0.05,-0.7,"中信银行(8/8,+12%)、交通银行(8/8,+8%)、中国银行(7/8,+13%)、邮储银行(7/8,+11%)、建设银行(7/8,+8%)、◎渣打集团(+1%)、◎汇丰控股(+1%)、◎招商银行(+0%)、◎民生银行(-1%)、◎交通银行(-1%)、◎中国银行(-1%)、◎建设银行(-1%)",趋势,3.77,-0.06,3.71
10,公用事业,22,5,4.15,0.54,7.46,"新天绿色能源(7/8,+3%)、中广核电力(6/8,+7%)、粤海投资(6/8,+7%)、新奥能源(6/8,+5%)、大唐发电(6/8,+3%)、◎华能国际电力股份(+3%)、◎中广核电力(+1%)、◎北控水务集团(+1%)、◎中国燃气(+1%)、◎电能实业(+0%)、◎新天绿色能源(+1%)、◎长江基建集团(+0%)",趋势,2.9,0.7,3.6
