排名,industry,得分,股票数,趋势分,动量分,动量入池分,代表股,入池,趋势贡献,动量贡献,总分,池内,出池原因
1,资讯科技器材,32,6,4.87,4.51,63.12,"凯乐士科技(8/8,+23%)、华沿机器人(7/8,+18%)、汇聚科技(7/8,+11%)、长飞光纤光缆(6/8,+39%)、剑桥科技(6/8,+20%)、◆华沿机器人(+26%)、◆凯乐士科技(+18%)、◆云迹(+11%)、◎仙工智能(-1%)、◆映美控股(+6%)、◆长飞光纤光缆(+3%)、◆中际旭创(+4%)",趋势+动量,4.11,5.21,9.32,1,
2,工业工程,42,8,4.64,2.44,34.13,"伟禄科技股份(8/8,+37%)、中船防务(8/8,+26%)、希迪智驾(7/8,+8%)、建滔积层板(6/8,+24%)、拓璞数控(6/8,+16%)、◆大金重工(+11%)、◎挚达科技(-32%)、◆希迪智驾(+9%)、◎三环集团(+4%)、◆伟禄科技股份(+4%)、◎中船防务(-1%)、◆芯碁微装(+4%)",趋势+动量,3.92,2.82,6.74,1,
,纺织及服饰,6,1,5.86,1.51,16.96,"江南布衣(7/8,+5%)、◎应星控股(+23%)、◎江南布衣(+1%)、◎申洲国际(+2%)、◎波司登(+0%)、◆安踏体育(+1%)、◆李宁(-0%)、◎特步国际(-3%)",动量,4.95,1.74,6.69,0,动量<2
,食物饮品,12,2,5.62,1.11,15.51,"安德利果汁(7/8,+22%)、溜溜梅(7/8,+2%)、◎溜溜梅(+8%)、◎安德利果汁(+3%)、◆统一企业中国(+4%)、◎蒙牛乳业(+1%)、◎优然牧业(-0%)、◎东鹏饮料(+1%)、◆中国飞鹤(+2%)",动量,4.75,1.28,6.03,0,动量<2
,银行,18,3,5.75,0.62,8.72,"交通银行(8/8,+12%)、渣打集团(7/8,+3%)、建设银行(6/8,+12%)、◎中国银行(+1%)、◎交通银行(+0%)、◆中国光大银行(+1%)、◆邮储银行(+1%)、◆中银香港(+1%)、◎建设银行(-0%)、◆中信银行(+0%)",趋势+动量,4.86,0.72,5.58,0,动量<2
,电讯,12,2,5.87,0.29,2.89,"电讯盈科(7/8,+1%)、中国联通(7/8,-8%)、◎经纬天地(+6%)、◎中国联通(-1%)、◎中国移动(+0%)、◎香港电讯-SS(-0%)、◎电讯盈科(-0%)、◎中国铁塔(-0%)、◎中国电信(-2%)",动量,4.96,0.34,5.3,0,动量<2
,煤炭,22,3,7.2,-0.96,-8.06,"兖煤澳大利亚(8/8,+15%)、首钢资源(8/8,+10%)、中国神华(7/8,+7%)、◎兖煤澳大利亚(+4%)、◎中国神华(-1%)、◎首钢资源(-0%)、◎中煤能源(-2%)、◎MONGOL MINING(-0%)、◎兖矿能源(-2%)",趋势,6.08,-1.11,4.97,0,动量<2+总分<5
,工用运输,30,5,5.73,-0.19,-2.73,"中国船舶租赁(8/8,+14%)、中远海能(7/8,+32%)、中远海运港口(7/8,+14%)、招商局港口(7/8,+10%)、青岛港(6/8,+10%)、◎中国船舶租赁(+2%)、◆海丰国际(+2%)、◎招商局港口(+0%)、◆东方海外国际(+2%)、◆中远海运港口(-0%)、◎中通快递-W(-2%)、◎青岛港(-1%)",趋势,4.84,-0.22,4.62,0,动量<2+总分<5
,地产,14,2,6.6,-1.04,-14.47,"长实集团(8/8,+6%)、锦艺集团控股(7/8,+48%)、◎锦艺集团控股(+1%)、◎长实集团(-0%)、◆贝壳-W(+1%)、◎太古地产(-1%)、◎九龙仓置业(-1%)、◎恒基地产(-3%)、◆信和置业(-2%)",趋势,5.57,-1.2,4.37,0,动量<2+总分<5
,家庭电器及用品,4,1,3.89,0.77,9.65,"泉峰控股(6/8,+20%)、◆泉峰控股(+23%)、◎TCL电子(-1%)、◎美的集团(-0%)、◎泡泡玛特(+0%)、◎思摩尔国际(+0%)、◎布鲁可(+2%)、◎海尔智家(-1%)",动量,3.28,0.89,4.17,0,动量<2+总分<5
,公用事业,24,5,4.53,-0.65,-9.11,"电能实业(7/8,+3%)、华电国际电力股份(7/8,+2%)、大唐发电(6/8,+10%)、长江基建集团(6/8,+3%)、中电控股(6/8,-1%)、◎电能实业(+0%)、◎长江基建集团(+0%)、◎中电控股(-1%)、◆华润电力(-0%)、◆华电国际电力股份(-1%)、◆北控水务集团(-0%)、◎中广核电力(-1%)",趋势,3.83,-0.75,3.08,0,动量<2+总分<5
