港股板块 A_rank 日报 V2 · 2026-09-10

== 今日板块排名 ==
排名  行业       趋势分   动量分    总分     代表股                                                                                                                                                                            入池   
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1   工业工程     3.18  11.15  14.33  中船防务(8/8,+28%)、伟禄科技股份(7/8,+54%)、中航科工(7/8,+0%)、挚达科技(6/8,+26%)、建滔积层板(6/8,+26%)、◆挚达科技(+107%)、◎海光芯正(+3%)、◎中船防务(+2%)、◆建滔积层板(+1%)、◆建滔集团(+1%)、◆三环集团(+3%)、◆领益智造(+3%)                   趋势+动量
2   资讯科技器材   4.32  2.64   6.96   剑桥科技(8/8,+34%)、汇聚科技(8/8,+14%)、联想集团(6/8,-8%)、◆仙工智能(+15%)、◆商米科技-W(+6%)、◎剑桥科技(+4%)、◎汇聚科技(-1%)、◎联想集团(-0%)、◎联想控股(-1%)、◆舜宇光学科技(-1%)                                                  趋势+动量
3   保险       4.05  1.08   5.13   云锋金融(7/8,+47%)、◆云锋金融(+16%)、◎中国人寿(+2%)、◎中国财险(+1%)、◎中国人民保险集团(+2%)、◎新华保险(+0%)、◆中国太保(+1%)、◎中国太平(+0%)                                                                               动量   
4   建筑       3.65  1.16   4.81   怡俊集团控股(7/8,+124%)、华新建材(7/8,+19%)、中国中铁(6/8,+0%)、◎怡俊集团控股(+10%)、◎中国中铁(-0%)、◎中国建材(-1%)、◎中国建筑国际(-1%)、◎华新建材(-1%)、◎海螺水泥(-1%)、◆中国交通建设(-1%)                                             趋势+动量
5   工用运输     4.02  0.57   4.59   中远海能(8/8,+37%)、中远海运港口(8/8,+16%)、中国船舶租赁(7/8,+14%)、招商局港口(7/8,+11%)、青岛港(7/8,+11%)、◆中国船舶租赁(+2%)、◎中远海能(-1%)、◆中通快递-W(+1%)、◎德翔海运(+1%)、◆招商局港口(+0%)、◎中远海控(-2%)、◎青岛港(-2%)                趋势+动量
6   电讯       4.11  -0.01  4.10   电讯盈科(7/8,+1%)、中国联通(7/8,-6%)、◎中国联通(+2%)、◎中国电信(+1%)、◎电讯盈科(-1%)、◎中国移动(-0%)、◎香港电讯-SS(-0%)、◎中国铁塔(-1%)、◎经纬天地(+0%)                                                                    趋势   
7   药品及生物科技  3.32  0.48   3.80   英矽智能(8/8,+16%)、银诺医药-B(7/8,-44%)、剂泰科技-P(6/8,+32%)、凯莱英(6/8,+15%)、◎银诺医药-B(+3%)、◎英矽智能(+2%)、◎泰格医药(-3%)、◆晶泰控股(-1%)、◎凯莱英(-2%)、◎剂泰科技-P(-5%)、◆基石药业-B(-1%)                               趋势+动量
8   银行       2.68  1.09   3.77   建设银行(6/8,+11%)、交通银行(6/8,+10%)、渣打集团(6/8,+1%)、◎交通银行(+2%)、◎建设银行(+2%)、◆重庆农村商业银行(+2%)、◆民生银行(+3%)、◎工商银行(+1%)、◎中国银行(+1%)、◆农业银行(+1%)                                                   动量   
9   地产       3.95  -0.25  3.70   锦艺集团控股(7/8,+45%)、太古地产(7/8,+3%)、长实集团(7/8,-0%)、◎锦艺集团控股(-0%)、◆恒基地产(+1%)、◎长实集团(-0%)、◎太古地产(-1%)、◎建发国际集团(-1%)、◆华润置地(-0%)、◎九龙仓置业(-1%)                                                 趋势   
10  公用事业     3.15  0.16   3.31   新奥能源(8/8,+7%)、大唐发电(7/8,+10%)、华能国际电力股份(7/8,-0%)、粤海投资(6/8,+10%)、中广核电力(6/8,+10%)、◎中电控股(+0%)、◆中广核电力(+0%)、◆粤海投资(+0%)、◆电能实业(+0%)、◆长江基建集团(-0%)、◆香港中华煤气(-0%)、◎龙源电力(-1%)                趋势+动量
11  石油及天然气   3.29  -0.39  2.90   中海油田服务(7/8,+14%)、中集安瑞科(7/8,+10%)、中国石油化工股份(6/8,+15%)、中石化炼化工程(6/8,+8%)、山东墨龙(6/8,+2%)、◆中集安瑞科(+4%)、◎中海油田服务(+2%)、◎中国石油化工股份(-2%)、◎中国石油股份(-3%)、◎中国海洋石油(-3%)、◎山东墨龙(-4%)、◎中石化炼化工程(-5%)  趋势   
