行业,状态,前日排名,今日排名,前日趋势分,今日趋势分,前日动量分,今日动量分,前日总分,今日总分,排名变化,趋势分变化,动量分变化,总分变化
半导体,池内,1.0,1.0,6.1,5.82,7.66,5.54,6.88,5.68,0.0,-0.27999999999999936,-2.12,-1.2000000000000002
石油天然气,池内,5.0,2.0,5.93,6.12,5.01,4.31,5.47,5.21,3.0,0.1900000000000004,-0.7000000000000002,-0.2599999999999998
港口航运,池内,12.0,3.0,7.11,7.27,1.11,0.85,4.11,4.06,9.0,0.15999999999999925,-0.2600000000000001,-0.05000000000000071
零售,新进池,,4.0,,5.29,,2.77,,4.03,,5.29,2.77,4.03
化学制药,池内,10.0,5.0,5.51,5.42,3.63,2.55,4.57,3.98,5.0,-0.08999999999999986,-1.08,-0.5900000000000003
互联网服务,池内,14.0,6.0,4.93,4.78,2.79,3.15,3.86,3.96,8.0,-0.14999999999999947,0.3599999999999999,0.10000000000000009
通信设备,池内,4.0,7.0,5.92,5.92,5.08,2.0,5.5,3.96,-3.0,0.0,-3.08,-1.54
基本金属,池内,9.0,8.0,5.41,5.74,3.82,1.84,4.62,3.79,1.0,0.33000000000000007,-1.9799999999999998,-0.8300000000000001
非银行金融,池内,3.0,9.0,4.96,5.02,6.53,2.1,5.75,3.56,-6.0,0.05999999999999961,-4.43,-2.19
贵金属,池内,17.0,10.0,5.16,5.79,0.16,1.04,2.66,3.42,7.0,0.6299999999999999,0.88,0.7599999999999998
生物医药,池内,13.0,11.0,5.19,4.99,2.82,1.77,4.0,3.38,2.0,-0.20000000000000018,-1.0499999999999998,-0.6200000000000001
计算机软件,池内,8.0,12.0,4.27,4.28,5.27,2.38,4.77,3.33,-4.0,0.010000000000000675,-2.8899999999999997,-1.4399999999999995
银行,池内,15.0,13.0,6.23,6.1,1.32,0.35,3.78,3.22,2.0,-0.13000000000000078,-0.9700000000000001,-0.5599999999999996
医疗器械,池内,16.0,14.0,5.84,5.5,1.52,0.92,3.68,3.21,2.0,-0.33999999999999986,-0.6,-0.4700000000000002
建筑施工,退出池,2.0,,7.91,,3.64,,5.78,,,-7.91,-3.64,-5.78
其他电气设备,退出池,6.0,,3.95,,6.75,,5.35,,,-3.95,-6.75,-5.35
电力,退出池,7.0,,5.33,,5.06,,5.2,,,-5.33,-5.06,-5.2
电子设备制造,退出池,11.0,,3.93,,4.7,,4.32,,,-3.93,-4.7,-4.32
