industry,prefixed,m,chg1,date
个人护理用品,usELF.N,9.41,4.76,2026-08-31
个人护理用品,usCOTY.N,7.28,0.0,2026-08-31
个人护理用品,usBRBR.N,5.53,0.75,2026-08-31
个人护理用品,usIPAR.OQ,0.49,-0.3,2026-08-31
个人护理用品,usHNST.OQ,0.19,0.88,2026-08-31
个人护理用品,usUL.N,0.16,-0.34,2026-08-31
个人护理用品,usEPC.N,-0.72,-1.14,2026-08-31
个人护理用品,usHLN.N,-2.27,-0.79,2026-08-31
个人护理用品,usODD.OQ,-4.48,0.35,2026-08-31
个人护理用品,usKVUE.N,-4.95,-1.51,2026-08-31
个人护理用品,usVSTS.N,-5.63,0.24,2026-08-31
个人护理用品,usEL.N,-6.36,-0.72,2026-08-31
个人护理用品,usHLF.N,-33.9,-11.58,2026-08-31
互动媒体与服务,usGTM.OQ,16.45,0.95,2026-08-31
互动媒体与服务,usRELY.OQ,7.45,0.72,2026-08-31
互动媒体与服务,usJOYY.OQ,-0.33,0.15,2026-08-31
互动媒体与服务,usBIDU.OQ,-1.44,-1.89,2026-08-31
互动媒体与服务,usGOOGL.OQ,-3.24,-2.09,2026-08-31
互动媒体与服务,usGOOG.OQ,-3.95,-2.18,2026-08-31
互动媒体与服务,usNUTX.OQ,-6.56,-0.26,2026-08-31
互动媒体与服务,usMTCH.OQ,-6.99,-2.24,2026-08-31
互动媒体与服务,usPPLI.OQ,-7.36,-2.2,2026-08-31
互动媒体与服务,usATHM.N,-7.64,-3.9,2026-08-31
互动媒体与服务,usSTUB.N,-8.23,-2.6,2026-08-31
互动媒体与服务,usTRIP.OQ,-9.85,-3.55,2026-08-31
互动媒体与服务,usSRAD.OQ,-10.7,-3.94,2026-08-31
互动媒体与服务,usBZ.OQ,-13.88,-2.47,2026-08-31
互动媒体与服务,usGENI.N,-16.89,-7.48,2026-08-31
互动媒体与服务,usPINS.N,-18.36,-6.38,2026-08-31
互动家庭娱乐,usBILI.OQ,-6.23,-2.65,2026-08-31
互动家庭娱乐,usTTWO.OQ,-18.26,-6.67,2026-08-31
互动家庭娱乐,usSPHR.N,-24.7,-3.8,2026-08-31
互联网服务与基础设施,usOKTA.OQ,32.9,4.1,2026-08-31
互联网服务与基础设施,usDOCU.OQ,19.12,3.55,2026-08-31
互联网服务与基础设施,usCNXC.OQ,17.49,2.45,2026-08-31
互联网服务与基础设施,usAPPN.OQ,16.48,1.04,2026-08-31
互联网服务与基础设施,usBOX.N,12.44,2.29,2026-08-31
互联网服务与基础设施,usWIX.OQ,10.87,0.72,2026-08-31
互联网服务与基础设施,usFIVN.OQ,9.47,1.5,2026-08-31
互联网服务与基础设施,usBRZE.OQ,8.92,-1.42,2026-08-31
互联网服务与基础设施,usTTD.OQ,8.64,1.11,2026-08-31
