排名,industry,得分,股票数,趋势分,动量分,总分,动量入池分,代表股,入池
1,石油与天然气的炼制和营销,64,9,6.75,2.37,4.56,118.62,"CVR Energy Inc.[CVI](8/8,+29%)、Marathon Petroleum Corporation[MPC](8/8,+23%)、HF Sinclair Corporation[DINO](8/8,+19%)、Valero Energy Corporation[VLO](8/8,+17%)、PBF Energy Inc.[PBF](8/8,+14%)、◎Calumet Inc.[CLMT](+4%)、◎PBF Energy Inc.[PBF](+3%)、◎Venture Global Inc. Class A common stock[VG](+3%)、◎HF Sinclair Corporation[DINO](+2%)、◎CVR Energy Inc.[CVI](+2%)",动量
2,综合性石油与天然气企业,96,15,5.94,2.79,4.37,139.81,"Chevron Corporation[CVX](8/8,+12%)、Petroleo Brasileiro S.A. Petrobras[PBR](8/8,+12%)、TotalEnergies SE[TTE](8/8,+6%)、Imperial Oil Limited[IMO](8/8,+6%)、Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares)[SHEL](8/8,+5%)、◎Petroleo Brasileiro S.A. Petrobras[PBR](+5%)、◎Equinor ASA[EQNR](+3%)、◎Sasol Ltd.[SSL](+4%)、◎Ecopetrol S.A.[EC](+5%)、◎BP p.l.c.[BP](+4%)",趋势+动量
3,石油与天然气的勘探与生产,174,28,5.43,2.7,4.06,135.2,"Vermilion Energy Inc. Common (Canada)[VET](8/8,+19%)、Baytex Energy Corp[BTE](8/8,+18%)、Canadian Natural Resources Limited[CNQ](8/8,+12%)、Woodside Energy Group Limited American Depositary Shares each representing one Ordinary Share[WDS](8/8,+7%)、Diamondback Energy Inc.[FANG](8/8,+6%)、◎Comstock Resources Inc.[CRK](+11%)、◎Vista Energy S.A.B. de C.V. American Depositary Shares each representing one series A share with no par value[VIST](+5%)、◎W&T Offshore Inc.[WTI](+4%)、◎Murphy Oil Corporation[MUR](+3%)、◎Canadian Natural Resources Limited[CNQ](+3%)",趋势+动量
4,农产品与服务,12,2,5.86,2.21,4.04,66.23,"Bunge Limited[BG](7/8,+14%)、Darling Ingredients Inc.[DAR](7/8,+13%)、◎Darling Ingredients Inc.[DAR](+2%)、◎Bunge Limited[BG](+4%)、◎Corteva Inc.[CTVA](+4%)、◎Archer-Daniels-Midland Company[ADM](+4%)、◎Dole plc[DOLE](+0%)",动量
5,石油与天然气的储存和运输,116,18,5.86,1.49,3.68,74.43,"Teekay Tankers Ltd.[TNK](8/8,+15%)、Cheniere Energy Inc.[LNG](8/8,+15%)、Frontline Plc[FRO](8/8,+14%)、Nordic American Tankers Limited[NAT](8/8,+10%)、Ardmore Shipping Corporation[ASC](8/8,+10%)、◎Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share)[UGP](+3%)、◎Phillips 66[PSX](+2%)、◎Cheniere Energy Inc.[LNG](+1%)、◎Ardmore Shipping Corporation[ASC](+2%)、◎Golar Lng Ltd[GLNG](+2%)",趋势+动量
6,石油天然气设备与服务,68,11,5.62,1.38,3.5,69.14,"SLB Limited[SLB](8/8,+12%)、Forum Energy Technologies Inc.[FET](8/8,+11%)、NOV Inc.[NOV](8/8,+7%)、Seadrill Limited[SDRL](7/8,+16%)、Tidewater Inc.[TDW](7/8,+14%)、◎Liberty Energy Inc. Class A common stock[LBRT](+2%)、◎Tenaris S.A.[TS](+1%)、◎Tidewater Inc.[TDW](+3%)、◎Select Water Solutions Inc. Class A common stock[WTTR](+3%)、◎WaterBridge Infrastructure LLC Class A Shares Representing Limited Liability Company Interests[WBI](+3%)",动量
7,医疗保健设备,102,17,4.85,1.64,3.24,81.83,"Pulse Biosciences Inc Common Stock (DE)[PLSE](8/8,+36%)、MiniMed Group Inc.[MMED](8/8,+18%)、Medtronic plc.[MDT](8/8,+7%)、Heartflow Inc.[HTFL](7/8,+85%)、Beta Bionics Inc.[BBNX](7/8,+31%)、◎MiniMed Group Inc.[MMED](+11%)、◎Pulse Biosciences Inc Common Stock (DE)[PLSE](+4%)、◎Heartflow Inc.[HTFL](+0%)、◎iRhythm Holdings Inc.[IRTC](+3%)、◎Insulet Corporation[PODD](-0%)",趋势+动量
8,互联网服务与基础设施,126,22,4.77,1.16,2.96,57.66,"Concentrix Corporation[CNXC](8/8,+27%)、DocuSign Inc.[DOCU](8/8,+12%)、Box Inc.[BOX](8/8,+11%)、Nutanix Inc.[NTNX](8/8,+8%)、Appian Corporation[APPN](7/8,+42%)、◎Concentrix Corporation[CNXC](+7%)、◎GoDaddy Inc.[GDDY](+3%)、◎Bandwidth Inc.[BAND](+5%)、◎The Trade Desk Inc.[TTD](+0%)、◎Wix.com Ltd.[WIX](+0%)",趋势
9,电力公用事业,14,3,3.97,1.88,2.92,94.11,"TXNM Energy Inc.[TXNM](7/8,+0%)、Constellation Energy Corporation[CEG](6/8,+5%)、Otter Tail Corporation[OTTR](6/8,-3%)、◎Fervo Energy Company Class A common stock[FRVO](+28%)、◎Pampa Energia S.A.[PAM](+2%)、◎Constellation Energy Corporation[CEG](+2%)、◎Entergy Corporation[ETR](+1%)、◎NextEra Energy Inc.[NEE](+1%)",动量
10,生物科技,288,54,3.41,2.36,2.88,117.72,"Inhibrx Biosciences Inc.[INBX](8/8,+49%)、Xencor Inc.[XNCR](8/8,+40%)、Freenome Inc. Common stock[FRNM](8/8,+40%)、Novavax Inc.[NVAX](8/8,+32%)、Sarepta Therapeutics Inc. Common Stock (DE)[SRPT](8/8,+30%)、◎Moderna Inc.[MRNA](+10%)、◎Novavax Inc.[NVAX](+8%)、◎Silence Therapeutics Plc American Depository Share[SLN](+9%)、◎Vir Biotechnology Inc.[VIR](+6%)、◎Freenome Inc. Common stock[FRNM](+3%)",趋势+动量
11,资产管理与托管银行,106,17,5.4,-0.21,2.6,-10.2,"Permian Resources Corporation[PR](8/8,+16%)、WisdomTree Inc.[WT](8/8,+9%)、Hercules Capital Inc.[HTGC](8/8,+8%)、SEI Investments Company[SEIC](8/8,+5%)、Capital Southwest Corporation[CSWC](8/8,+2%)、◎Permian Resources Corporation[PR](+2%)、◎Hercules Capital Inc.[HTGC](+0%)、◎WisdomTree Inc.[WT](+2%)、◎FS KKR Capital Corp.[FSK](-1%)、◎Ares Capital Corporation[ARCC](-1%)",趋势
12,数据处理与外包服务,88,15,4.94,0.08,2.51,3.57,"Hinge Health Inc.[HNGE](8/8,+13%)、ExlService Holdings Inc.[EXLS](8/8,+9%)、Mastercard Incorporated[MA](8/8,+2%)、NIQ Global Intelligence plc[NIQ](7/8,+60%)、MongoDB Inc.[MDB](7/8,+14%)、◎Upwork Inc.[UPWK](+2%)、◎PagSeguro Digital Ltd. Class A[PAGS](+1%)、◎Liftoff Mobile Inc.[LFTO](+1%)、◎StoneCo Ltd. Class A[STNE](-0%)、◎Corpay Inc.[CPAY](+0%)",趋势
13,制药,186,33,3.61,1.24,2.42,62.09,"Johnson & Johnson[JNJ](8/8,+7%)、Harmony Biosciences Holdings Inc.[HRMY](8/8,+6%)、Organon & Co.[OGN](8/8,+2%)、Immix Biopharma Inc.[IMMX](7/8,+50%)、Omeros Corporation[OMER](7/8,+45%)、◎Novartis AG[NVS](+6%)、◎Schrodinger Inc.[SDGR](+7%)、◎Harmony Biosciences Holdings Inc.[HRMY](+5%)、◎Zevra Therapeutics Inc.[ZVRA](+3%)、◎Aquestive Therapeutics Inc.[AQST](+3%)",趋势+动量
14,应用软件,332,55,4.03,0.53,2.28,26.35,"Salesforce Inc.[CRM](8/8,+35%)、Zeta Global Holdings Corp.[ZETA](8/8,+30%)、Guidewire Software Inc.[GWRE](8/8,+25%)、Workiva Inc.[WK](8/8,+25%)、GitLab Inc.[GTLB](8/8,+24%)、◎Zeta Global Holdings Corp.[ZETA](+2%)、◎Klaviyo Inc. Series A[KVYO](+0%)、◎FuboTV Inc.[FUBO](+0%)、◎Sprout Social Inc[SPT](+1%)、◎Salesforce Inc.[CRM](+0%)",趋势
