排名,industry,得分,股票数,趋势分,动量分,动量入池分,代表股,入池,趋势贡献,动量贡献,总分
1,非银行金融,292,60,4.13,8.22,115.02,"Strive Inc.[ASST](8/8,+118%)、XP Inc.[XP](8/8,+20%)、Slide Insurance Holdings Inc.[SLDE](8/8,+16%)、Houlihan Lokey Inc.[HLI](8/8,+8%)、Everest Group Ltd.[EG](8/8,+4%)、◆Robinhood Markets Inc.[HOOD](+17%)、◆Bit Digital Inc.[BTBT](+17%)、◆Cipher Digital Inc.[CIFR](+14%)、◆Circle Internet Group Inc.[CRCL](+16%)、◆HIVE Digital Technologies Ltd.[HIVE](+12%)、◆BitMine Immersion Technologies Inc.[BMNR](+15%)、◆Bitdeer Technologies Group[BTDR](+11%)",趋势+动量,1.78,4.67,6.45
2,计算机软件,304,58,4.79,7.51,105.21,"GitLab Inc.[GTLB](8/8,+38%)、Zeta Global Holdings Corp.[ZETA](8/8,+28%)、Pegasystems Inc.[PEGA](8/8,+19%)、Porch Group Inc.[PRCH](8/8,+17%)、C3.ai Inc.[AI](8/8,+10%)、◆American Bitcoin Corp.[ABTC](+19%)、◆Strategy Inc Common Stock Class A[MSTR](+18%)、◆Snowflake Inc.[SNOW](+17%)、◆CleanSpark Inc.[CLSK](+11%)、◆MARA Holdings Inc.[MARA](+11%)、◆PayPay Corporation American Depository Shares[PAYP](+8%)、◆Sharplink Inc.[SBET](+11%)",趋势+动量,2.07,4.27,6.34
3,贵金属,6,1,5.88,4.27,59.89,"Aya Gold & Silver Inc.[AYA](7/8,+18%)、◎Aya Gold & Silver Inc.[AYA](+5%)、◆Harmony Gold Mining Company Limited[HMY](+7%)、◆Gold Fields Limited[GFI](+7%)、◎Endeavour Silver Corporation Ordinary Shares (Canada)[EXK](+3%)、◆B2Gold Corp Common shares (Canada)[BTG](+5%)、◎Hecla Mining Company[HL](+2%)、◆Seabridge Gold Inc. Common Shares New[SA](+5%)",动量,2.54,2.43,4.97
4,化学制药,114,20,5.43,3.67,51.38,"Trulieve Cannabis Corp. Subordinate Voting Shares[TRLV](8/8,+33%)、Royalty Pharma plc[RPRX](8/8,+12%)、Pacira BioSciences Inc.[PCRX](8/8,+4%)、Prestige Consumer Healthcare Inc.[PBH](8/8,-3%)、Assembly Biosciences Inc.[ASMB](7/8,+37%)、◆Summit Therapeutics Inc.[SMMT](+17%)、◆Belite Bio Inc[BLTE](+6%)、◆Nektar Therapeutics[NKTR](+5%)、◎Mineralys Therapeutics Inc.[MLYS](-3%)、◆Novo Nordisk A/S[NVO](+2%)、◆Trulieve Cannabis Corp. Subordinate Voting Shares[TRLV](+3%)、◆Parabilis Medicines Inc.[PBLS](+2%)",趋势+动量,2.34,2.09,4.43
5,基本金属,16,3,5.25,3.58,50.08,"Sigma Lithium Corporation[SGML](7/8,+18%)、Century Aluminum Company[CENX](7/8,+3%)、D/B/A Sibanye-Stillwater Limited[SBSW](6/8,+33%)、◎Aurora Innovation Inc.[AUR](+8%)、◎D/B/A Sibanye-Stillwater Limited[SBSW](+4%)、◎Aura Minerals Inc.[AUGO](+4%)、◎Silvercorp Metals Inc.[SVM](+3%)、◆Nexgen Energy Ltd.[NXE](+4%)、◆Nexa Resources S.A.[NEXA](+4%)、◆Perpetua Resources Corp.[PPTA](+2%)",动量,2.26,2.04,4.3
6,银行,120,25,4.46,4.07,56.87,"Shinhan Financial Group Co Ltd[SHG](8/8,+14%)、Banco Bradesco Sa[BBD](8/8,+2%)、KB Financial Group Inc[KB](7/8,+9%)、Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan)[SMFG](7/8,+7%)、HSBC Holdings plc.[HSBC](7/8,+4%)、◆Riot Platforms Inc.[RIOT](+13%)、◎Core Scientific Inc.[CORZ](+6%)、◆Esquire Financial Holdings Inc.[ESQ](+6%)、◆KB Financial Group Inc[KB](+5%)、◆Shinhan Financial Group Co Ltd[SHG](+4%)、◎Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan)[SMFG](+3%)、◆Mitsubishi UFJ Financial Group Inc.[MUFG](+3%)",趋势+动量,1.92,2.31,4.23
7,汽车,46,8,5.63,3.05,42.67,"Toyota Motor Corporation[TM](8/8,+7%)、Group 1 Automotive Inc.[GPI](8/8,+5%)、Tesla Inc.[TSLA](7/8,+18%)、Lear Corporation[LEA](7/8,+11%)、AutoNation Inc.[AN](7/8,-2%)、◆Driven Brands Holdings Inc.[DRVN](+5%)、◎Dauch Corporation[DCH](+2%)、◆Tesla Inc.[TSLA](+5%)、◎Dana Incorporated[DAN](+3%)、◎Group 1 Automotive Inc.[GPI](+3%)、◆Modine Manufacturing Company[MOD](+4%)、◆Autoliv Inc.[ALV](+3%)",动量,2.43,1.73,4.16
8,互联网服务,78,14,5.41,2.99,41.9,"Concentrix Corporation[CNXC](8/8,+25%)、Match Group Inc.[MTCH](8/8,+16%)、Marqeta Inc.[MQ](8/8,+2%)、SPS Commerce Inc.[SPSC](7/8,+17%)、Box Inc.[BOX](7/8,+13%)、◎The Trade Desk Inc.[TTD](+4%)、◆StubHub Holdings Inc.[STUB](+6%)、◆Twilio Inc.[TWLO](+6%)、◎Meta Platforms Inc.[META](+3%)、◆Nutex Health Inc.[NUTX](+3%)、◆Genius Sports Limited[GENI](+3%)、◎Sportradar Group AG[SRAD](+1%)",趋势+动量,2.33,1.7,4.03
9,计算机硬件,20,4,4.96,3.27,45.79,"HP Inc.[HPQ](7/8,+13%)、Apple Inc.[AAPL](7/8,+5%)、Dell Technologies Inc.[DELL](6/8,+18%)、Logitech International S.A.[LOGI](6/8,-1%)、◎Dell Technologies Inc.[DELL](+5%)、◎Corsair Gaming Inc.[CRSR](+6%)、◆Everpure Inc. Class A common stock[P](+6%)、◆Hewlett Packard Enterprise Company[HPE](+5%)、◆Quantum Corporation[QMCO](+7%)、◎Logitech International S.A.[LOGI](+3%)、◆Ingram Micro Holding Corporation[INGM](+3%)",动量,2.14,1.86,4.0
10,医疗器械,104,19,5.25,3.02,42.19,"Pulse Biosciences Inc Common Stock (DE)[PLSE](8/8,+43%)、AtriCure Inc.[ATRC](8/8,+33%)、Revvity Inc.[RVTY](8/8,+14%)、Medline Inc.[MDLN](8/8,+6%)、MiniMed Group Inc.[MMED](7/8,+29%)、◎BillionToOne Inc.[BLLN](+3%)、◎MiniMed Group Inc.[MMED](+0%)、◎Pulse Biosciences Inc Common Stock (DE)[PLSE](+4%)、◆Illumina Inc.[ILMN](+4%)、◆Avantor Inc.[AVTR](+4%)、◆TransMedics Group Inc.[TMDX](+3%)、◆IQVIA Holdings Inc.[IQV](+3%)",趋势+动量,2.26,1.72,3.98
