ticker,prefixed,name,sector,industry,date,close,chg20,m,chg1,uptrend,market_cap
ADEA,usADEA.OQ,Adeia Inc. Common Stock,Telecommunications,广播电视,2026-09-04,26.5,-6.0,5.62,4.08,5/8,2881620320.0
AEP,usAEP.OQ,American Electric Power Company Inc. Common Stock,公用事业,电力,2026-09-04,124.5,-0.2,0.39,-0.17,5/8,67156857343.0
ACHV,usACHV.OQ,Achieve Life Sciences Inc. Common Shares,医疗保健,生物医药,2026-09-04,8.49,27.7,1.7,2.17,6/8,851003592.0
ACT,usACT.OQ,Enact Holdings Inc. Common Stock,金融,非银行金融,2026-09-04,49.27,1.1,0.44,-0.48,5/8,6765571450.0
ACGL,usACGL.OQ,Arch Capital Group Ltd. Common Stock,金融,非银行金融,2026-09-04,98.1,-0.4,-1.0,-1.73,5/8,34368597571.0
AAPL,usAAPL.OQ,Apple Inc. Common Stock,科技,计算机硬件,2026-09-04,319.97,2.2,-2.03,-2.51,5/8,4574545721000.0
ALAB,usALAB.OQ,Astera Labs Inc. Common Stock,科技,半导体,2026-09-04,310.4,-7.1,11.02,9.75,5/8,50362725691.0
AAON,usAAON.OQ,AAON Inc. Common Stock,工业,其他建材,2026-09-04,79.4,-16.2,4.04,1.95,5/8,6578151319.0
ADUS,usADUS.OQ,Addus HomeCare Corporation Common Stock,医疗保健,医疗服务,2026-09-04,118.76,-0.8,0.91,0.06,6/8,2254174753.0
AHCO,usAHCO.OQ,AdaptHealth Corp. Common Stock,医疗保健,医药商业,2026-09-04,6.49,14.1,6.34,1.09,8/8,773071591.0
ALT,usALT.OQ,Altimmune Inc. Common Stock,医疗保健,生物医药,2026-09-04,3.42,11.0,6.36,5.88,7/8,612730758.0
ALNY,usALNY.OQ,Alnylam Pharmaceuticals Inc. Common Stock,医疗保健,生物医药,2026-09-04,266.11,21.4,1.78,0.61,8/8,31980379202.0
ANDE,usANDE.OQ,Andersons Inc. (The) Common Stock,工业,贸易,2026-09-04,69.31,6.0,-0.2,-0.26,6/8,2216566187.0
ANAB,usANAB.OQ,AnaptysBio Inc. Common Stock,医疗保健,生物医药,2026-09-04,56.8,0.3,0.49,-1.15,5/8,1717291898.0
AQST,usAQST.OQ,Aquestive Therapeutics Inc. Common Stock,医疗保健,化学制药,2026-09-04,5.34,35.5,0.07,-0.19,6/8,676507783.0
APP,usAPP.OQ,Applovin Corporation Class A Common Stock,科技,互联网服务,2026-09-04,320.56,-7.6,1.82,2.23,5/8,103109319610.0
ARCC,usARCC.OQ,Ares Capital Corporation Common Stock,金融,非银行金融,2026-09-04,20.04,0.1,0.24,0.15,5/8,14288654616.0
ASPI,usASPI.OQ,ASP Isotopes Inc. Common Stock,工业,化学原料,2026-09-04,4.2,-5.2,8.13,7.69,6/8,604805504.0
ATAI,usATAI.OQ,AtaiBeckley Inc. Common Stock,医疗保健,化学制药,2026-09-04,7.39,1.9,0.64,0.68,6/8,2740689904.0
ASST,usASST.OQ,Strive Inc. Class A Common Stock,科技,非银行金融,2026-09-04,27.14,117.5,6.69,1.19,7/8,1928193595.0
ARCB,usARCB.OQ,ArcBest Corporation Common Stock,工业,物流,2026-09-04,141.12,2.4,4.25,2.75,5/8,3108849828.0
APGE,usAPGE.OQ,Apogee Therapeutics Inc. Common Stock,医疗保健,生物医药,2026-09-02,135.07,0.6,0.01,-0.01,7/8,10214059838.0
AVBP,usAVBP.OQ,ArriVent BioPharma Inc. Common Stock,医疗保健,化学制药,2026-09-04,30.95,0.4,0.83,-0.26,7/8,1535442681.0
ASMB,usASMB.OQ,Assembly Biosciences Inc. Common Stock,医疗保健,化学制药,2026-09-04,36.6,37.2,1.36,1.3,6/8,721172310.0
AVT,usAVT.OQ,Avnet Inc. Common Stock,科技,电子器件,2026-09-04,91.69,-4.6,1.97,1.36,5/8,7410369274.0
ATLC,usATLC.OQ,Atlanticus Holdings Corporation Common Stock,金融,非银行金融,2026-09-04,93.13,-6.9,-1.2,-3.7,6/8,1409599931.0
ATRC,usATRC.OQ,AtriCure Inc. Common Stock,医疗保健,医疗器械,2026-09-04,51.52,24.5,-0.44,-1.79,7/8,2450229382.0
AYA,usAYA.OQ,Aya Gold & Silver Inc. Common Shares,基础材料,贵金属,2026-09-04,28.91,6.3,0.99,-3.05,6/8,3999884385.0
AUR,usAUR.OQ,Aurora Innovation Inc. Class A Common Stock,科技,基本金属,2026-09-04,6.34,-10.2,5.89,0.32,6/8,11543934344.0
BANF,usBANF.OQ,BancFirst Corporation Common Stock,金融,银行,2026-09-04,112.89,-0.1,1.95,1.02,7/8,3756339691.0
BGC,usBGC.OQ,BGC Group Inc. Class A Common Stock,金融,非银行金融,2026-09-04,12.17,17.8,1.19,0.16,5/8,5658051612.0
AXSM,usAXSM.OQ,Axsome Therapeutics Inc. Common Stock,医疗保健,化学制药,2026-09-04,206.68,-2.8,-0.48,-0.8,5/8,10850686449.0
ASND,usASND.OQ,Ascendis Pharma A/S Ordinary Share,医疗保健,生物医药,2026-09-04,270.56,5.9,1.05,-0.21,8/8,16434739321.0
BANR,usBANR.OQ,Banner Corporation Common Stock,金融,银行,2026-09-04,71.15,0.7,1.25,0.04,6/8,2391178197.0
BKR,usBKR.OQ,Baker Hughes Company Class A Common Stock,非必需消费,石油天然气,2026-09-04,63.5,3.2,-0.68,-0.22,7/8,61545792402.0
BIIB,usBIIB.OQ,Biogen Inc. Common Stock,医疗保健,生物医药,2026-09-04,220.83,6.2,-0.62,-1.64,7/8,32663976338.0
BPOP,usBPOP.OQ,Popular Inc. Common Stock,金融,银行,2026-09-04,171.32,-1.6,0.62,-0.01,7/8,10826400545.0
BMRN,usBMRN.OQ,BioMarin Pharmaceutical Inc. Common Stock,医疗保健,生物医药,2026-09-04,66.53,4.3,0.4,0.15,7/8,12700374328.0
BTBT,usBTBT.OQ,Bit Digital Inc. Ordinary Shares,金融,非银行金融,2026-09-04,1.64,18.8,10.18,0.61,6/8,562588265.0
BRKR,usBRKR.OQ,Bruker Corporation Common Stock,工业,医疗器械,2026-09-04,58.5,9.5,-0.15,-1.53,5/8,8693622571.0
