code,ticker,prefixed,name,date,type,zone,status,dif,dea,hist,close,chg%,days_ago
TALUS,TAL,usTAL.N,好未来,2026-09-04,金叉,0轴上,0轴上金叉,0.237,0.232,0.01,12.4,3.42,0
PSIXUS,PSIX,usPSIX.OQ,国际电力解决...,2026-09-04,金叉,0轴上,0轴上金叉,0.529,0.516,0.025,40.49,11.18,0
TSMUS,TSM,usTSM.N,台积电,2026-09-04,金叉,0轴上,0轴上金叉,0.598,0.004,1.187,428.91,2.85,0
ORCLUS,ORCL,usORCL.N,甲骨文,2026-09-03,金叉,0轴上,0轴上金叉,1.727,1.348,0.759,154.04,5.69,1
APHUS,APH,usAPH.N,安费诺,2026-09-03,金叉,0轴上,0轴上金叉,0.071,0.064,0.015,82.07,2.54,1
DELLUS,DELL,usDELL.N,戴尔科技,2026-09-03,金叉,0轴上,0轴上金叉,12.033,9.363,5.34,516.39,4.91,1
CNCUS,CNC,usCNC.N,康西哥,2026-09-02,金叉,0轴上,0轴上金叉,0.206,0.119,0.174,67.34,3.23,2
JNJUS,JNJ,usJNJ.N,强生,2026-09-02,金叉,0轴上,0轴上金叉,4.109,3.964,0.289,275.21,1.48,2
NVDAUS,NVDA,usNVDA.OQ,英伟达,2026-09-02,金叉,0轴上,0轴上金叉,2.61,2.585,0.049,224.41,3.21,2
ARMUS,ARM,usARM.OQ,Arm Holdings ...,2026-09-04,金叉,0轴下,0轴下金叉,-9.264,-10.245,1.962,252.09,3.92,0
GLWUS,GLW,usGLW.N,康宁,2026-09-04,金叉,0轴下,0轴下金叉,-3.747,-4.171,0.849,154.3,5.68,0
AMKRUS,AMKR,usAMKR.OQ,艾马克技术,2026-09-04,金叉,0轴下,0轴下金叉,-3.285,-3.409,0.247,47.77,1.77,0
CATUS,CAT,usCAT.N,卡特彼勒,2026-09-04,金叉,0轴下,0轴下金叉,-19.126,-19.863,1.473,813.94,1.72,0
TELUS,TEL,usTEL.N,泰科电子,2026-09-04,金叉,0轴下,0轴下金叉,-0.315,-0.489,0.347,208.65,-0.36,0
XNETUS,XNET,usXNET.OQ,迅雷,2026-09-04,金叉,0轴下,0轴下金叉,-0.124,-0.124,0.001,4.88,-0.41,0
AMDUS,AMD,usAMD.OQ,超威半导体,2026-09-04,金叉,0轴下,0轴下金叉,-8.435,-8.679,0.489,477.57,4.69,0
BXDCUS,BXDC,usBXDC.N,Blackstone Di...,2026-09-03,金叉,0轴下,0轴下金叉,-0.054,-0.064,0.02,20.55,1.58,1
VRTUS,VRT,usVRT.N,Vertiv Holdin...,2026-09-03,金叉,0轴下,0轴下金叉,-6.364,-6.986,1.245,268.83,4.73,1
WMTUS,WMT,usWMT.OQ,沃尔玛,2026-09-03,金叉,0轴下,0轴下金叉,-1.905,-1.925,0.04,108.42,2.2,1
NVOUS,NVO,usNVO.N,诺和诺德,2026-09-03,金叉,0轴下,0轴下金叉,-0.155,-0.246,0.183,47.51,1.58,1
LOGIUS,LOGI,usLOGI.OQ,罗技,2026-09-03,金叉,0轴下,0轴下金叉,-1.083,-1.307,0.447,101.71,2.59,1
UAAUS,UAA,usUAA.N,安德玛-A,2026-09-02,金叉,0轴下,0轴下金叉,-0.347,-0.353,0.011,5.15,4.67,2
INTCUS,INTC,usINTC.OQ,英特尔,2026-09-02,金叉,0轴下,0轴下金叉,-3.388,-3.391,0.005,90.05,1.21,2
BRKRUS,BRKR,usBRKR.OQ,布鲁克,2026-09-02,金叉,0轴下,0轴下金叉,-0.086,-0.128,0.085,59.02,5.34,2
SNAPUS,SNAP,usSNAP.N,Snap Inc-A,2026-09-04,死叉,0轴上,0轴上死叉,0.139,0.141,-0.004,5.47,-4.04,0
ZTSUS,ZTS,usZTS.N,硕腾,2026-09-04,死叉,0轴上,0轴上死叉,0.25,0.252,-0.004,75.81,-0.63,0
TEAMUS,TEAM,usTEAM.OQ,Atlassian Cor...,2026-09-04,死叉,0轴上,0轴上死叉,19.051,19.483,-0.864,189.58,-2.62,0
SNPSUS,SNPS,usSNPS.OQ,新思科技,2026-09-04,死叉,0轴上,0轴上死叉,1.422,2.098,-1.353,393.84,-5.4,0
MRKUS,MRK,usMRK.N,默沙东,2026-09-04,死叉,0轴上,0轴上死叉,5.499,5.708,-0.418,150.33,-1.32,0
SQMUS,SQM,usSQM.N,智利矿业化工,2026-09-04,死叉,0轴上,0轴上死叉,1.868,1.963,-0.191,76.43,-4.2,0
PFEUS,PFE,usPFE.N,辉瑞,2026-09-04,死叉,0轴上,0轴上死叉,0.806,0.817,-0.022,28.45,-1.25,0
