code,ticker,prefixed,name,date,close,chg%,rsi6,status
RGCUS,RGC,usRGC.OQ,脑再生科技,2026-09-04,6.89,6.33,89.8,超买
BEUS,BE,usBE.N,Bloom Energy ...,2026-09-04,252.87,7.35,82.2,正常
METAUS,META,usMETA.OQ,Meta Platform...,2026-09-04,616.77,1.0,81.5,正常
SNDKUS,SNDK,usSNDK.OQ,闪迪,2026-09-04,1740.0,11.9,78.9,正常
SUJAUS,SUJA,usSUJA.OQ,Suja Life Inc...,2026-09-04,10.51,3.14,78.0,正常
PSIXUS,PSIX,usPSIX.OQ,国际电力解决...,2026-09-04,40.49,11.18,74.9,正常
MUUS,MU,usMU.OQ,美光科技,2026-09-04,1016.59,6.1,74.1,正常
DELLUS,DELL,usDELL.N,戴尔科技,2026-09-04,524.14,1.5,72.7,正常
EWYUS,EWY,usEWY.AM,韩国ETF-iShar...,2026-09-04,188.87,4.6,71.8,正常
VRTUS,VRT,usVRT.N,Vertiv Holdin...,2026-09-04,280.53,4.35,70.6,正常
ORCLUS,ORCL,usORCL.N,甲骨文,2026-09-04,158.78,3.08,70.3,正常
KORUUS,KORU,usKORU.AM,三倍做多韩国E...,2026-09-04,23.47,13.44,70.1,正常
SMCIUS,SMCI,usSMCI.OQ,超微电脑,2026-09-04,39.59,4.54,69.7,正常
CRCLUS,CRCL,usCRCL.N,Circle Intern...,2026-09-04,102.05,-1.14,69.7,正常
INTCUS,INTC,usINTC.OQ,英特尔,2026-09-04,95.8,4.51,68.9,正常
TSMUS,TSM,usTSM.N,台积电,2026-09-04,428.91,2.85,68.6,正常
TALUS,TAL,usTAL.N,好未来,2026-09-04,12.4,3.42,68.3,正常
BIDUUS,BIDU,usBIDU.OQ,百度,2026-09-04,99.47,4.07,67.1,正常
NVDAUS,NVDA,usNVDA.OQ,英伟达,2026-09-04,230.36,0.84,66.8,正常
SPCXUS,SPCX,usSPCX.OQ,SpaceX,2026-09-04,147.95,-1.2,66.6,正常
LOGIUS,LOGI,usLOGI.OQ,罗技,2026-09-04,102.05,0.33,66.6,正常
CBRSUS,CBRS,usCBRS.OQ,Cerebras Syst...,2026-09-04,210.05,10.3,65.3,正常
SYUS,SY,usSY.OQ,新氧,2026-09-04,2.76,-2.13,64.8,正常
