industry,得分,股票数,平均分,代表股
银行Ⅱ,110,16,6.88,"齐鲁银行(8/8,+17%)、邮储银行(8/8,+12%)、北京银行(8/8,+10%)、工商银行(8/8,+9%)、交通银行(8/8,+7%)、长沙银行(8/8,+7%)、杭州银行(8/8,+6%)、渝农商行(8/8,+6%)、南京银行(8/8,+6%)"
种植业,48,7,6.86,"万向德农(8/8,+109%)、新赛股份(8/8,+73%)、海南橡胶(8/8,+22%)、敦煌种业(7/8,+38%)、农发种业(7/8,+26%)、新农开发(7/8,+20%)、博闻科技(7/8,+11%)"
燃气Ⅱ,54,8,6.75,"洪通燃气(8/8,+27%)、长春燃气(8/8,+13%)、新奥股份(8/8,+10%)、水发燃气(7/8,+13%)、贵州燃气(7/8,+11%)、蓝天燃气(7/8,+5%)、皖天然气(7/8,+5%)、重庆燃气(7/8,+4%)"
化学原料,76,12,6.33,"金牛化工(8/8,+76%)、雪天盐业(8/8,+13%)、江苏索普(8/8,+12%)、宝丰能源(8/8,+7%)、鲁北化工(8/8,+5%)、金瑞矿业(7/8,+31%)、三友化工(7/8,+7%)、华谊集团(7/8,+5%)、氯碱化工(7/8,+0%)"
服装家纺,84,14,6.0,"哈森股份(8/8,+66%)、地素时尚(8/8,+15%)、雅戈尔(8/8,+8%)、九牧王(7/8,+23%)、*ST尔雅(7/8,+22%)、歌力思(7/8,+12%)、牧高笛(7/8,+10%)、盛泰集团(7/8,+9%)、爱慕股份(7/8,+8%)"
通用设备,112,19,5.89,"海鸥股份(8/8,+118%)、磁谷科技(8/8,+40%)、铂力特(8/8,+20%)、纽威数控(8/8,+4%)、晋亿实业(8/8,+3%)、华曙高科(7/8,+42%)、金帝股份(7/8,+26%)、佳力图(7/8,+18%)、秦川物联(7/8,+15%)"
煤炭开采,86,15,5.73,"郑州煤电(8/8,+36%)、广汇能源(8/8,+23%)、中国神华(8/8,+12%)、恒源煤电(8/8,+11%)、上海能源(7/8,+32%)、大有能源(7/8,+23%)、盘江股份(7/8,+12%)、陕西煤业(7/8,+9%)、兰花科创(7/8,+2%)"
一般零售,74,13,5.69,"国芳集团(8/8,+40%)、新华百货(8/8,+39%)、国光连锁(7/8,+18%)、上海九百(7/8,+18%)、友好集团(7/8,+9%)、欧亚集团(7/8,+8%)、百大集团(7/8,+7%)、银座股份(7/8,+6%)、杭州解百(7/8,+5%)"
家居用品,62,11,5.64,"爱丽家居(8/8,+139%)、建霖家居(8/8,+16%)、我乐家居(7/8,+16%)、梦天家居(7/8,+15%)、茶花股份(7/8,+15%)、惠达卫浴(7/8,+12%)、永艺股份(7/8,+5%)、*ST四通(6/8,+36%)、中源家居(6/8,+14%)"
汽车零部件,106,19,5.58,"华达科技(8/8,+22%)、合力科技(8/8,+16%)、无锡振华(8/8,+15%)、赛轮轮胎(8/8,+14%)、湖南天雁(7/8,+16%)、伯特利(7/8,+11%)、大明电子(7/8,+10%)、长春一东(7/8,+8%)、泉峰汽车(7/8,+8%)"
软件开发,60,11,5.45,"龙软科技(8/8,+14%)、财富趋势(8/8,+6%)、麒麟信安(7/8,+29%)、宝兰德(7/8,+10%)、博通股份(7/8,+7%)、ST信安(7/8,+5%)、和达科技(6/8,+58%)、中创股份(6/8,+5%)、大智慧(6/8,+2%)"
医疗器械,92,17,5.41,"南卫股份(8/8,+32%)、正川股份(8/8,+20%)、洁特生物(7/8,+34%)、浩欧博(7/8,+24%)、赛科希德(7/8,+17%)、爱威科技(7/8,+11%)、奥精医疗(7/8,+11%)、安必平(7/8,+10%)、海尔生物(7/8,+8%)"
环境治理,54,10,5.4,"卓锦股份(8/8,+23%)、力源科技(7/8,+13%)、绿色动力(7/8,+7%)、海天股份(7/8,+6%)、钱江生化(7/8,+5%)、海峡环保(7/8,+3%)、金科环境(6/8,+10%)、丛麟科技(6/8,+8%)、东湖高新(6/8,+2%)"
专用设备,78,15,5.2,"一拖股份(8/8,+7%)、力聚热能(7/8,+20%)、梅轮电梯(7/8,+10%)、巨一科技(7/8,+9%)、金自天正(7/8,+6%)、美腾科技(7/8,+4%)、蓝科高新(7/8,+4%)、博隆技术(7/8,+3%)、国机通用(6/8,+11%)"
电网设备,62,12,5.17,"林洋能源(8/8,+4%)、风范股份(7/8,+27%)、福华尚纬(7/8,+19%)、宏力达(7/8,+11%)、西力科技(7/8,+8%)、汇金通(7/8,+5%)、杭电股份(6/8,+42%)、宝光股份(6/8,+20%)、神马电力(6/8,+12%)"
