ticker,prefixed,name,sector,industry,date,close,chg20,volume,score,passed,uptrend
SH603221,sh603221,爱丽家居,,家居用品,2026-09-02,33.37,138.9,459943609,1.0,uptrend,8/8
SH600127,sh600127,金健米业,,农产品加工,2026-09-02,12.4,121.0,1453493734,1.0,uptrend,7/8
SH603269,sh603269,海鸥股份,,通用设备,2026-09-02,27.41,118.2,702734596,1.0,uptrend,8/8
SH600371,sh600371,万向德农,,种植业,2026-09-02,14.42,108.7,268849924,1.0,uptrend,8/8
SH600613,sh600613,神奇制药,,化学制药,2026-09-02,10.04,103.2,771993688,1.0,uptrend,7/8
SH688137,sh688137,近岸蛋白,,生物制品,2026-09-02,72.72,83.6,45189138899,1.0,uptrend,6/8
SH600722,sh600722,金牛化工,,化学原料,2026-09-02,19.26,75.9,1919179037,1.0,uptrend,8/8
SH600540,sh600540,新赛股份,,种植业,2026-09-02,6.73,73.0,227155651,1.0,uptrend,8/8
SH688143,sh688143,长盈通,,通信设备,2026-09-02,174.56,70.5,268248533154,1.0,uptrend,6/8
SH600272,sh600272,开开实业,,医药商业,2026-09-02,18.08,68.7,825354001,1.0,uptrend,7/8
SH603958,sh603958,哈森股份,,服装家纺,2026-09-02,23.85,66.2,415698784,1.0,uptrend,8/8
SH688485,sh688485,九州一轨,,轨交设备Ⅱ,2026-09-02,88.6,64.1,69700082168,1.0,uptrend,7/8
SH603330,sh603330,天洋新材,,塑料,2026-09-02,11.49,59.6,811533360,1.0,uptrend,8/8
SH688296,sh688296,和达科技,,软件开发,2026-09-02,25.47,58.1,17659085893,1.0,uptrend,6/8
SH688601,sh688601,力芯微,,半导体,2026-09-02,61.78,57.7,28405425901,1.0,uptrend,8/8
SH688195,sh688195,腾景科技,,光学光电子,2026-09-02,186.0,48.8,224128391568,1.0,uptrend,7/8
SH600721,sh600721,百花医药,,医疗服务,2026-09-02,12.86,47.6,1629845303,1.0,uptrend,6/8
SH688433,sh688433,华曙高科,,通用设备,2026-09-02,112.9,42.4,73306324480,1.0,uptrend,7/8
SH603618,sh603618,杭电股份,,电网设备,2026-09-02,37.22,42.0,2894219853,1.0,uptrend,6/8
SH688300,sh688300,联瑞新材,,非金属材料Ⅱ,2026-09-02,177.05,41.6,264259475795,1.0,uptrend,5/8
SH605177,sh605177,东亚药业,,化学制药,2026-09-02,23.44,41.0,94228534,1.0,uptrend,8/8
SH688185,sh688185,康希诺,,生物制品,2026-09-02,72.25,41.0,62745308246,1.0,uptrend,7/8
SH601086,sh601086,国芳集团,,一般零售,2026-09-02,11.1,40.0,109196179,1.0,uptrend,8/8
SH688448,sh688448,磁谷科技,,通用设备,2026-09-02,69.0,40.0,17178669099,1.0,uptrend,8/8
SH688203,sh688203,海正生材,,塑料,2026-09-02,14.01,39.7,9998921005,1.0,uptrend,8/8
SH600785,sh600785,新华百货,,一般零售,2026-09-02,12.15,38.7,350291208,1.0,uptrend,8/8
SH688209,sh688209,英集芯,,半导体,2026-09-02,30.06,38.5,38929561747,1.0,uptrend,7/8
SH600354,sh600354,敦煌种业,,种植业,2026-09-02,8.21,38.2,671045439,1.0,uptrend,7/8
SH600664,sh600664,哈药股份,,化学制药,2026-09-02,9.24,36.5,3227778676,1.0,uptrend,7/8
SH603922,sh603922,ST金鸿顺,,汽车零部件,2026-09-02,14.6,36.4,22362189,1.0,uptrend,6/8
SH603236,sh603236,移远通信,,通信设备,2026-09-02,63.6,35.8,1022937369,1.0,uptrend,8/8
SH603838,sh603838,*ST四通,,家居用品,2026-09-02,11.57,35.8,41415433,1.0,uptrend,6/8
SH600121,sh600121,郑州煤电,,煤炭开采,2026-09-02,5.3,35.5,523899554,1.0,uptrend,8/8
SH688205,sh688205,德科立,,通信设备,2026-09-02,173.3,34.8,190506447059,1.0,uptrend,6/8
SH600330,sh600330,天通股份,,电子化学品Ⅱ,2026-09-02,26.46,34.5,3543136147,1.0,uptrend,6/8
SH603217,sh603217,元利科技,,化学制品,2026-09-02,30.34,34.4,133611333,1.0,uptrend,8/8
SH601579,sh601579,会稽山,,非白酒,2026-09-02,20.9,34.2,411547415,1.0,uptrend,7/8
SH688026,sh688026,洁特生物,,医疗器械,2026-09-02,18.6,34.1,12353205289,1.0,uptrend,7/8
SH688167,sh688167,炬光科技,,半导体,2026-09-02,278.97,33.9,287116253612,1.0,uptrend,6/8
SH605179,sh605179,一鸣食品,,饮料乳品,2026-09-02,31.2,33.7,893030871,1.0,uptrend,6/8
SH603580,sh603580,艾艾精工,,塑料,2026-09-02,75.0,33.6,841925474,1.0,uptrend,6/8
SH688368,sh688368,晶丰明源,,半导体,2026-09-02,151.99,33.5,61567463993,1.0,uptrend,5/8
SH605577,sh605577,龙版传媒,,出版,2026-09-02,12.85,33.3,94420444,1.0,uptrend,8/8
SH600479,sh600479,千金药业,,中药Ⅱ,2026-09-02,12.96,33.2,417484738,1.0,uptrend,8/8
SH603880,sh603880,南卫股份,,医疗器械,2026-09-02,9.76,32.1,132981130,1.0,uptrend,8/8
SH600508,sh600508,上海能源,,煤炭开采,2026-09-02,11.2,31.9,430253867,1.0,uptrend,7/8
SH688112,sh688112,鼎阳科技,,通用设备,2026-09-02,66.5,31.6,24540331101,1.0,uptrend,5/8
SH600172,sh600172,黄河旋风,,通用设备,2026-09-02,14.75,31.5,2500870118,1.0,uptrend,5/8
SH600547,sh600547,山东黄金,,贵金属,2026-09-02,37.89,31.3,3908900140,1.0,uptrend,8/8
SH600714,sh600714,金瑞矿业,,化学原料,2026-09-02,19.35,30.6,494065863,1.0,uptrend,7/8
SH688061,sh688061,灿瑞科技,,半导体,2026-09-02,46.5,30.3,9327922982,1.0,uptrend,5/8
SH688686,sh688686,奥普特,,自动化设备,2026-09-02,148.65,30.3,26457698263,1.0,uptrend,5/8
SH688313,sh688313,仕佳光子,,通信设备,2026-09-02,148.14,29.3,349133555123,1.0,uptrend,6/8
SH601609,sh601609,金田股份,,工业金属,2026-09-02,13.46,29.2,862098109,1.0,uptrend,7/8
SH688152,sh688152,麒麟信安,,软件开发,2026-09-02,36.92,29.1,17475637847,1.0,uptrend,7/8
SH603626,sh603626,科森科技,,消费电子,2026-09-02,19.48,28.9,887838161,1.0,uptrend,5/8
SH600869,sh600869,远东股份,,电网设备,2026-09-02,19.5,28.8,3148765982,1.0,uptrend,5/8
SH600892,sh600892,大晟文化,,游戏Ⅱ,2026-09-02,5.35,28.6,198796680,1.0,uptrend,7/8
SH603595,sh603595,ST东尼,,消费电子,2026-09-02,30.24,27.8,67237469,1.0,uptrend,5/8
SH601700,sh601700,风范股份,,电网设备,2026-09-02,8.25,26.7,1427764441,1.0,uptrend,7/8
SH605169,sh605169,洪通燃气,,燃气Ⅱ,2026-09-02,12.71,26.7,62680816,1.0,uptrend,8/8
SH600313,sh600313,农发种业,,种植业,2026-09-02,7.13,26.4,730074902,1.0,uptrend,7/8
SH688655,sh688655,迅捷兴,,元件,2026-09-02,41.84,26.2,44616458430,1.0,uptrend,6/8
SH600228,sh600228,返利科技,,数字媒体,2026-09-02,9.75,26.1,247032001,1.0,uptrend,6/8
