行业,前日排名,今日排名,前日得分,今日得分,前日平均,今日平均,前日只数,今日只数,状态,排名变化,得分变化
银行Ⅱ,3.0,1.0,142.0,110.0,6.76,6.88,21.0,16.0,池内,2.0,-32.0
种植业,1.0,2.0,68.0,48.0,7.56,6.86,9.0,7.0,池内,-1.0,-20.0
燃气Ⅱ,,3.0,,54.0,,6.75,,8.0,新进池,,54.0
化学原料,2.0,4.0,94.0,76.0,7.23,6.33,13.0,12.0,池内,-2.0,-18.0
服装家纺,11.0,5.0,70.0,84.0,5.38,6.0,13.0,14.0,池内,6.0,14.0
通用设备,8.0,6.0,116.0,112.0,5.52,5.89,21.0,19.0,池内,2.0,-4.0
煤炭开采,4.0,7.0,122.0,86.0,6.42,5.73,19.0,15.0,池内,-3.0,-36.0
一般零售,5.0,8.0,74.0,74.0,6.17,5.69,12.0,13.0,池内,-3.0,0.0
家居用品,12.0,9.0,74.0,62.0,5.29,5.64,14.0,11.0,池内,3.0,-12.0
汽车零部件,14.0,10.0,148.0,106.0,5.1,5.58,29.0,19.0,池内,4.0,-42.0
软件开发,13.0,11.0,72.0,60.0,5.14,5.45,14.0,11.0,池内,2.0,-12.0
医疗器械,9.0,12.0,92.0,92.0,5.41,5.41,17.0,17.0,池内,-3.0,0.0
环境治理,10.0,13.0,70.0,54.0,5.38,5.4,13.0,10.0,池内,-3.0,-16.0
专用设备,15.0,14.0,114.0,78.0,4.96,5.2,23.0,15.0,池内,1.0,-36.0
电网设备,,15.0,,62.0,,5.17,,12.0,新进池,,62.0
化学制品,6.0,,68.0,,5.67,,12.0,,退出池,,-68.0
化学制药,7.0,,68.0,,5.67,,12.0,,退出池,,-68.0
