ticker,prefixed,name,sector,industry,date,close,chg20,volume,score,passed,uptrend
SH600127,sh600127,金健米业,,农产品加工,2026-08-31,12.04,112.3,1190485003,1.0,uptrend,8/8
SH600206,sh600206,有研新材,,半导体,2026-08-31,51.72,56.2,5621398853,1.0,uptrend,5/8
SH600172,sh600172,黄河旋风,,通用设备,2026-08-31,14.46,50.8,2328361788,1.0,uptrend,5/8
SH600183,sh600183,生益科技,,元件,2026-08-31,153.4,50.3,10396778447,1.0,uptrend,5/8
SH600110,sh600110,诺德股份,,电池,2026-08-31,12.03,44.8,1834794104,1.0,uptrend,5/8
SH600186,sh600186,莲花控股,,调味发酵品Ⅱ,2026-08-31,11.57,38.4,3075447485,1.0,uptrend,6/8
SH600188,sh600188,兖矿能源,,煤炭开采,2026-08-31,23.62,24.6,1195371146,1.0,uptrend,6/8
SH600095,sh600095,湘财股份,,证券Ⅱ,2026-08-31,9.52,17.4,463295159,1.0,uptrend,7/8
SH600156,sh600156,华升股份,,纺织制造,2026-08-31,8.66,14.7,127928513,1.0,uptrend,5/8
SH600212,sh600212,绿能慧充,,其他电源设备Ⅱ,2026-08-31,6.16,13.9,72186081,1.0,uptrend,7/8
SH600026,sh600026,中远海能,,航运港口,2026-08-31,19.22,13.0,1135702408,1.0,uptrend,6/8
SH600099,sh600099,林海股份,,摩托车及其他,2026-08-31,9.52,11.1,27222692,1.0,uptrend,7/8
SH600097,sh600097,开创国际,,渔业,2026-08-31,9.23,10.7,34343800,1.0,uptrend,7/8
SH600202,sh600202,哈空调,,通用设备,2026-08-31,5.22,9.0,28310171,1.0,uptrend,6/8
SH600215,sh600215,派斯林,,自动化设备,2026-08-31,6.73,8.5,51321664,1.0,uptrend,7/8
SH600073,sh600073,光明肉业,,食品加工,2026-08-31,5.71,8.1,76638196,1.0,uptrend,7/8
SH600051,sh600051,宁波联合,,综合Ⅱ,2026-08-31,6.47,6.8,30914586,1.0,uptrend,7/8
SH600137,sh600137,浪莎股份,,服装家纺,2026-08-31,18.68,6.6,21743490,1.0,uptrend,6/8
SH600096,sh600096,云天化,,农化制品,2026-08-31,31.44,6.4,1046406241,1.0,uptrend,6/8
SH600189,sh600189,泉阳泉,,饮料乳品,2026-08-31,7.85,6.4,73854273,1.0,uptrend,8/8
SH600128,sh600128,苏豪弘业,,贸易Ⅱ,2026-08-31,8.63,6.2,30287000,1.0,uptrend,7/8
SH600149,sh600149,廊坊发展,,电力,2026-08-31,5.11,6.2,42978794,1.0,uptrend,6/8
SH600123,sh600123,兰花科创,,煤炭开采,2026-08-31,7.39,5.9,186274388,1.0,uptrend,7/8
SH600071,sh600071,凤凰光学,,光学光电子,2026-08-31,16.23,5.8,33972761,1.0,uptrend,5/8
SH600079,sh600079,ST人福,,化学制药,2026-08-31,18.61,5.2,171366811,1.0,uptrend,8/8
SH600060,sh600060,海信视像,,黑色家电,2026-08-31,28.0,5.1,260010642,1.0,uptrend,8/8
SH600148,sh600148,长春一东,,汽车零部件,2026-08-31,15.96,5.1,22327142,1.0,uptrend,6/8
SH600191,sh600191,华资实业,,农产品加工,2026-08-31,10.8,4.9,153384620,1.0,uptrend,6/8
SH600028,sh600028,中国石化,,炼化及贸易,2026-08-31,5.46,3.4,1276427518,1.0,uptrend,7/8
SH600177,sh600177,雅戈尔,,服装家纺,2026-08-31,8.02,3.1,210891346,1.0,uptrend,6/8
SH600081,sh600081,东风科技,,汽车零部件,2026-08-31,10.41,3.0,29670765,1.0,uptrend,6/8
SH600195,sh600195,中牧股份,,动物保健Ⅱ,2026-08-31,6.83,2.9,46466334,1.0,uptrend,7/8
SH600039,sh600039,四川路桥,,基础建设,2026-08-31,9.06,2.7,146411580,1.0,uptrend,6/8
SH600155,sh600155,华创云信,,证券Ⅱ,2026-08-31,6.23,2.5,165874966,1.0,uptrend,7/8
SH600133,sh600133,东湖高新,,环境治理,2026-08-31,8.54,2.2,146502055,1.0,uptrend,6/8
SH600038,sh600038,中直股份,,航空装备Ⅱ,2026-08-31,27.52,1.0,169742870,1.0,uptrend,7/8
SH600054,sh600054,黄山旅游,,旅游及景区,2026-08-31,11.38,-0.2,66514326,1.0,uptrend,7/8
SH600018,sh600018,上港集团,,航运港口,2026-08-31,5.26,-0.6,231415895,1.0,uptrend,6/8
SH600036,sh600036,招商银行,,银行Ⅱ,2026-08-31,40.12,-0.6,2880180072,1.0,uptrend,5/8
SH600059,sh600059,古越龙山,,非白酒,2026-08-31,8.19,-0.8,130433400,1.0,uptrend,6/8
SH600138,sh600138,中青旅,,旅游及景区,2026-08-31,7.21,-1.0,56012223,1.0,uptrend,6/8
SH600109,sh600109,国金证券,,证券Ⅱ,2026-08-31,8.7,-1.1,185937533,1.0,uptrend,5/8
SH600037,sh600037,歌华有线,,电视广播Ⅱ,2026-08-31,7.14,-1.4,105351693,1.0,uptrend,5/8
SH600057,sh600057,厦门象屿,,物流,2026-08-31,6.52,-2.0,110364843,1.0,uptrend,5/8
