industry,得分,股票数,平均分,代表股
化学制药,8,1,8.0,"ST人福(SH600079,+5%)"
饮料乳品,8,1,8.0,"泉阳泉(SH600189,+6%)"
黑色家电,8,1,8.0,"海信视像(SH600060,+5%)"
农产品加工,12,2,6.0,"金健米业(SH600127,+112%)"
证券Ⅱ,12,2,6.0,"湘财股份(SH600095,+17%)"
其他电源设备Ⅱ,6,1,6.0,"绿能慧充(SH600212,+14%)"
动物保健Ⅱ,6,1,6.0,"中牧股份(SH600195,+3%)"
摩托车及其他,6,1,6.0,"林海股份(SH600099,+11%)"
渔业,6,1,6.0,"开创国际(SH600097,+11%)"
炼化及贸易,6,1,6.0,"中国石化(SH600028,+3%)"
综合Ⅱ,6,1,6.0,"宁波联合(SH600051,+7%)"
自动化设备,6,1,6.0,"派斯林(SH600215,+8%)"
航空装备Ⅱ,6,1,6.0,"中直股份(SH600038,+1%)"
贸易Ⅱ,6,1,6.0,"苏豪弘业(SH600128,+6%)"
食品加工,6,1,6.0,"光明肉业(SH600073,+8%)"
旅游及景区,10,2,5.0,"黄山旅游(SH600054,+-0%)"
煤炭开采,10,2,5.0,"兰花科创(SH600123,+6%)"
服装家纺,8,2,4.0,"浪莎股份(SH600137,+7%)"
汽车零部件,8,2,4.0,"长春一东(SH600148,+5%)"
航运港口,8,2,4.0,"中远海能(SH600026,+13%)"
农化制品,4,1,4.0,"云天化(SH600096,+6%)"
基础建设,4,1,4.0,"四川路桥(SH600039,+3%)"
环境治理,4,1,4.0,"东湖高新(SH600133,+2%)"
电力,4,1,4.0,"廊坊发展(SH600149,+6%)"
调味发酵品Ⅱ,4,1,4.0,"莲花控股(SH600186,+38%)"
通用设备,4,1,4.0,"哈空调(SH600202,+9%)"
非白酒,4,1,4.0,"古越龙山(SH600059,+-1%)"
