行业,股票数
(无),705
生物科技：制药,526
空白支票公司(壳),346
大型银行,295
计算机软件：成品软件,255
工业机械/零部件,225
房地产投资信托(REITs),225
金融：消费服务,206
电子数据处理服务,179
投资管理,179
生物科技：生物制品,173
医疗/牙科器械,130
油气生产,119
半导体,105
商业服务,97
Trusts Except Educational Religious and Charitable,97
电信设备,95
Finance/Investors Services,90
计算机软件：编程与数据处理,85
财产意外险,82
电力公用事业,79
Other Consumer Services,78
Major Chemicals,76
海上运输,76
贵金属,75
投资银行/经纪服务,71
房地产,69
Finance Companies,68
工业特种品,62
餐饮,53
专业服务,52
Services-Misc. Amusement & Recreation,52
医疗专科,47
Metal Fabrications,47
包装食品,46
金属矿业,45
其他专卖店,44
Military/Government/Technical,42
Auto Parts:O.E.M.,39
Diversified Commercial Services,38
饮料（生产/分销）,37
酒店/度假村,37
商业银行,36
储蓄机构,36
医疗/护理服务,35
Electrical Products,35
Aerospace,35
汽车制造,34
专业保险,33
住宅建设,33
Farming/Seeds/Milling,32
人寿保险,31
目录/专业分销,31
天然气分销,31
广告,28
生物科技：电子医疗设备,28
Steel/Iron Ore,27
服装,27
医药化工与植物药,26
包装商品/化妆品,26
Power Generation,26
广播电视,25
服装/鞋/配饰零售,25
Mining & Quarrying of Nonmetallic Minerals (No Fuels),24
Transportation Services,24
Banks,24
生物科技：实验室分析仪器,23
电子元器件,23
消费电子/家电,23
Oilfield Services/Equipment,22
Radio And Television Broadcasting And Communications Equipment,22
Home Furnishings,22
航空货运/快递,21
货运/快递,21
Retail-Auto Dealers and Gas Stations,21
生物科技：体外/体内诊断,20
Computer peripheral equipment,20
Recreational Games/Products/Toys,20
Engineering & Construction,20
有线及其他付费电视,19
容器/包装,19
计算机网络设备,18
Integrated Freight & Logistics,18
综合石油公司,18
RETAIL: Building Materials,17
工程/农用机械/卡车,16
Oil and Gas Field Machinery,16
生物科技：商业物理与生物研究,15
Oil/Gas Transmission,15
Department/Specialty Retail Stores,15
电影/娱乐,15
连锁餐饮/食品零售,14
Water Supply,14
Environmental Services,14
医院/护理管理,14
Multi-Sector Companies,13
Other Metals and Minerals,13
煤炭开采,13
Agricultural Chemicals,13
Office Equipment/Supplies/Services,13
Consumer Specialties,12
建筑产品,12
出版,12
铁路运输,12
计算机制造,11
炼油/销售,11
Food Distributors,11
Other Pharmaceuticals,11
建筑材料,11
Miscellaneous manufacturing industries,11
Misc Health and Biotechnology Services,10
Specialty Foods,9
Ophthalmic Goods,9
Shoe Manufacturing,9
Plastic Products,9
Building operators,9
Ordnance And Accessories,8
Automotive Aftermarket,8
零售：电脑软件及外设,8
Motor Vehicles,8
报纸/杂志,8
Water Sewer Pipeline Comm & Power Line Construction,8
造纸,8
林产品,8
Fluid Controls,8
Rental/Leasing Companies,7
Specialty Chemicals,7
Meat/Poultry/Fish,6
Textiles,6
Garments and Clothing,6
汽车与家居用品零售,6
Pollution Control Equipment,5
Consumer Electronics/Video Chains,5
Misc Corporate Leasing Services,5
Medical Electronics,5
Retail-Drug Stores and Proprietary Stores,5
Accident &Health Insurance,5
多元化金融服务,5
Durable Goods,4
其他,4
Books,4
Precision Instruments,3
General Bldg Contractors - Nonresidential Bldgs,3
Wholesale Distributors,3
Paints/Coatings,3
烟草,2
Aluminum,2
Professional and commerical equipment,2
管理式医疗,1
Pharmaceuticals and Biotechnology,1
Other Transportation,1
Electronics Distribution,1
Tools/Hardware,1
