行业,股票数
计算机软件：成品软件,92
生物科技：制药,75
油气生产,45
贵金属,33
生物科技：生物制品,32
电子数据处理服务,25
商业服务,24
金融：消费服务,24
投资管理,23
医疗/牙科器械,22
投资银行/经纪服务,22
海上运输,22
工业机械/零部件,21
房地产投资信托(REITs),18
医疗专科,15
综合石油公司,15
金属矿业,14
大型银行,14
Major Chemicals,14
计算机软件：编程与数据处理,13
专业保险,13
专业服务,13
包装食品,13
财产意外险,12
电信设备,10
(无),9
Oil and Gas Field Machinery,9
天然气分销,9
餐饮,9
广播电视,8
商业银行,8
包装商品/化妆品,7
Military/Government/Technical,7
半导体,7
有线及其他付费电视,7
房地产,7
Other Consumer Services,6
煤炭开采,6
工业特种品,6
生物科技：实验室分析仪器,6
Steel/Iron Ore,6
Oil/Gas Transmission,6
电力公用事业,6
目录/专业分销,5
医疗/护理服务,5
Oilfield Services/Equipment,5
Diversified Commercial Services,5
生物科技：电子医疗设备,5
Department/Specialty Retail Stores,5
饮料（生产/分销）,5
医院/护理管理,5
住宅建设,5
人寿保险,5
广告,4
Mining & Quarrying of Nonmetallic Minerals (No Fuels),4
服装/鞋/配饰零售,4
生物科技：商业物理与生物研究,4
酒店/度假村,4
Auto Parts:O.E.M.,4
Computer peripheral equipment,4
Services-Misc. Amusement & Recreation,4
Home Furnishings,4
汽车制造,4
Water Supply,4
其他专卖店,4
铁路运输,4
Other Metals and Minerals,3
生物科技：体外/体内诊断,3
Agricultural Chemicals,3
Radio And Television Broadcasting And Communications Equipment,3
Retail-Auto Dealers and Gas Stations,3
Office Equipment/Supplies/Services,3
Other Pharmaceuticals,3
Transportation Services,3
Environmental Services,3
Accident &Health Insurance,3
电子元器件,2
计算机制造,2
Electrical Products,2
连锁餐饮/食品零售,2
消费电子/家电,2
Specialty Foods,2
报纸/杂志,2
Finance Companies,2
Motor Vehicles,2
Multi-Sector Companies,2
Finance/Investors Services,2
零售：电脑软件及外设,2
Fluid Controls,2
容器/包装,2
汽车与家居用品零售,1
服装,1
医药化工与植物药,1
Wholesale Distributors,1
Precision Instruments,1
Meat/Poultry/Fish,1
Integrated Freight & Logistics,1
Consumer Electronics/Video Chains,1
储蓄机构,1
电影/娱乐,1
工程/农用机械/卡车,1
RETAIL: Building Materials,1
Textiles,1
建筑材料,1
Farming/Seeds/Milling,1
出版,1
Trusts Except Educational Religious and Charitable,1
航空货运/快递,1
计算机网络设备,1
Automotive Aftermarket,1
Misc Health and Biotechnology Services,1
多元化金融服务,1
Recreational Games/Products/Toys,1
Tools/Hardware,1
Ophthalmic Goods,1
Specialty Chemicals,1
Medical Electronics,1
造纸,1
Power Generation,1
Food Distributors,1
Aerospace,1
Paints/Coatings,1
Metal Fabrications,1
Plastic Products,1
Books,1
Ordnance And Accessories,1
Banks,1
Misc Corporate Leasing Services,1
Engineering & Construction,1
