ticker,name,sector,industry,date,close,volume,rsi
SH600613,神奇制药,,,2026-08-28,11.99,560233020,99.66
SH600508,上海能源,,,2026-08-28,12.49,255629609,97.78
SH600479,千金药业,,,2026-08-28,13.33,167156509,94.91
SH600127,金健米业,,,2026-08-28,11.41,953493391,93.34
SH603269,海鸥股份,,,2026-08-28,22.18,435143695,93.13
SH601137,博威合金,,,2026-08-28,21.52,328985201,91.21
SH601998,中信银行,,,2026-08-28,8.75,488169486,90.4
SH603900,莱绅通灵,,,2026-08-28,7.85,96654633,89.91
SH600250,南京商旅,,,2026-08-28,10.39,156162213,89.87
SH600095,湘财股份,,,2026-08-28,9.66,412604784,89.05
SH600971,恒源煤电,,,2026-08-28,9.05,168454845,88.83
SH605158,华达新材,,,2026-08-28,8.47,35685865,88.8
SH600395,盘江股份,,,2026-08-28,5.69,187440546,88.33
SH601222,林洋能源,,,2026-08-28,6.09,105693969,87.53
SH600929,雪天盐业,,,2026-08-28,6.04,97991409,87.43
SH600371,万向德农,,,2026-08-28,11.54,158771473,87.41
SH603396,金辰股份,,,2026-08-28,30.2,127006318,87.29
SH603159,上海亚虹,,,2026-08-28,23.45,56871579,87.11
SH600540,新赛股份,,,2026-08-28,5.05,160872919,86.12
SH603217,元利科技,,,2026-08-28,30.07,126909178,85.77
SH688790,昂瑞微-UW,,,2026-08-28,119.98,5794096042,85.35
SH601212,白银有色,,,2026-08-28,7.47,1879179678,85.1
SH600354,敦煌种业,,,2026-08-28,8.21,503066448,84.74
SH600997,开滦股份,,,2026-08-28,5.88,73196947,84.56
SH600359,新农开发,,,2026-08-28,7.48,103757823,84.43
SH600490,鹏欣资源,,,2026-08-28,8.23,496659997,84.32
SH600162,香江控股,,,2026-08-28,5.36,847211645,84.3
SH603255,鼎际得,,,2026-08-28,32.19,42623748,84.16
SH603100,川仪股份,,,2026-08-28,19.24,75091915,84.12
SH603408,建霖家居,,,2026-08-28,11.57,36888115,84.1
SH600785,新华百货,,,2026-08-28,12.14,222463015,83.95
SH603055,台华新材,,,2026-08-28,9.5,82358088,83.68
SH688601,力芯微,,,2026-08-28,55.44,20676467481,83.64
SH603176,汇通集团,,,2026-08-28,5.39,21252602,83.61
SH600155,华创云信,,,2026-08-28,6.28,156091975,83.52
SH603237,五芳斋,,,2026-08-28,15.8,24126974,83.2
SH603121,华培动力,,,2026-08-28,13.94,84333152,82.81
SH603970,中农立华,,,2026-08-28,11.36,37526144,82.65
SH603188,亚邦股份,,,2026-08-28,5.03,112533210,82.55
SH600119,*ST长投,,,2026-08-28,5.1,12091627,82.5
SH600409,三友化工,,,2026-08-28,7.3,219411505,82.5
SH600256,广汇能源,,,2026-08-28,6.43,705236192,82.49
SH603402,陕西旅游,,,2026-08-28,70.88,121991917,82.24
SH603182,嘉华股份,,,2026-08-28,13.63,29349864,82.19
SH603618,杭电股份,,,2026-08-28,36.4,2512998482,82.16
SH600679,上海凤凰,,,2026-08-28,10.15,23570583,81.67
SH600333,长春燃气,,,2026-08-28,6.54,62281740,81.49
SH600838,上海九百,,,2026-08-28,8.55,91265611,81.23
SH603679,华体科技,,,2026-08-28,24.27,218515866,81.22
SH600562,国睿科技,,,2026-08-28,28.24,268507817,81.16
SH600278,东方创业,,,2026-08-28,6.65,28199724,81.15
SH601233,桐昆股份,,,2026-08-28,27.17,978831691,81.08
SH603007,顺景科技,,,2026-08-28,5.37,106280922,81.06
SH603012,创力集团,,,2026-08-28,9.97,321859677,80.79
SH603093,南华期货,,,2026-08-28,13.48,214895673,80.77
SH600391,航发科技,,,2026-08-28,34.46,272524813,80.75
SH600079,ST人福,,,2026-08-28,18.54,164735643,80.58
SH688300,联瑞新材,,,2026-08-28,192.7,228125921477,80.55
SH600689,上海三毛,,,2026-08-28,11.32,23515145,80.5
SH601519,大智慧,,,2026-08-28,9.04,298039650,80.28
SH688183,生益电子,,,2026-08-28,134.03,191132232912,80.1
SH600212,绿能慧充,,,2026-08-28,6.26,69768151,80.01
