行业,股票数
汽车零部件,34
专用设备,26
通用设备,24
电网设备,19
银行Ⅱ,19
家居用品,18
化学原料,18
煤炭开采,18
工业金属,18
软件开发,15
医疗器械,15
化学制品,15
环境治理,15
自动化设备,14
一般零售,14
服装家纺,13
化学制药,12
半导体,12
通信设备,11
证券Ⅱ,11
航运港口,11
物流,11
农化制品,10
房地产开发,10
旅游及景区,10
生物制品,9
医疗服务,9
种植业,9
元件,8
电力,8
出版,8
农产品加工,7
消费电子,7
饮料乳品,7
燃气Ⅱ,7
航空装备Ⅱ,7
塑料,6
IT服务Ⅱ,6
中药Ⅱ,6
食品加工,6
化学纤维,6
纺织制造,6
摩托车及其他,6
铁路公路,6
电池,5
广告营销,5
军工电子Ⅱ,5
包装印刷,5
基础建设,5
金属新材料,5
光伏设备,5
炼化及贸易,5
环保设备Ⅱ,5
家电零部件Ⅱ,5
小家电,5
水泥,5
造纸,5
轨交设备Ⅱ,5
多元金融,5
非金属材料Ⅱ,4
光学光电子,4
医药商业,4
贵金属,4
非白酒,4
数字媒体,4
工程咨询服务Ⅱ,4
贸易Ⅱ,4
个护用品,4
装修装饰Ⅱ,3
装修建材,3
专业工程,3
通信服务,3
休闲食品,3
油服工程,3
电机Ⅱ,3
文娱用品,3
计算机设备,3
冶钢原料,3
工程机械,3
电视广播Ⅱ,3
调味发酵品Ⅱ,2
照明设备Ⅱ,2
饲料,2
航海装备Ⅱ,2
其他电源设备Ⅱ,2
饰品,2
养殖业,2
黑色家电,2
小金属,2
综合Ⅱ,2
渔业,2
油气开采Ⅱ,2
玻璃玻纤,2
酒店餐饮,2
普钢,2
汽车服务,2
化妆品,2
其他电子Ⅱ,1
电子化学品Ⅱ,1
专业服务,1
特钢Ⅱ,1
房地产服务,1
厨卫电器,1
白酒Ⅱ,1
林业Ⅱ,1
专业连锁Ⅱ,1
动物保健Ⅱ,1
焦炭Ⅱ,1
互联网电商,1
橡胶,1
保险Ⅱ,1
