industry,得分,股票数,平均分,代表股
煤炭开采,120,18,6.67,
汽车零部件,112,22,5.09,
银行Ⅱ,100,16,6.25,
专用设备,96,19,5.05,
化学原料,88,14,6.29,
通用设备,68,12,5.67,
工业金属,66,13,5.08,
医疗器械,66,12,5.5,
家居用品,66,12,5.5,
服装家纺,66,12,5.5,
种植业,64,9,7.11,
农化制品,56,10,5.6,
航运港口,56,10,5.6,
物流,56,9,6.22,
一般零售,54,10,5.4,
化学制品,50,9,5.56,
软件开发,50,9,5.56,
旅游及景区,48,8,6.0,
房地产开发,46,9,5.11,
电网设备,46,8,5.75,
化学制药,44,7,6.29,
燃气Ⅱ,44,7,6.29,
农产品加工,42,7,6.0,
证券Ⅱ,42,7,6.0,
环境治理,40,8,5.0,
出版,36,7,5.14,
航空装备Ⅱ,36,6,6.0,
生物制品,34,7,4.86,
通信设备,34,7,4.86,
塑料,30,5,6.0,
炼化及贸易,30,5,6.0,
自动化设备,30,5,6.0,
军工电子Ⅱ,28,5,5.6,
化学纤维,28,5,5.6,
电力,28,5,5.6,
中药Ⅱ,26,5,5.2,
多元金融,26,5,5.2,
轨交设备Ⅱ,26,5,5.2,
食品加工,26,5,5.2,
元件,24,5,4.8,
基础建设,24,4,6.0,
环保设备Ⅱ,24,4,6.0,
造纸,24,4,6.0,
铁路公路,24,4,6.0,
贵金属,22,4,5.5,
贸易Ⅱ,22,4,5.5,
个护用品,20,4,5.0,
工程咨询服务Ⅱ,20,4,5.0,
摩托车及其他,20,4,5.0,
包装印刷,18,4,4.5,
家电零部件Ⅱ,18,4,4.5,
冶钢原料,18,3,6.0,
纺织制造,18,3,6.0,
广告营销,16,3,5.33,
通信服务,16,3,5.33,
装修建材,16,2,8.0,
专业工程,14,3,4.67,
光伏设备,14,3,4.67,
电机Ⅱ,14,3,4.67,
养殖业,14,2,7.0,
装修装饰Ⅱ,14,2,7.0,
电池,12,3,4.0,
非白酒,12,3,4.0,
油服工程,12,2,6.0,
油气开采Ⅱ,12,2,6.0,
航海装备Ⅱ,12,2,6.0,
金属新材料,12,2,6.0,
饮料乳品,12,2,6.0,
黑色家电,12,2,6.0,
IT服务Ⅱ,10,2,5.0,
光学光电子,10,2,5.0,
化妆品,10,2,5.0,
工程机械,10,2,5.0,
水泥,10,2,5.0,
渔业,10,2,5.0,
综合Ⅱ,10,2,5.0,
酒店餐饮,10,2,5.0,
饲料,10,2,5.0,
小家电,8,2,4.0,
数字媒体,8,2,4.0,
汽车服务,8,2,4.0,
照明设备Ⅱ,8,2,4.0,
调味发酵品Ⅱ,8,2,4.0,
非金属材料Ⅱ,8,2,4.0,
饰品,8,2,4.0,
专业服务,6,1,6.0,
专业连锁Ⅱ,6,1,6.0,
其他电源设备Ⅱ,6,1,6.0,
动物保健Ⅱ,6,1,6.0,
医疗服务,6,1,6.0,
医药商业,6,1,6.0,
半导体,6,1,6.0,
厨卫电器,6,1,6.0,
房地产服务,6,1,6.0,
文娱用品,6,1,6.0,
消费电子,6,1,6.0,
焦炭Ⅱ,6,1,6.0,
电视广播Ⅱ,6,1,6.0,
白酒Ⅱ,6,1,6.0,
休闲食品,4,1,4.0,
保险Ⅱ,4,1,4.0,
橡胶,4,1,4.0,
特钢Ⅱ,4,1,4.0,
玻璃玻纤,4,1,4.0,
电子化学品Ⅱ,4,1,4.0,
计算机设备,4,1,4.0,
