ticker,name,sector,industry,date,close,chg20,volume,score,passed,pullback,rsi,uptrend
TEAM,Atlassian Corporation,科技,计算机软件：成品软件,2026-08-27,185.62,89.2,817651963,3.0,"pullback,rsi,uptrend",涨62% 撤4% 量比0.69(1天前),80.8,7/8
PATH,"Uipath, Inc.",科技,计算机软件：成品软件,2026-08-27,18.33,48.2,1038928978,2.0,"rsi,uptrend",,88.4,7/8
ANF,爱芬奇,非必需消费,服装/鞋/配饰零售,2026-08-27,145.75,45.4,267058642,2.0,"rsi,uptrend",,83.6,8/8
CDE,科尔黛伦矿业,基础材料,贵金属,2026-08-27,22.21,44.2,766793911,2.0,"rsi,uptrend",,80.1,8/8
VEEV,Veeva Systems Inc.,科技,计算机软件：成品软件,2026-08-27,282.13,40.0,474674204,2.0,"rsi,uptrend",,86.2,8/8
CRM,赛富时,科技,计算机软件：成品软件,2026-08-27,252.05,39.5,2927206694,2.0,"rsi,uptrend",,89.9,8/8
PRGO,百利高,医疗保健,生物科技：制药,2026-08-27,14.37,39.4,37150679,2.0,"rsi,uptrend",,83.3(1天前),7/8
NEM,纽曼矿业,基础材料,贵金属,2026-08-27,132.29,38.1,911413737,2.0,"rsi,uptrend",,85.3(2天前),8/8
RGLD,皇家黄金,工业,贵金属,2026-08-27,268.96,32.5,179853523,2.0,"rsi,uptrend",,83.8,8/8
IT,加特纳,非必需消费,Other Consumer Services,2026-08-27,196.6,28.6,291023298,2.0,"rsi,uptrend",,80.7(3天前),7/8
TWLO,Twilio Inc.,科技,计算机软件：成品软件,2026-08-27,241.34,26.4,606675835,2.0,"pullback,uptrend",涨26% 撤6% 量比0.61,,6/8
SHOP,Shopify Inc.,科技,计算机软件：成品软件,2026-08-27,154.33,26.1,1506205452,2.0,"pullback,uptrend",涨16% 撤5% 量比0.53(1天前),,7/8
USB,巴里克矿业,金融,大型银行,2026-08-27,47.32,25.5,519011340,2.0,"rsi,uptrend",,87.0(2天前),7/8
EL,雅诗兰黛,非必需消费,包装商品/化妆品,2026-08-27,106.21,25.1,340739271,2.0,"rsi,uptrend",,86.1,8/8
SNPS,新思科技,科技,计算机软件：成品软件,2026-08-27,464.89,24.9,682270134,2.0,"rsi,uptrend",,87.2,6/8
FCX,麦克莫兰铜金,基础材料,金属矿业,2026-08-27,78.42,23.6,1004696662,2.0,"rsi,uptrend",,84.4(2天前),8/8
OKTA,"Okta, Inc.",科技,计算机软件：成品软件,2026-08-27,172.91,23.1,519655071,2.0,"rsi,uptrend",,82.1,6/8
DT,"Dynatrace, Inc.",科技,计算机软件：成品软件,2026-08-27,53.43,21.2,372568381,2.0,"rsi,uptrend",,80.4,7/8
DOCS,"Doximity, Inc.",科技,电子数据处理服务,2026-08-27,25.59,20.5,197036336,2.0,"pullback,uptrend",涨20% 撤7% 量比0.30,,5/8
DXCM,德康医疗,医疗保健,医疗/牙科器械,2026-08-27,89.29,19.8,482047674,2.0,"pullback,uptrend",涨20% 撤3% 量比0.69,,7/8
BIO,Bio Rad实验室,工业,生物科技：实验室分析仪器,2026-08-27,389.94,19.3,96740186,2.0,"rsi,uptrend",,84.5,8/8
ORCL,甲骨文,科技,计算机软件：成品软件,2026-08-27,151.94,19.1,3785611027,2.0,"pullback,uptrend",涨26% 撤5% 量比0.61(1天前),,5/8
SQM,智利矿业化工,工业,Mining & Quarrying of Nonmetallic Minerals (No Fuels),2026-08-27,80.43,17.5,68661635,2.0,"rsi,uptrend",,89.4(3天前),8/8
DASH,"Doordash, Inc.",非必需消费,商业服务,2026-08-27,231.89,17.4,995168264,2.0,"rsi,uptrend",,89.1(1天前),7/8
COIN,Coinbase,金融,金融：消费服务,2026-08-27,190.72,16.6,1638714582,2.0,"rsi,uptrend",,82.5(4天前),5/8
