ticker,name,sector,industry,date,close,score,score_max,chg20,volume,rsi,conditions
ANF,爱芬奇,Consumer Discretionary,Clothing/Shoe/Accessory Stores,2026-08-26,147.75,8,8,44.2,237105773,87.4,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
NEM,纽曼矿业,Basic Materials,Precious Metals,2026-08-26,131.6,8,8,44.1,909815915,70.1,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
RGLD,皇家黄金,Industrials,Precious Metals,2026-08-26,266.14,8,8,36.1,175156534,82.0,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
FCX,麦克莫兰铜金,Basic Materials,Metal Mining,2026-08-26,79.0,8,8,31.7,992557485,77.9,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
EL,雅诗兰黛,Consumer Discretionary,Package Goods/Cosmetics,2026-08-26,105.06,8,8,24.9,327416911,84.7,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
FIVE,"Five Below, Inc.",Consumer Discretionary,Department/Specialty Retail Stores,2026-08-26,257.35,8,8,22.8,232038790,68.4,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
BIO,Bio Rad实验室,Industrials,Biotechnology: Laboratory Analytical Instruments,2026-08-26,388.64,8,8,18.8,95132414,83.7,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
MRK,默沙东,Health Care,Biotechnology: Pharmaceutical Preparations,2026-08-26,153.1,8,8,17.4,1573074788,69.2,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
ILMN,因美纳,Health Care,Medical Specialities,2026-08-26,224.84,8,8,15.4,429749780,83.7,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
TGT,塔吉特,Consumer Discretionary,Department/Specialty Retail Stores,2026-08-26,164.04,8,8,13.3,755303613,63.9,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
LECO,林肯电气,Industrials,Industrial Machinery/Components,2026-08-26,290.12,8,8,12.5,139081036,70.3,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
COP,康菲石油,Energy,Integrated oil Companies,2026-08-26,130.61,8,8,11.4,870612664,56.2,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
TMO,赛默飞世尔,Industrials,Industrial Machinery/Components,2026-08-26,633.71,8,8,9.9,1062943446,82.7,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
LH,徕博科,Health Care,Medical Specialities,2026-08-26,335.72,8,8,9.3,206696447,69.1,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
BLK,贝莱德,Finance,Investment Bankers/Brokers/Service,2026-08-26,1173.21,8,8,8.7,628610189,63.1,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
HPQ,惠普,Technology,Computer Manufacturing,2026-08-26,30.52,8,8,7.4,403806754,62.6,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
GPC,Genuine Parts,Consumer Discretionary,Automotive Aftermarket,2026-08-26,139.49,8,8,7.3,153233303,76.1,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
JKHY,杰克亨利,Technology,EDP Services,2026-08-26,172.39,8,8,7.0,156148078,78.0,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
SYF,Synchrony Financial,Finance,Finance: Consumer Services,2026-08-26,79.78,8,8,6.9,251896140,52.7,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
UNP,联合太平洋,Industrials,Railroads,2026-08-26,310.62,8,8,6.3,747998720,80.8,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
PYPL,Paypal,Industrials,Diversified Commercial Services,2026-08-26,61.81,8,8,5.9,599109184,61.9,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
SCHW,嘉信理财,Finance,Investment Bankers/Brokers/Service,2026-08-26,109.39,8,8,5.0,776779926,42.7,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
FDS,慧甚,Technology,Computer Software: Programming Data Processing,2026-08-26,295.45,8,8,4.8,227803068,56.2,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
SJM,斯马克,Consumer Staples,Packaged Foods,2026-08-26,130.9,8,8,4.6,147622013,83.9,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
DGX,奎斯特诊疗,Health Care,Medical Specialities,2026-08-26,245.0,8,8,4.2,189848978,80.1,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
NDAQ,纳斯达克,Finance,Investment Bankers/Brokers/Service,2026-08-26,99.47,8,8,4.1,268717270,81.9,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
LW,"Lamb Weston Holdings, Inc.",Consumer Staples,Packaged Foods,2026-08-26,55.26,8,8,3.1,66908702,72.6,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
DLTR,美元树公司,Consumer Discretionary,Department/Specialty Retail Stores,2026-08-26,132.18,8,8,2.5,261643118,52.5,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
ECL,艺康集团,Consumer Discretionary,Package Goods/Cosmetics,2026-08-26,290.6,8,8,2.4,408581460,73.9,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
CBOE,芝加哥期权交易所,,,2026-08-26,312.19,8,8,1.4,293890416,74.0,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
KO,可口可乐,Consumer Staples,Beverages (Production/Distribution),2026-08-26,90.08,8,8,1.1,1280819253,54.6,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
VLTO,Veralto Corp,Industrials,Electrical Products,2026-08-26,98.69,8,8,-0.1,136078480,54.8,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
CF,CF工业控股,Industrials,Agricultural Chemicals,2026-08-26,125.7,8,8,-0.8,293674924,58.0,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
TEAM,Atlassian Corporation,Technology,Computer Software: Prepackaged Software,2026-08-26,168.47,7,8,61.6,780634191,64.9,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
CDE,科尔黛伦矿业,Basic Materials,Precious Metals,2026-08-26,21.44,7,8,46.5,748834577,74.4,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
PRGO,百利高,Health Care,Biotechnology: Pharmaceutical Preparations,2026-08-26,14.76,7,8,41.5,36574188,83.3,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
PATH,"Uipath, Inc.",Technology,Computer Software: Prepackaged Software,2026-08-26,16.76,7,8,33.1,1014016035,75.8,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
MKTX,"Marketaxess Holdings, Inc.",Finance,Investment Bankers/Brokers/Service,2026-08-26,162.52,7,8,29.9,283131590,94.7,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
ANET,"Arista Networks, Inc.",Telecommunications,Computer Communications Equipment,2026-08-26,202.25,7,8,28.0,1520512918,67.1,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
MSFT,微软,Technology,Computer Software: Prepackaged Software,2026-08-26,496.37,7,8,27.3,16462653402,70.7,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
ABNB,爱彼迎,Consumer Discretionary,Diversified Commercial Services,2026-08-26,188.07,7,8,22.9,956979844,65.3,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
DASH,"Doordash, Inc.",Consumer Discretionary,Business Services,2026-08-26,236.93,7,8,22.4,989187394,89.1,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
GTLB,Gitlab Inc.,Technology,Computer Software: Prepackaged Software,2026-08-26,41.31,7,8,21.4,163706437,52.1,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
DXCM,德康医疗,Health Care,Medical/Dental Instruments,2026-08-26,88.96,7,8,18.4,489605752,48.5,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
VEEV,Veeva Systems Inc.,Technology,Computer Software: Prepackaged Software,2026-08-26,244.91,7,8,17.8,398779230,56.4,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
PSX,Phillips 66,Energy,Integrated oil Companies,2026-08-26,242.23,7,8,17.8,624857251,67.8,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
MPC,马拉松石油,Energy,Integrated oil Companies,2026-08-26,362.27,7,8,17.7,825363859,66.6,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
DT,"Dynatrace, Inc.",Technology,Computer Software: Prepackaged Software,2026-08-26,51.6,7,8,17.6,358845990,72.7,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
REGN,再生元制药公司,Health Care,Biotechnology: Pharmaceutical Preparations,2026-08-26,814.79,7,8,17.3,614518778,50.7,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
IT,加特纳,Consumer Discretionary,Other Consumer Services,2026-08-26,192.96,7,8,16.5,296284359,56.3,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
VLO,瓦莱罗能源,Energy,Integrated oil Companies,2026-08-26,348.03,7,8,15.9,811027934,64.2,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
SQM,智利矿业化工,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),2026-08-26,78.28,7,8,15.9,72110878,57.1,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,放量"
AMGN,安进,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2026-08-26,440.34,7,8,14.3,1093279180,70.5,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
ARES,Ares Management Corporation,Finance,Investment Managers,2026-08-26,141.98,7,8,13.9,326866347,54.1,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
TOST,"Toast, Inc.",Technology,EDP Services,2026-08-26,36.97,7,8,13.4,330617865,78.7,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
BDX,碧迪医疗,Health Care,Medical/Dental Instruments,2026-08-26,190.21,7,8,13.0,333091558,73.0,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
PFE,辉瑞,Health Care,Biotechnology: Pharmaceutical Preparations,2026-08-26,28.3,7,8,12.5,1058539075,68.6,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
WBD,华纳兄弟探索,Telecommunications,Cable & Other Pay Television Services,2026-08-26,28.75,7,8,12.1,572511748,73.0,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
BX,黑石,Finance,Investment Managers,2026-08-26,143.2,7,8,11.8,578715677,54.7,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
EXPD,康捷国际物流,Industrials,Integrated Freight & Logistics,2026-08-26,190.18,7,8,11.8,186642131,78.1,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
GILD,吉利德科学,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2026-08-26,148.09,7,8,11.6,900987205,72.6,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
CVNA,Carvana Co.,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,2026-08-26,73.95,7,8,11.5,727801116,58.0,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
DIS,迪士尼,Consumer Discretionary,Services-Misc. Amusement & Recreation,2026-08-26,109.63,7,8,11.3,1074509913,66.4,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
CMCSA,康卡斯特,Telecommunications,Cable & Other Pay Television Services,2026-08-26,27.2,7,8,10.5,596513991,77.5,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
RMD,瑞思迈,Health Care,Medical/Dental Instruments,2026-08-26,235.69,7,8,10.3,343608778,73.1,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
UBER,优步,Consumer Discretionary,Business Services,2026-08-26,78.49,7,8,10.2,1440466322,57.9,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
STT,道富银行,Finance,Major Banks,2026-08-26,193.62,7,8,10.0,273230799,66.9,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
URBN,都市服饰,Consumer Discretionary,Clothing/Shoe/Accessory Stores,2026-08-26,82.95,7,8,10.0,85510531,77.5,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,近60日新高,放量"
EXPE,亿客行,Consumer Discretionary,Transportation Services,2026-08-26,333.44,7,8,9.6,496234101,61.5,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
DHR,丹纳赫,Industrials,Industrial Machinery/Components,2026-08-26,215.36,7,8,9.6,724486098,65.2,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
SLB,斯伦贝谢,Energy,Oilfield Services/Equipment,2026-08-26,53.6,7,8,9.5,495702046,57.7,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,放量"
UNM,尤纳姆集团,Finance,Accident &Health Insurance,2026-08-26,91.51,7,8,9.4,121306764,63.6,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
PH,派克汉尼汾,Industrials,Metal Fabrications,2026-08-26,1039.49,7,8,9.3,697469449,60.7,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高"
